start,end,text
23.222,29.706,"The surgeon uses a bipolar fenestrated instrument in the left arm, a hook in the right arm, and a cat ear retractor in the posterior arm to manipulate and retract tissues during the left lower lobe resection."
30.206,35.35,"The surgeon dissects the fissure of the lung, exposing the pulmonary artery by carefully opening the adventitia surrounding it."
35.85,48.037,"The apical segment of the lung is visible with a high takeoff posteriorly, while the basilar segment is positioned anteriorly."
48.537,59.005,"The surgeon navigates around the apical segment of the lung, manipulating the tissue to create a sloping contour."
70.573,78.439,"The surgeon carefully dissects around the basilar arteries, maneuvering inferiorly to avoid the nearby lingular artery, using precise instrument placement for optimal exposure."
78.939,96.955,"The surgeon successfully loops both the apical segment and basilar segmental arteries together, demonstrating careful manipulation and exposure of these vascular structures."
97.455,105.638,"The surgeon uses a robotic stapler to carefully staple the apical and basilar segmental arteries, ensuring preservation of the lingular artery."
106.138,116.483,"The surgeon lifts the lung to expose the vein, dissecting through the inferior pulmonary ligament and harvesting the station line and lymph nodes."
119.724,126.767,"The surgeon identifies the esophagus located medially at the base of the pulmonary ligament, visible in the surgical field."
127.267,131.81,"The surgeon exposes the pericardium, revealing the underlying left ventricle visibly beating."
132.31,143.355,"The surgeon identifies the left atrium located proximal to the pulmonary vein, visible in the surgical field."
143.855,150.399,"The robotic surgical system is used to perform both blunt and diathermal dissection with precision, manipulating tissues in the thoracic cavity."
171.366,176.431,"The posterior hiloprura is visible alongside the adventitia of the pulmonary vein, showing the anatomical relationship between these structures."
180.454,192.104,"The surgeon uses a loop to encircle a structure near the pulmonary vein, visible in the surgical field."
192.604,197.883,"The wristed robotic instruments articulate smoothly, providing enhanced maneuverability for precise dissection during the pulmonary lobectomy."
199.504,202.026,The surgeon introduces the surgical stapler posteriorly to secure the posterior hiloprura and the adventitia of the vein.
202.066,211.572,"Two 12mm ports are utilized to provide flexibility in positioning the stapler, allowing it to be used from various angles during the pulmonary lobectomy."
212.072,219.578,"The surgeon repositions the lung back down and prepares to resect the lower lobe bronchus, using surgical instruments to isolate and manipulate the bronchus for removal."
220.078,253.067,The surgeon staples the bronchus after dissecting several lymph nodes in the surgical field.
253.567,264.591,"The surgeon introduces an endocatch bag through the anterior port to remove the left lower lobe along with the specimen, visible as it is carefully extracted from the surgical field."
