start,end,text
0.611,12.682,"The video shows a robotic sigmoid colectomy procedure, highlighting a colovascular fistula visible adjacent to the bladder."
13.182,35.852,"The surgeon initiates a medial to lateral dissection, navigating through the retroperitoneal plane, which remains intact despite lateral inflammatory reactions."
36.352,61.968,"The surgeon widens the dissection space and begins to locate the ureter, which is becoming visible in the surgical field."
62.468,91.667,"The surgeon thins out the pedicle around the superior hemorrhoidal artery, preparing for ligation. The bowel wall is assessed to determine the necessary length for the procedure."
92.167,127.126,"The surgeon performs lateral dissection, utilizing ICG fluorescence to enhance visualization of the ureters, facilitating faster identification and dissection."
127.626,172.755,"The surgeon adjusts the camera angle to a thirty-degree view to perform further lateral dissection, successfully reaching the white line from the medial side."
173.255,205.024,"The surgeon places a sponge to protect the ureter and proceeds with lateral dissection. The presence of a fistula obstructs the rotation of the bowel, prompting the surgeon to take it down."
205.524,238.338,"The surgeon carefully navigates around the benign fistula, preserving the bladder by staying close to the colon side. The fistula is visible, with bleeding granulation tissue present, as the surgeon progresses down the distal aspect."
238.838,278.434,"The surgeon observes that the left adnexa is drawn into the surgical area, closing off the left side. To improve visibility, the surgeon approaches from the right, revealing the fallopian tube's origin. The uterus is suspended to further open the surgical space."
278.934,318.394,"The surgeon performs further lateral dissection to connect with the medial plane, revealing the gonadal vessels and identifying the pelvis and ureter. A sponge is visible in the surgical field."
318.894,360.355,"The surgeon mobilizes the splenic flexure and creates a window around the fallopian tube, revealing the gonadal vessels, fallopian tube, and ovaries adhered to the colon. This maneuver provides better access for anterior dissection between the uterus and the colon."
360.855,407.31,"The surgeon takes the gonadal vessels close to the colon and visualizes the left total mesorectal excision (TME) plane, facilitating the mobilization of the upper rectum. This maneuver allows access beneath the inflammatory reaction to reach healthy rectum tissue for anastomosis."
407.81,449.669,The surgeon identifies an old endometriotic cyst and visualizes the healthy mid rectum. The flexure has been fully mobilized without altering the patient's position or changing the port placement.
450.169,489.41,"The surgeon cleans the mid rectum, preparing the area for further surgical steps. The rectum appears healthy, and no specimen is morselated for extraction due to the lack of a preoperative colonoscopy."
489.91,544.103,"The surgeon prepares for a fan and steel extraction, using a stapler to divide the bowel. The mesentery is meticulously cleaned from the proximal bowel to ensure clear visibility of the bowel wall. ICG is checked with the stapler in place to confirm the area for confident stapling."
544.603,639.278,"The surgeon staples across the rectum and begins the anastomosis, sewing the inner row starting on the left side. The perfusion is checked before proceeding with the next suture to the right side."
639.778,711.391,"The surgeon canals over the top of the anastomosis and uses the original suture to imbricate over the posterior staple lines, ensuring a secure closure."
711.891,754.02,"The surgeon performs a leak test and examines a small pinhole fistula, visible near the uterus, before returning to the console."
