start,end,text
49.882,78.318,"The surgeon inserts a Veress needle at the inferior crease of the umbilicus for insufflation. A laparoscopic telescope is positioned approximately five centimeters above the umbilicus in a supra-umbilical location. A Nathanson liver retractor is placed in the epigastric region, with additional ports positioned in the left and right hypochondrium."
78.818,124.516,"The surgical setup includes five ports: an assistant port for holding the short gastric vessels located below the sternum, a camera port, a Nathanson liver retractor, and ports in the right and left hypochondrium. The surgeon stands between the patient's legs for optimal access."
125.016,164.943,"The surgeon begins by inserting the varus needle through the inferior crease of the umbilicus, using two Ellis forceps to stabilize the area on either side. A small two-millimeter stab incision is made in the skin for needle access, while the trocar is planned to be placed supra-umbilically."
165.443,204.105,"The surgeon positions the varus needle perpendicular to the abdominal wall and oblique to the body. An irrigation test is performed, followed by a suction test and a hanging drop test. Tubing is attached to start insufflation, with preset pressure at fifteen and actual pressure gradually increasing. The flow rate begins at one liter per minute and then increases to three liters per minute."
204.605,223.738,"The Nathanson liver retractor is introduced through the epigastric port and secured to the stand of the operating table, effectively retracting the left lobe of the liver upward."
224.238,274.278,"The Nathanson liver retractor is applied, elevating the liver for better visualization. The laparoscopic telescope is inserted, providing a view of the caudate lobe and pars flaccida. The surgeon begins the anterior oesophageal mobilization by opening the peritoneum of the pars flaccida, moving from right to left."
274.778,311.525,"The surgeon stretches the peritoneum to isolate it for dissection. The caudate lobe is visible, and beneath it, the blue-colored vena cava is exposed."
312.025,339.369,"The surgeon uses a harmonic scalpel and ligature to open the peritoneum over the anterior part of the esophagus, revealing the underlying tissue layers."
422.485,468.969,"The surgeon has separated the right crus and is performing posterior esophageal mobilization from the right side. The angle of His is visible, along with the peritoneum over the left crus and fundus. The gastroesophageal junction is being mobilized, with care taken to avoid injury to the anterior vagus nerve."
469.469,505.965,"The surgeon performs anterior mobilization of the esophagus by stretching the peritoneum with the left hand and pushing the esophagus down with the right hand. The procedure enters the posterior mediastinum, revealing a clear areolar plane as the esophagus is further mobilized, a crucial step in Heller's myotomy."
506.465,577.259,"The surgeon mobilizes approximately five to seven centimeters of the esophagus, ensuring it is not injured during the process. The esophagus is visibly pushed down as the anterior mobilization is nearly complete. The dissection reaches about three to four centimeters into the posterior mediastinum, maintaining a good areolar plane. Care is taken to avoid opening the left mediastinal pleura to prevent pneumothorax."
577.339,637.629,"The surgeon performs posterior mobilization of the oesophagus, creating a retro-oesophageal window to place a sling around the oesophagus. Care is taken to avoid excessive traction with the instrument to prevent puncturing the oesophagus."
638.129,708.177,"The surgeon carefully mobilizes the left side of the esophagus, identifying the left crus. A grasper is used to create a window by passing from the right to the left through the posterior aspect of the esophagus."
708.677,749.222,"The surgeon introduces an infant feeding tube into the surgical field and ties a knot around it, allowing the assistant to pull the oesophagus through the tube without piercing the diaphragm."
749.722,808.025,"The surgeon completes mobilization of the oesophagus and prepares for myotomy by placing a sponge nearby to manage potential bleeding. Using a grasper and Maryland dissector, the surgeon begins stripping the anterior muscle layers, taking care to avoid excessive traction on the NG tube to prevent stretching and perforation."
808.525,861.987,"The surgeon addresses bleeding by pressing the area with a sponge. The harmonic scalpel is used with its Teflon jaw positioned towards the mucosa, not the muscle, to perform halides. The mucosa visibly pops out and continues into the oesophagus for at least four to six centimeters."
862.487,934.8,"The surgeon carefully cuts and separates the muscle over the stomach, ensuring the Teflon jaw is oriented towards the mucosa. Minimal use of energy is employed, and the bulging mucosa is visible as residual muscle fibers are addressed. The mediastinal part of the esophagus is complete, and the bulging mucosa is prominently visible."
935.3,1006.287,"The surgeon uses a ligature to cut the fat surrounding the esophagus, which lacks serosa, but the serosa of the muscle with fat is removed. The bulging mucosa is visible, and an interseed is applied to cover the esophageal mucosa to manage any oozing. The procedure progresses to the stomach, where a hook is used to cut, and the surgeon begins the door fundoplication involving the stomach and the crura."
1006.787,1126.665,"The surgeon carefully manipulates the left margin of the oesophageal muscle near the left crus, using a polyester suture to tie a surgeon's knot. The interseed is visible, and the knot is tightened with alternating wraps."
1127.165,1187.091,"The surgeon ties a second knot on the left split muscle of the oesophagus, ensuring the mucosa is not pricked during the suturing process."
1187.591,1282.677,"The surgeon performs a reverse C-shaped suture on the stomach and the left side of the oesophageal muscle using an intracorporeal surgeon's knot technique. This approach aids in creating a gastropexy, preventing gastroesophageal reflux, and ensuring the muscle remains properly positioned away from the surgical site."
1283.177,1334.423,"The surgeon mobilizes the short gastric vessels near the fundus of the stomach, freeing approximately eight to ten centimeters of the fundus to facilitate an anterior 180-degree wrap for the Dor fundoplication. The spleen is visible, and the surgeon navigates around potential adhesions. After mobilization, a suture bite is taken on the stomach to secure the wrap."
1377.714,1414.534,The surgeon performs a tension-free suturing using a surgeon's knot with a double wrap followed by two opposite alternating wraps. The assistant helps position the stomach over the esophagus to ensure the knot is tied securely without slipping.
1415.034,1460.041,"The surgeon identifies the stomach and the muscle at the apex of the right crus, preparing to suture these structures together."
1460.541,1501.607,"The surgeon sutures the esophageal muscle and the right crura, using an interseed to separate the tissue layers during the procedure."
1502.107,1531.439,"The surgeon holds the needle with the right hand to take the wrap due to the small size of the suture, ensuring careful manipulation to avoid accidental pricking during the laparoscopic procedure."
1531.939,1601.777,"During the Heller's myotomy, the surgeon focuses on suturing and knotting techniques while mobilizing the esophagus and stripping. The needle is removed, and an additional suture is placed to cover a small defect. The final knot is tied, ensuring complete coverage and support of the mucosa."
1602.277,1655.179,The surgeon identifies a small five-millimeter defect at the apex of the diaphragm and proceeds to close it with a final suture knot.
