start,end,text
101.905,110.95,"The patient is positioned, and the surgeon enters the chest cavity through a four-centimeter longitudinal subxiphoid incision."
111.45,120.008,"The surgeon uses electric cutters to dissect the substernal area, with the procedure being guided by a thoracoscope, providing a clear view of the surgical field."
120.508,129.21,"The surgeon places a glove port on the sub-siphoid incision and insufflates CO₂ gas to enhance the exposure of the thoracic cavity, preparing for the robotic thymectomy procedure."
129.59,135.312,"The first robotic arm is positioned at the right midclavicular line, entering through the fifth intercostal space."
135.812,140.993,"The surgeon positions the second robotic arm at the left anterior axillary line, third intercostal space, enhancing access for the subsyphoid robotic cystic thymectomy."
141.393,148.057,"The third robotic arm is positioned at the left midclavicular line, sixth intercostal space, completing the setup for the robotic-assisted thymectomy."
148.557,153.384,"The robotic dissection begins in the retro-sternal area, utilizing robotic arms positioned at strategic intercostal spaces for precise manipulation within the thoracic cavity."
153.884,179.488,"With the sub-xiphoid approach, the intramammary vessels and both phrenic nerves are clearly visible within the thoracic cavity."
179.988,215.264,"The surgeon uses robotic arms to sweep up the mediastinal contents, performing dissection just superficial to the plane of the pericardium."
215.764,238.591,"The surgeon continues dissection at the right cervical poles of the thymus, utilizing the subxiphoid approach for clear visualization of the anatomical structures."
239.091,244.413,"The surgeon dissects the left cervical pole of the thymus, utilizing the subcyphoid approach for clear visualization."
244.913,253.419,"The surgeon identifies a mass containing mixed cystic and semi-solid lesions within the surgical field, visible through the subxiphoid approach."
253.919,269.54,"The surgical field reveals a mass encasing the left mammary vein, nominic vein, and left phrenic nerve, with these structures visibly surrounded by the lesion."
270.04,283.735,"The surgeon separates the nomid vein from the tumor, using hemoclips to control the draining branch, ensuring clear visualization and precise manipulation."
284.235,307.29,"The surgeon identifies the left phrenic nerve, which is visibly encased by the tumor mass during the thymectomy procedure."
307.79,312.992,"The surgeon identifies the vagus nerve positioned posterior to the mass, which contains mixed cystic and semi-solid lesions."
313.492,321.554,"The surgeon performs sharp dissection to separate the tumor, which contains mixed cystic and semi-solid lesions, from surrounding anatomical structures including the left mammary vein, nominic vein, and left phrenic nerve."
348.776,365.966,"Using robotic instruments, the surgeon carefully dissects the left phrenic nerve from the tumor, separating the encased nerve from the surrounding mass."
366.466,384.367,"The surgeon opens the tumor over the left phrenic nerve, carefully preserving the nerve while minimizing tumor breakdown."
384.867,393.372,"The surgeon performs an unblocked removal of the tumor, thymus, perithymic fat, and surrounding tissue, extending from the thoracic inlet down to the diaphragm."
393.872,398.895,"The surgeon retrieves the tumor through the subxiphoid working window, completing the removal process."
