start,end,text
0.352,34.765,The surgeon views the omentum incarcerated in a supraumbilical recurrent hernia from the left upper quadrant using the first port. A ligature is used to release the omentum to facilitate the placement of additional trocars. Previously placed mesh and Swiss cheese hernia defects are visible.
35.265,66.815,"The video shows a large phlegmon broadly adhered to the back of the dome of the bladder in a larger individual, highlighting the extent of the diverticular disease."
67.315,116.22,"The surgeon uses robotic arms to carefully separate the colon from the bladder, lifting the colon with one arm while using suction with the other to push down, avoiding inadvertent damage to the bladder."
116.72,214.41,"The surgeon uses scissors to dissect between the colon and bladder, occasionally entering the colon lumen. The thick, woody tissues are manipulated back and forth to separate the mucosa from the bladder. The suction irrigator aids in the procedure, with the surgeon working quickly on the bladder dome, avoiding entry into the bladder itself. Retraction challenges are noted while moving from right to left."
214.91,294.699,"The surgeon completes the lateral to medial dissection in the lower abdomen near the rectus sigmoid junction, using scissors with cautery for the descending colon. As the dissection progresses towards the splenic flexure, the surgeon switches to a vessel sealer. The ureter is visible, but ureter catheters are not needed due to the standard nature of the dissection in this area."
295.199,352.534,"The surgeon works up the descending colon towards the splenic flexure, using a vessel sealer for dissection. The patient is positioned in steep Trendelenburg with the left side elevated, providing good visualization. The surgeon lifts the descending colon mesentery off the kidney, revealing the base of the pancreas, while attempting to mobilize attachments for the anastomosis."
353.034,409.525,"The surgeon demonstrates techniques for taking down the white line near the splenic flexure. The vessel sealer is used to mark the mesentery at the planned proximal margin. The surgeon carefully fires the vessel sealer multiple times to ensure proper sealing of the thick mesenteric tissue, avoiding mesenteric bleeding while creating a window through the tissue."
410.025,515.453,"The surgeon cleans off the mesentery at the rectosigmoid junction, encountering thick and fibrotic tissue that results in a bloodier field. The mesentery becomes softer and more pliable as the dissection progresses. The surgeon carefully staples proximally and distally, using ICG for enhanced visualization."
515.953,562.524,"The surgeon positions the colon in the right abdomen and prepares for a standard anastomosis by joining the two posterior staple lines of the colon. The large phlegmon of the sigmoid colon is visible, indicating the complexity of specimen extraction."
563.024,636.332,"The surgeon extracts the colon through the right lower quadrant trocar site, avoiding a fan and steel incision. The colotomies are made, and the surgeon begins suturing the inner layer, starting in the middle and moving to the patient's left. Full thickness bites are taken between the staple line and the otomies, with each stitch placed precisely and tension adjusted by pulling."
636.832,724.285,"The surgeon begins suturing the anastomosis from the middle towards the patient's right side, performing a perfusion assessment to ensure the adequacy of the anastomosis. The suturing progresses around the corner, and the surgeon switches to using a canal for the procedure."
724.785,816.913,"The surgeon brings both sutures towards the middle, avoiding tying them near a corner. The left-sided suture is moved towards the middle, followed by the right-sided suture, which are then tied together. The original posterior suture, which joined the staple lines, is brought out anteriorly. Due to the length of the staple lines, the suture is too short to reach across, prompting the surgeon to demonstrate a remedy without using a new suture."
817.413,884.181,"The surgeon takes the longer of the two remaining suture segments and begins sewing it towards the other suture in the middle, tying them together. A leak test is performed by introducing fluid posteriorly to expel trapped air bubbles, ensuring no occult leaks are present."
884.681,924.232,"The surgeon successfully passes a 19mm proctoscope through the anastomosis, confirming its integrity. A leak test is performed on the bladder using over 300 cc's of methylene blue dyed solution, showing no signs of leakage. No drains are left in place, and a Foley catheter is retained for 24 hours post-operation."
