start,end,text
15.258,74.677,"The surgeon begins the cholecystectomy by marking the anterior and posterior lines of dissection above the Rouviere's sulcus, followed by making an incision over the peritoneum."
75.177,113.381,"After dividing the peritoneum, the surgeon uses a Maryland dissector to lower fibro-fatty tissue from the gallbladder medially and inferiorly towards the common bile duct (CBD). The surgeon carefully hooks a small bunch of tissue to the gallbladder, applies a short pulse, and pushes the tissue medially, avoiding cautery near the biliary tree on the medial side."
113.401,176.421,"The surgeon lowers the fibro fatty tissue on the medial side, revealing the cystic artery, a lymph node over the cystic artery, and the cystic duct. A branch of the cystic artery to the cystic duct is visible, with fibro fatty tissue hooked to the gallbladder. The surgeon applies a short burst of electrocautery to create a window in the tissue."
176.921,280.112,"The surgeon lowers the fibro fatty tissue posteriorly, hugging it to the gallbladder and applying a short pulse to push the tissue inferiorly and medially towards the common bile duct (CBD). A visible artery to the cystic duct is identified and buzzed to facilitate dissection in that area."
280.612,311.262,"The surgeon identifies a large stone in the infundibulum obstructing the dissection area. The stone is milked out and pushed into the gallbladder. The surgeon continues to lower the fibro fatty tissue around the cystic artery using electrocautery, applying a short buzz and pushing the tissue downward."
311.762,370.324,"The surgeon uses electrocautery to create a window through the fibro fatty tissue, pushing it downwards. A small branch of the cystic artery is visible, and bleeding occurs due to insufficient cauterization before pulling the tissue."
370.824,422.738,"The surgeon attempts to use bipolar cautery to stop bleeding above the Rouvière's sulcus, applying manual compression and short pulses with the bipolar device to control the bleeding from a non-major vessel."
423.238,483.015,"The surgeon continues the dissection around the cystic duct, carefully skeletonizing it from surrounding fibro-fatty tissue and fibers. This preparation facilitates the placement of a clip around the cystic duct."
483.515,544.313,"The surgeon carefully delineates fibers around the cystic duct, ensuring no traction is applied to avoid damaging small blood vessels. After buzzing the area, the lower one-third of the gallbladder is dissected off the blade, revealing two tubular structures leading to the gallbladder. The critical view of safety is achieved, and the cystic artery is clipped, followed by the cystic duct."
544.813,585.403,"The surgeon releases pressure from the traction instrument at the infundibulum to prevent tenting of the cystic duct. Two clips are placed on the medial side, and one clip is applied to prevent spillage on the specimen side."
585.903,643.341,"The surgeon gently separates the gallbladder from the gallbladder bed, addressing any minor bleeding points. A small cautery burn is visible on the gallbladder, which has been decompressed before continuing the dissection."
643.841,685.287,The gallbladder is completely detached from the liver bed and removed through the epigastric port. The surgeon performs a thorough lavage of the area and prepares the gallbladder bed for hemostasis. A small French drain is placed into the subhepatic space due to spillage.
