start,end,text
0.868,8.613,Laparoscopic right colectomy with hepatectomy after an ileocolonic open bypass.
9.113,25.202,A fifty-three years old male with an hepatic flexure colorectal adenocarcinoma. This patient had a previous open internal ileocolonic bypass due to referred liver and duodenal invasion.
25.702,42.329,He was then forwarded to our institution. CT showed an obstructive lesion with invasion to the liver and the hepatic flexure as shown in yellow circle.
42.829,52.133,"The laparoscopic view shows the internal bypass anastomosis highlighted in blue, with no visible invasion to the duodenum, which is marked by a green circle."
52.633,58.08,"The surgeon begins the procedure by conducting an inventory of the abdominal cavity, visually inspecting the organs and structures present."
58.58,70.166,"The surgeon visually inspects the anastomosis site, marked in blue, and identifies the distal ileum running towards the second portion of the intestine."
70.666,89.018,"The surgeon creates a gap through the mesentery to transect the terminal ileum, effectively separating the anastomosis from the surgical specimen."
89.518,104.205,"The surgeon inserts an endostapler to transect the ileum near the anastomosis site, preparing to separate the intestinal segment from the surgical field."
104.705,115.573,"The surgeon transects the mesentery of the distal ileum, extending the dissection laterally towards the cecum, with visible separation of the mesenteric tissue."
116.073,120.897,"The surgeon detaches the mesentery from the right colon, separating it from the surrounding tissue."
121.397,132.785,"The surgeon encounters difficulties in achieving a medial to lateral approach under the ileocecal vessels, resulting in limited exposure of the surgical field."
133.285,140.23,"The surgeon initiates dissection from lateral to medial, adjusting the approach due to previous difficulties in exposure under the ileocecal vessels."
140.73,153.071,"The surgeon continues dissection along the Toldt's fascia near the colon, carefully separating the fascia from the underlying structures."
153.571,171.53,"The surgeon performs a partial resection of Girota's fascia to prevent a positive circumferential margin near the tumor, ensuring clear margins during the procedure."
172.03,178.875,"The right kidney is visible, with the resected Gerota's fascia highlighted in green, indicating its inclusion in the specimen."
179.375,187.28,"The surgeon continues lateral mobilization in the correct anatomical plane, ensuring proper separation of tissue layers during the dissection."
187.78,201.632,"The surgeon completes the lateral detachment of the right colon up to the hepatic flexure, ensuring the colon is fully mobilized from the surrounding tissue."
202.132,230.667,"The surgeon continues the dissection close to the colon, completing the lateral mobilization. The procedure then shifts focus to the gastroepiploic ligament to mobilize the transverse colon, separating it from the gallbladder."
231.167,241.012,"The surgeon approaches the tumor, visually identifying the region where it invades the liver, preparing for further dissection or resection."
241.512,258.892,"The surgeon performs a medial to lateral dissection, focusing on the ileocecal vessels near the superior mesenteric vein."
259.392,281.276,"The surgeon opens the mesentery along the axis of the superior mesenteric vein, creating an open space to visually separate the pancreas and the duodenum from the specimen."
281.776,294.95,"The surgeon demonstrates that the duodenum and pancreas have been successfully freed from the specimen, with visible dissection lines separating these structures."
295.45,304.273,"The surgeon performs a secure dissection and ligation of the ileocecal vessels, ensuring these structures are carefully separated from surrounding tissues."
304.773,316.436,"The surgeon uses a clip and bipolar advanced energy device to secure and dissect tissue, likely in the area where the tumor invades the liver."
316.936,335.174,"The surgeon completes the detachment and mobilization of the duodenum, with the medial to lateral dissection nearly finished."
335.674,347.259,"The surgeon ligates and treats the transverse mesocolon, completing the separation of the pancreas and duodenum from the specimen."
347.759,354.743,"The surgeon creates a gap in the tissue to facilitate the insertion of an endostapler, preparing for the next step in the procedure."
355.243,366.05,"The surgeon transects the distal margin near the site of the previous anastomosis, completing the separation of the tissue."
366.55,383.672,"The surgeon staples the transverse colon, achieving a proper distal margin at the site of transection."
384.172,411.627,"The surgeon performs a partial hepatectomy using bipolar advanced energy, sealing and treating the liver parenchyma with the device."
412.127,436.747,"Following the partial hepatectomy, the surgeon performs medial dissection of the tumor, which remains attached to the gyrotous fascia."
437.247,452.885,"The surgeon completes the mobilization of the hepatic fracture and proceeds with the right colectomy, visually separating the liver tissue and colon from surrounding structures."
453.385,460.531,"The surgeon performs a partial resection of the Gerotas fascia, which appears green in the surgical field."
461.031,470.856,"The surgeon achieves hemostasis using monopolar energy, followed by the placement of Surgicel to control bleeding in the surgical field."
471.356,476.96,"The surgical specimen is extracted through a mylar incision, indicating the completion of the resection process."
477.46,485.906,"The surgeon inserts a closed suction drain near the liver, and the extracted specimen is displayed for visual inspection."
486.406,498.674,"Pathological report states a PT-IV PN-Ib, two lymph nodes positives out of fifty and three margins of resection."
