start,end,text
296.896,305.714,"A cryobiopsy was performed, as well as cold forcep biopsy, allowing us to obtain enough tissue for cytopathologic evaluation."
801.287,803.83,The sucker is used to perform much of the dissection.
804.451,812.582,"Taking care not to damage the phrenic nerve, we gently push with the sucker in between the middle lobe pulmonary vein and the lower lobe"
812.933,814.795,right inferior pulmonary vein.
815.796,819.22,We then use the ligature to take down the inferior pulmonary ligament.
819.74,829.811,This bipolar electrocardiogram device allows us to limit lateral thermal spread while dissecting the inferior pulmonary ligament all the way up to the level of the inferior pulmonary vein.
830.552,837.439,A PNUT dissector then allows us to dissect into the space between the superior and the inferior pulmonary veins.
837.419,848.816,The posterior and anterior dissection allows us to delineate the edges of the right inferior pulmonary vein until we have completely circumferentially dissected all the way around the vessel.
849.557,866.363,The stapler is inserted into the window and the lung after being retracted superiorly is now retracted anteriorly so that we can see the passage of the stapler exiting between the superior and inferior pulmonary veins into the left pleural space.
866.782,875.695,The posterior pleural space is the window where the tip of the curved tip gray load stapler is used to take the pulmonary vein.
876.295,890.275,"We prefer using a gray load curved tip stapler as it uniquely navigates around the pulmonary vein and provides the tightest vessel sealing of all of the other staplers, limiting the amount of back bleeding that is seen."
938.154,943.684,"The paddle of the bovie is used to insert into the fissure, allowing us to dissect."
943.664,949.132,There were many densely adherent lymph nodes that were located stuck to the pulmonary artery.
949.873,959.767,A grasper called the D'Amico node grasper made by Scanlon was used to grasp these lymph nodes and a sucker device was used to dissect the lymph node away from the tissue.
960.408,963.192,The posterior fissure is then taken with a stapler
963.172,976.313,"typically a purple load tri-staple, and several more lymph nodes are easily identified, a PNUT or Kittner dissector is used to dissect the lymph node away from the adjacent pulmonary artery."
984.086,987.171,The anterior fissure is then taken
987.286,1005.329,"And to orient the video, the head is towards the right, the feet are towards the left, a ligature device is seen inserting and finalizing the division between the right middle lobe and the right lower lobe as the major fissure, and the pulmonary artery can be seen just on the other side of the ligature."
1005.89,1012.298,"As the ligature has taken the anterior fissure, we are able to see the separation of tissue."
1012.278,1019.292,"The ligature will not use when staples are close by, and so only energy can be used once the staplers have been cleared."
1020.194,1033.982,"A straight or serrat clamp is used to insert behind the anteromedial basal branch, and a microcutter made by Dextera 5mm stapling platform is used to divide this small branch."
1033.962,1039.691,it is important to see that we milk the tissue out of the stapler to facilitate evacuation.
1040.051,1057.438,"To orient you for the posterior fissure video, the head is again to the right, the feeder to the left, the basilar trunk of the pulmonary artery is labeled, the right middle lobe pulmonary artery is also labeled, and the superior segment branch of the right lower lobe pulmonary artery will be the focus of our attention."
1057.418,1065.018,"As we begin the video, you can see the peanut is used to retract the tissue and the tumor away from the pulmonary artery."
1065.499,1073.74,"The superior segment pulmonary artery branch is dissected with the sucker tip, and the posterior fissure still has some remaining tissue."
1073.956,1083.972,"A Surratt clamp is used to pass behind that superior segment right lower lobe pulmonary artery, creating a track, but as you can see, the track is extremely narrow."
1084.533,1097.955,"Because of this narrow track, we selected the Dexdera microcutter 5mm stapler to dissect, staple, and divide this very small branch of the right lower lobe superior segmental pulmonary artery."
1097.935,1117.6,"it is important to note that the center of the stapler is the tightest seal of the vessel, and that once the vessel has been stapled, it is important to gently milk the tissue out of the stapler, as sometimes the staples can be caught in the trough of the stapler, and merely pulling the stapler back would result in bleeding."
1160.957,1170.231,"As we begin to dissect around the basilar pulmonary artery, the anterobasal pulmonary artery branch that was already divided can easily be seen."
1170.616,1172.94,"The head is to the right, the feet are to the left."
1173.241,1186.465,"It is important to note that when circumferentially dissecting around the pulmonary artery from the fissure, you should take care not to damage the posterior aspect of the pulmonary artery and note that the bronchus is just underneath."
1186.445,1192.918,Performing this dissection can be facilitated by retracting the pulmonary artery out of the way with a peanut tip sponge.
1193.499,1201.315,"And then once the serrat passes safely behind the pulmonary artery, the exit part of the serrat is now taken with BOVI."
1202.324,1211.16,"A silk suture can be used to pass around difficult passageways, and then a leader can be used to pass posteriorly behind the pulmonary artery."
1211.861,1220.417,It is important when advancing the leader to make sure that you pull posterior and not up to prevent damaging the pulmonary artery.
1221.106,1230.906,"As the Tanload tri-staple is inserted behind and around the pulmonary artery, you can see that the stapler is caught in the trough where the knife will be passed."
1294.563,1304.083,"As the stapler is passed around the pulmonary artery, we use the peanut sponge to move that branch out of the way so that the stapler can easily be fired."
1304.485,1313.055,"In the upper left-hand corner of the view, you can intermittently see a sponge stick ready to apply pressure on the pulmonary artery in the event of a misfire."
1313.716,1328.113,"Because we've repositioned our stapler, we are not as likely to have a misfire, but every single time we fire the stapler on a large branch of the pulmonary artery, we keep a sponge stick inside the chest ready to apply pressure if needed."
1329.123,1334.855,It is important to gently remove the leader as it can sometimes be caught on separate tissue.
1335.717,1343.433,We then begin to use a sharp scissor dissection while our pulmonary team is inside the airway with a bronchoscope guiding us.
1344.154,1349.325,"By initially placing a needle, you can identify easily where you would like to divide."
1350.25,1360.106,"Once we have sharply dissected the bronchus using scissors, we then can see that we are transecting a small bronchial artery, which results in bleeding."
1360.707,1363.432,This is easily managed with the ligature device.
1399.049,1402.855,"To orient the viewers, we have now changed position of the camera."
1403.396,1412.189,"The head is towards the top of the screen, the feet are towards the bottom of the screen, the azagus vein is to the left, and the right middle lobe is towards the right."
1412.73,1416.977,The orifice of the right middle lobe and bronchus intermedius are clearly labeled.
1416.957,1423.367,We then begin by showing with the sucker how the posterior ascending pulmonary artery branch is preserved.
1424.029,1427.434,The right middle lobe branches of the pulmonary artery are also preserved.
1428.175,1434.105,We used a 4-0 PDS suture with a smaller SH needle to use
1435.216,1437.359,to directly perform the bronchoplasty.
1438.22,1459.047,"By using an interrupted technique, we began on the right side and sequentially took several different interrupted sutures to put the right middle lobe back up against the bronchus intermedius, thus closing the right middle lobe up against the terminal end of the bronchus intermedius like closing a door or a book."
1459.28,1478.014,This open book fashion for bronchoplasty technique can clearly be used knowing that we will now be swinging the right middle lobe towards the bottom portion of the chest and may sometimes have to mobilize the right middle lobe slightly to allow this technical feature to happen.
1479.175,1496.596,"The stay suture allows us to orient the center part of the bronchus intermedius against the center part of the right middle lobe, making sure that like clocks on a face, we are matching up each of our sutures and not creating a gap or a buckle in the closure of the bronchoplasty."
1497.857,1504.525,"Once all the interrupted sutures have been placed, we then begin tying the sutures down with a knot pusher."
1504.808,1511.416,One could alternatively have used 3-0 or 4-0 interrupted oiled vicryl sutures.
1512.157,1520.987,"This would have been a more cost-effective alternative, but certainly either PDS or vicryl is a viable option when performing a bronchoplasty."
1521.227,1527.795,We elected to use the 4-0 instead of the 3-0 to facilitate easier passage with a smaller needle.
1528.754,1534.781,"Once the knot pusher is used to close each of the knots down, we then began to ventilate the right lung."
1536.283,1547.056,"Initially, it appeared as though only the right upper lobe would come up, but when we reposition the right middle lobe into a more posterior position, one can see that the lung clearly opens up."
1547.356,1557.208,The technique that facilitates this visualization is by dialing back the view on the STORS scope to facilitate a more bird's eye view.
1557.458,1568.058,"By using a retractor to push back on the anterior portion of the right middle lobe, we can also see that the right middle lobe anterior medial segment is easily being inflated."
