start,end,text
7.118,16.892,다음 단계는 퍼머리 뱀을 통제하는 것입니다.
17.253,24.083,퍼머리 를 사용해서 퍼머리 를 분리합니다.
24.103,24.644,퍼머리 를 사용해서 퍼머리 를 분리합니다.
24.664,28.69,퍼머리 를 사용해서 퍼머리 를 분리합니다.
29.371,29.831,퍼머리 를 사용해서 퍼머리 를 분리합니다.
29.992,30.452,퍼머리 를 사용해서 퍼머리 를 분리합니다.
30.472,31.213,퍼머리 를 사용해서 퍼머리 를 분리합니다.
31.233,31.894,퍼머리 를 사용해서 퍼머리 를 분리합니다.
31.914,33.156,퍼머리 를 사용해서 퍼머리 를 분리합니다.
33.176,33.757,퍼머리 를 사용해서 퍼머리 를 분리합니다.
33.777,34.238,퍼머리 를 사용해서 퍼머리 를 분리합니다.
34.258,34.358,퍼머리 �
34.675,37.56,이소파고스의 흐름이 매우 불안합니다.
37.64,44.392,이소파고스의 흐름이 매우 불안합니다.
47.959,48.84,이소파고스의 흐름이 매우 불안합니다.
48.86,49.621,이소파고스의 흐름이 매우 불안합니다.
49.641,54.751,이소파고스의 흐름이 매우 불안합니다.
54.771,55.171,이소파고스의 흐름이 매우 불안합니다.
55.191,55.712,이소파고스의 흐름이 매우 불안합니다.
55.913,56.313,이소파고스의 흐름이 매우 불안합니다.
56.333,56.734,이소파고스의 흐름이 매우 불안합니다.
63.464,71.715,대부분의 경우에는 도움이 필요하지 않습니다.
71.735,75.62,보통은 솔로 수술입니다.
77.863,85.674,하지만 가끔은 수술의 관점이 충분하지 않습니다.
87.216,88.337,도움이 필요합니다.
88.357,89.639,도움이 필요합니다.
89.659,90.18,도움이 필요합니다.
90.2,90.4,도움이 필요합니다.
90.38,98.692,다시 포멀 뱀을 분석하고 포멀 뱀을 둘러싼 것입니다.
98.712,99.816,"네, 분석 완료."
106.259,119.675,포르모리 뱀을 조절하는 방법은 보통 스테플링을 사용합니다.
119.695,125.302,하지만 가끔은 포르모리 뱀이 너무 작다면 가끔은 해모락을 사용합니다.
126.643,128.065,그러나 대부분의 경우 스테플링이 충분합니다.
128.72,135.407,스테플러는 시그니아와 함께 사용하고 싶습니다.
135.427,145.738,시그니아는 스테플러가 가장 유용한 스테플러라고 생각합니다.
145.758,156.55,"스테플러는 어떤 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤 어려운 상황에서 사용할 수 있거나, 어떤"
159.449,168.139,그리고 뱀을 자릅니다.
168.159,169.122,이것은 스트레이트보드입니다.
171.532,181.02,마지막 단계는 브렁크스를 나누는 것입니다.
