start,end,text
0.271,7.237,"We are here with the fourth case today, and I'm going to present Dr. Bolan's case."
7.737,13.181,"He's a forty-eight-year-old, years-old male, complaining about... Yeah, the tumor... No, there's a mirror."
13.241,15.642,It's the distance between the different instruments.
15.682,21.787,"I make like a W. He's a health smoker and... Ninety-nine percent, yes."
22.287,26.29,Without any clinical symptoms.
26.79,29.179,"On the CT,"
29.679,59.235,right kidney there is a heterogeneous mass at about twelve centimeters also there is a left left side kidney tumor on the lateral border of the lower pole and the plan treatment plan for this patient is first laparoscopic right radical nephrectomy
59.735,62.959,"Second cardiac surgery, aortic wall repair."
63.459,67.924,"The surgeon performs laparoscopic enucleation of a small mass on the left kidney, carefully excising the tumor from the lateral border of the lower pole."
68.424,76.754,"The surgical team prepares for a laparoscopic transperitoneal right radical nephrectomy, focusing on the right kidney with a heterogeneous mass."
77.254,80.155,And the surgeon is Rene Bolland from France.
80.655,83.956,Now I think that you see the head of the patient is on this side.
84.356,86.417,The legs of the patient is on the other side.
86.917,88.938,The last strip is at this level.
89.438,92.3,"The surgeon identifies the line of the rectus abdominis muscle, marking its location on the abdominal surface."
92.8,98.042,"The surgeon inserts a 10mm trocar one finger's width below the last strip, aligning with the marked line on the abdomen."
98.542,100.923,"After, I made like a triangle."
101.423,106.367,"The surgeon positions the optic and two working instruments with a four-finger breadth distance between them, ensuring adequate space for maneuverability during the nephrectomy procedure."
106.867,109.869,"And between the two instruments that I use to work, I have one hand."
110.169,114.272,"Of course, it's the size of my hand, but it's the only one that I have."
114.332,117.314,But it gives you a good idea.
117.374,122.757,This one is placed more lower and more cranial than all the other ones.
122.877,124.679,"A retractor is positioned within the surgical field, likely to provide exposure or maintain access during the nephrectomy procedure."
125.179,127.881,"The surgeon positions a 5mm suction device within the surgical field, using it to manage fluids during the nephrectomy procedure."
128.381,132.371,"The surgical field reveals the bulking of the tumor, visible despite the presence of gas in the area."
132.871,137.575,"When we enter inside, it has to retract the..."
138.075,141.336,"The surgeon exposes the liver, revealing a large tumor adjacent to it."
141.356,150.878,The surgeon navigates between the vena cava and the aorta to visually identify and prepare to control the renal artery.
151.078,158.14,I've seen on the CT scan that this patient has a big dilated vein localized on the low pole mainly.
158.64,163.902,And the idea is to control first the artery to make our life more easy.
164.402,167.281,Do we have the grasp to look? Yes.
167.781,171.544,"Okay, one step and I need one step for my assistant."
172.044,175.406,I need one step for the assistant here to be higher.
175.906,180.409,Section on the left hand and camera on the right.
180.909,182.81,"Okay, we can see already down."
183.31,187.073,"Don't worry, you'll follow my camera, my tip of my grasp."
187.573,189.714,The surgeon uses a grasping instrument to clamp a structure within the surgical field.
189.814,196.892,We have a small problem with the generator because the generator is not compatible with the
197.392,200.113,"If I know how to use it, okay, this one seems good."
200.454,206.136,"Well, what we can see here, this is the goldbladder."
206.636,211.519,"The surgeon visually examines the anatomical structure, identifying it as the colon, with the duodenum nearby."
211.579,236.614,The surgeon observes that the colon is positioned higher than usual and plans to release it to locate the duodenum situated just behind.
237.114,240.495,"Yeah, but it's a mistake, huh?"
240.555,250.54,"The base of the life surgery is to have at least a monopolar coagulation, bipolar coagulation at the minimum. All the other thing is just comfort."
251.04,262.064,"Is it okay? Show me here. Camera left, yeah."
262.564,278.484,"Well, the idea is to find the duodenum. I don't know if this one is finally the denim or if it's the cologne only."
278.984,280.545,Sorry?
281.045,288.267,"No, I don't like this bipolar. Show me on the left."
288.767,293.088,"Which one? No, it's OK. Now we are on start."
293.588,321.85,Move on. on the left side enter with the camera inside a little bit maybe the second assistant should go on the left side to hold the camera because here you cannot hold it you go on my right just to hold the camera when we are really on the extreme and you must be careful about the zero if you turn it in all direction it's impossible
322.35,336.336,"No, the same problem is not the problem of the model, the design. The problem of the company is not a very good one."
336.836,357.816,"The surgeon frees the colon from the tumor, preparing the area with careful manipulation while maintaining an optimal distance from the screen."
358.316,370.288,You see the big thing that I've seen on the city. Show me lower with the camera.
370.788,381.66,The good news is the mass is mobile.
382.16,415.017,the pedicle is more on the right be careful the zero is not correct you must turn it turn the zero turn the optic no my god this one
415.517,429.104,"The surgeon identifies the vena cava, visible in the surgical field."
429.604,442.905,"Yeah, it seems to be the datum is there. I don't know yet."
443.405,463.897,"The surgeon adjusts the camera angle to avoid light absorption by the tube, aiming to free the diadem and colon for better access between the vena cava and aorta."
464.397,472.321,"The surgeon uses unprotected scissors near the base of the surgical field, taking care to avoid burning the surrounding tissue, including the denim and colon."
472.821,480.084,"The kidney is visible in the surgical field, with the surgeon requesting placement of a sectioning instrument nearby."
480.584,495.374,"The surgeon gently lifts the tissue, taking care to avoid exposing the tube behind it, while maintaining awareness of the structures that may be hidden from view."
495.874,506.616,The surgeon carefully incises the peritoneum at a higher point to gain better access and visibility of anatomical landmarks necessary for the procedure.
507.116,512.477,I don't know if it will be possible to go between the vena cava and the aorta today. What is this?
512.677,565.407,"The surgeon identifies the renal vein and notes the kidney's unusually low position. The adrenal glands are visible, indicating a high surgical field. The kidney appears to be descending lower than typical anatomical positioning."
565.907,575.772,"The surgeon assesses the anatomical positioning, noting the difficulty of accessing the space between the vena cava and the aorta due to the low position of the structures."
576.272,580.133,"The surgeon begins dissection in the area between the vena cava and the aorta, attempting to explore the anatomical space and assess the possibility of further surgical access."
580.153,596.223,"The zero is not correct. The vena cava must be placed horizontally. Yeah, it's better. The Pena camera is really full of blood."
596.723,610.091,"Center the image on the left and zero is not correct. You must hold the camera. If you hold the optic, you cannot control the zero because it turns."
610.591,631.323,"The surgical field reveals the left renal vein at the current level, with the lumbar vein visible on the left side and the right renal vein positioned nearby. The surgeon assesses the area, noting potential risks in proceeding further."
631.823,650.791,"I just look a little bit to see if it's possible to have a control on the renal artery here. Once again, can you please section there?"
651.291,662.895,"The surgeon gently lifts the vena cava, attempting to pass deeper underneath it, while adjusting the position to avoid superficial manipulation."
663.395,690.089,"Give me the instrument. Under here. Okay, you have it. Don't move. Camera closer."
690.589,705.34,I expect to have the rain your access this fat no the problem is the the vessel itself is not so mobile I'm very careful because I don't feel very confident because I don't like this bipolar
