start,end,text
1.178,10.786,This video demonstrates the utility of lateral port placements in XI-ETEP incisional hernia repair.
11.286,24.617,This is a middle-aged female with a BMI of thirty-five who has a lower abdominal incisional hernia. The hernia has been enlarging since two thousand twelve.
25.117,35.94,"The hernia is visibly located mostly below the umbilicus, a result of a previous lower midline exploratory laparotomy."
36.44,48.443,"The video shows a large amount of colon and small bowel herniating into the hernia sac, predominantly located on the right side of the patient's pannus."
48.943,54.226,"The hernia is shown to be partially reducible when the patient is in a supine position, with some of the herniated bowel retracting back into the abdominal cavity."
54.726,70.111,"The surgeon measures the largest width of the hernia defect at approximately seven centimeters, with a cranial-caudal length of about thirteen centimeters, including a small umbilical hernia."
70.611,77.813,My plan was to approach this with an ETEP technique.
78.313,97.165,"I have the option of lateral dock or docking in the epigastric region. I've had a lot of success with the lateral doc, but since this was mostly in the suprapubic area, I contemplated performing an upper epigastric doc."
97.665,112.684,"My plan was to start with the lateral doc, and once I take down the hernia sac and proceed with defect closure, I had the option of performing a upper doc if necessary."
113.184,123.652,"The surgeon uses an ultrasound to identify anatomical landmarks, specifically the ipsilateral linea semilunaris and the contralateral linea alba, at the start of the operation."
123.672,129.336,I also perform a bilateral tap block at this time.
129.836,134.989,"The surgeon enters the surgical field through an incision in the left upper quadrant, marked by a circled area on the patient's abdomen."
135.489,151.635,"The surgeon places a second port in the left mid-abdomen and a third port in the left lower quadrant, preparing for a lateral docking approach."
152.135,162.297,"The surgeon uses robotic assistance to incise the posterior rectus sheath just lateral to the linea alba, entering the preperitoneal space."
162.797,173.279,"The surgeon carefully incises the posterior rectus sheath while bringing down the preperitoneal fat to reach the level of the incisional hernia, taking care to avoid any bowel on the other side."
173.779,181.521,"The surgeon manipulates the preperitoneal fat, bringing it down to approach the hernia sac. A prior suture is visible near the hernia sac."
182.021,192.365,The surgeon attempts to remain in the extraperitoneal space but enters the peritoneum due to the complexity of the incisional hernia.
192.865,197.966,"The surgeon completes the division of the posterior rectus sheath, extending the incision down to the arcuate line, revealing the underlying anatomical structures."
198.466,213.495,"The surgeon addresses the hernia sac, attempting to bring down the sac, which is observed to be relatively thin."
213.995,224.683,"The surgeon navigates outside the hernia sac, attempting to access a thicker tissue layer. The dissection occurs in the subcutaneous tissue, revealing the stratification between the layers of the hernia sac."
225.183,240.876,"The surgeon navigates the tricky portion of the hernia repair, where the omentum has herniated between the anterior rectus sheath and the rectus muscle, becoming incarcerated in the anterior rectus space."
241.376,258.857,"The surgeon places the ports on the left side to access the abdominal wall anterior to the rectus muscle. The omentum, previously stuck within the anterior rectus space, has been completely taken down. The surgeon prepares to complete the sac takedown."
258.957,281.053,"The surgeon completes the takedown of a large hernia sac, removing approximately half of it to ensure sufficient material for posterior coverage in the event of a large defect between the posterior rectus sheath."
281.553,297.867,"The surgeon carefully dissects the available peritoneum from the right rectus muscle, entering the right retrorectus space."
298.367,323.061,"The surgeon prepares to open the posterior rectus sheath along the linea alba, starting at the arcuate line. A grasper is inserted into the retro-rectus space, and the jaws are opened to make an incision approximately one centimeter away from the linea alba."
323.561,345.416,"The surgeon dissects the areolar space within the posterior rectus space, carefully preserving the fibril areolar tissue anteriorly to protect the neurovascular bundles. The dissection progresses down into the pelvis, revealing the development of the space of Retzius."
345.916,370.382,The surgeon ensures the mesh is securely tucked into the space of Retzius due to the low position of the hernia. The right round ligament is divided away from the internal ring to prevent injury to the genital branch of the genitofemoral nerve.
370.882,383.204,"The surgeon divides the left round ligament, mirroring the technique used previously on the right side to avoid injury to surrounding structures."
383.704,399.869,"The surgeon performs a limited bottoms-up transversus abdominis release (TAR) on the right side, ensuring that the mesh extends beyond the linea semilunaris in the lower abdomen to provide adequate coverage for the hernia."
400.369,415.321,"The surgeon divides the posterior rectus sheath approximately one centimeter medial to the linea semilunaris. The peritoneum is pushed off the posterior rectus sheath before division, revealing the entire defect."
415.821,419.626,The surgeon prepares to use image inversion technique to close the visible defect in the surgical field.
420.126,442.217,Image inversion is not something I utilize routinely but in hernias like this where I can see it very well I have no issues with robot reach or collisions and the defect is somewhat long I like to use image inversion because it does speed up my suturing a little bit.
442.717,465.781,"With image inversion, the surgeon sutures the defect, ensuring to grab the anti-erectus sheath. The left side of the screen shows the patient's right rectus complex, where the anti-erectus sheath is visibly separated from the rectus muscle."
466.281,478.702,"The surgeon takes bites of both the anti-erectus sheath and the rectus muscle to close the anti-erectus space, followed by taking several bites of the hernia sac."
479.202,544.414,"The surgeon takes multiple bites of the large hernia sac, laying out sutures along the length of the incision to distribute tension evenly. The edges of the defect are brought together, reaching the cephalad portion of the incisional hernia. A small umbilical hernia is also incorporated into the linea alba re-approximation."
544.914,562.127,"The surgeon uses an OV lock 180 suture to close the defect, then runs the suture back slightly before reverting the image."
562.627,585.815,"The surgeon focuses on closing the posterior aspect of the hernia repair, using a bottoms-up technique on the right side. The redundant hernia sac is visible, and the surgeon assesses the excess tissue to determine the best approach for closure."
585.835,625.482,"The surgeon uses a V-Lock suture to close the posterior layer, with the closure nearing completion."
625.982,642.906,"The surgeon measures the floor space to ensure the mesh will adequately cover the entire area, preventing bowel from entering the retroactive space."
643.406,700.264,"The surgeon measures the defect, noting it is 27 centimeters in length and 19 centimeters in width. A medium weight macroporous polypropylene mesh is introduced through an 8mm port, unrolled using a suture technique. The mesh is secured to the Cooper's ligament and pubis with several interrupted vicryl sutures to prevent upward migration. No drains are placed, and the patient is discharged on postoperative day one."
700.764,712.92,"The mesh is visible covering the port sites, indicating successful placement and coverage of the surgical area."
