start,end,text
49.137,74.447,"The laparoscopic camera view shows the gallbladder with surrounding regions, including the left and right lobes of the liver."
74.947,118.121,"The surgeon observes the diaphragm, including the cardiac part, and the visible heartbeat. The rest of the abdomen appears unremarkable as additional ports are established, revealing the liver's volume."
118.621,150.267,"The surgeon maneuvers from the right side of the falciform ligament, establishing a port to create more space in the abdominal cavity due to the patient's increased adiposity."
150.767,190.205,"The surgeon positions two different ports: one along the anterior imaginary line and another along the midclavicular line, while an assistant holds the camera."
223.142,243.999,"The surgeon uses a fundamental grasper to manipulate the gallbladder, with visible regions of tissue falling into place. The camera view becomes foggy, affecting visibility."
276.388,304.584,"The surgeon holds the gallbladder from the fundus and pushes it back, revealing the body of the gallbladder. Some fluid leaks out from the gallbladder during the grasping process."
304.624,336.159,"The surgeon introduces a second grasper under the Hartmann's pouch, manipulating the area around what appears to be a lymph node."
476.232,522.164,"The surgeon cleans the surgical field to reveal the plane for separating the gallbladder from the fossa, preparing to detach the gallbladder from its anatomical position."
522.664,594.695,"The surgeon separates the gallbladder from the liver, identifying a cleavage plane for posterior dissection. The cystic artery is visible anteriorly, guiding the dissection approach."
595.195,628.948,"The surgeon performs a conventional dissection, carefully identifying and separating the tissue planes around the gallbladder."
629.448,696.14,"The surgeon identifies the gallbladder being separated from the liver and the cystic artery, which has been dissected. The gallbladder is also being separated from the fossa, with attention to the anterior aspect."
696.64,801.487,"The surgeon identifies the cystic artery and cystic duct, noting the presence of a lymph node with acute inflammation between them. The cystic duct is positioned posteriorly, while the cystic artery is anteriorly, and both structures are separated from surrounding tissue."
801.987,847.931,"The surgical field shows the liver fossa with one-third of the liver bed exposed. The cystic duct and cystic artery are visible, and the common bile duct (CBD) is identified. The dissection is complete, and a clip is placed on the cystic duct."
848.431,907.03,"The surgeon observes the clear critical view of safety, with the cystic artery and cystic duct distinctly visible. A decision is made to use a larger clip for the vessel, while a smaller clip is prepared for use."
907.53,952.322,"The surgeon requests a larger clip for the cystic artery, noting that the bleeding has stopped after applying a clip to the artery."
952.822,1022.06,"The surgeon applies a larger clip to the cystic duct and artery, opting for clipping over ligation as a method to secure these structures during the cholecystectomy procedure."
1022.56,1088.767,"The surgeon applies a clip to the cystic duct, pushing it firmly to ensure complete obliteration of the duct. Both sides of the duct show visible inclination as the clip is positioned."
1089.267,1124.356,"The surgeon discusses the placement of a clip on the cystic duct, deciding to position it above the common bile duct (CBD) for optimal safety."
1124.856,1225.244,"The surgeon places two clips at the junction of the cystic duct, noting some thickness in the area. An additional clip is positioned before cutting the duct, following the clearance of jaundice in the patient."
1225.744,1277.217,"The surgeon identifies the common bile duct (CBD) and notes a cleft in the area. Gradual cutting is performed on both sides, revealing the pulsation of the cystic artery and the cystic duct. The CBD appears to be well managed."
1277.717,1372.217,"The surgeon approaches the vulva and fossa, with one-third of the critical view of safety already achieved. Inflammatory tissue is visible in the area."
1372.717,1517.825,"The surgeon instructs an assistant to slightly pull the tissue, creating a visible area where the gallbladder walls are being separated from the liver bed."
1871.526,2007.422,"The surgeon uses scissors and a spatula to open a thick-walled gallbladder, revealing stones inside."
2007.922,2059.265,"The surgeon removes remaining stones from the gallbladder, with some stones visibly falling down during the process."
2241.251,2390.654,"The surgical field shows the cystic duct and cystic artery on the right side, with no stones remaining. The area appears clear, and a drain is placed before concluding the procedure."
