start,end,text
47.182,100.062,"The surgeon begins the procedure by making six incisions in the abdominal area, with four incisions being a quarter of an inch and one or two being about half an inch. The belly button is visible in the center at the bottom. Cannulas are introduced through these incisions for instrument access. The surgeon explores the abdomen, revealing the liver in the right upper corner and yellow fat tissue. The colon is visible in the right bottom corner. The surgeon starts measuring the intestines."
100.562,196.915,"The surgeon measures the small intestine by moving it in four-inch increments, using a marked instrument to ensure precise distance. A stitch is placed ten feet from the end of the colon to mark the location. The surgeon then identifies the end of the stomach, lifting it on the left side while noting attachments on the right, preparing to detach the stomach."
197.415,275.842,"The surgeon disconnects the stomach from its surrounding attachments, including the pancreas and spleen, progressing towards the diaphragm. The pink stomach is visible on the left, squeezed between the liver above and the pancreas below. The liver appears enlarged and hangs down, while the spleen is tightly attached to the stomach on the right. The surgical field is magnified, showing detailed tissue manipulation as the stomach is detached from the diaphragm."
276.342,355.747,"The surgeon has completely freed the stomach along its outer surface and inserts an endoscope to guide the creation of the sleeve. The stomach is pulled slightly to the side, and a stapler is used to detach the right side of the stomach. The stapler cuts and leaves three rows of titanium staples on each side, sealing the tissue to prevent bleeding and leakage."
356.247,431.744,"The surgeon continues to remove the right part of the stomach towards the diaphragm, with the liver visibly hanging down. The left side of the stapler remains inside the patient, forming a smaller stomach that holds about two to three ounces of food or fluid. The right side of the stomach is excised, creating a slightly looser sleeve than usual."
432.244,490.217,"The surgeon positions the stapler to create a long, thin stomach resembling a banana shape on the left side, ensuring proper sealing along the staple line to prevent leakage."
490.717,533.466,"The surgeon observes the liver and gallbladder, with the gallbladder appearing as a large purple structure beneath the liver. The pink tissue being manipulated is the duodenum, the first part of the small intestine located behind the stomach. The surgeon begins detaching tissue to create a tunnel behind the duodenum."
533.966,565.183,"The surgeon prepares to cut the small intestines and reroute the flow of food, focusing on the top part of the duodenum. The instruments are positioned carefully near a bluish structure, which is where the bile ducts enter. The gallbladder is visible on the left side of the surgical field."
565.683,625.504,"The surgeon observes the gallbladder, noting potential inflammation or stones, and considers removal for safety. The surgical view shifts to the lower area, revealing the pancreas as a tunnel is being created. A device is introduced to assist in forming the tunnel and connecting it to the upper section."
626.004,699.566,"The surgeon uses cautery to assist in creating a tunnel wide enough for a special stapler with a pointed tip. The duodenum is visible with yellow fat below it and the pancreas beneath. The stapler is positioned to cut the duodenum approximately 1.5 to 2 inches behind the stomach, ensuring no blood vessels are severed. The knife on the stapler cuts through, leaving the left side of the duodenum intact while the right side is stitched with visible black sutures to create an opening."
700.066,782.669,"The surgeon measures the intestines, identifying a spot ten feet from the colon. An opening is made in this part of the intestines, which is then stretched slightly. A stapler is inserted to connect this section of the intestines with the duodenum, creating a wide opening to prevent future scarring or stricture. The knife on the left side of the stapler makes the connection, resulting in a visible inch and a half wide opening for food passage. The remaining opening in the intestines is prepared for closure to prevent leakage."
783.169,815.485,The surgeon uses another stapler to create a staple line between the small intestine on the left and the duodenum on the right. An extra piece of tissue is removed and discarded. Additional stitches are placed at both ends of the connection to reduce tension and prevent leakage.
815.985,894.067,"The surgeon identifies a V-shaped hole between two parts of the fat, indicative of an internal hernia. To prevent intestinal obstruction, a permanent black stitch is used to close the gap. After completing the connection, a leak test is performed using an endoscope, which is inserted near the Stuter Ridge. Air and water are introduced to check for leaks, with no bubbles observed, indicating a successful seal."
894.567,966.667,"The surgeon disconnects the stomach and places it into a plastic retrieval bag. The bag is carefully extracted through a cannula to prevent the stomach from contacting the skin, minimizing infection risk. The stomach is pulled out slowly, leaving a small opening at the cannula site, which is then closed with stitches to prevent hernia formation."
967.167,986.944,"The surgeon pulls the other side of the stitch through, using several stitches to secure the area. After completing the stitching, all cannulas are removed, and the surgical sites are checked for bleeding. The procedure involves six small incisions, with the belly button visible at the bottom of the screen."
