start,end,text
21.871,33.058,"The surgical setup includes a camera port positioned just below the stoma, two working ports located in the right iliac fossa and left hypochondrium, and an assistant port in the epigastric region."
33.558,38.141,The patient is positioned with a slight head-down tilt and left-side elevation to facilitate the retraction of the small bowel away from the surgical field.
38.521,43.165,The patient is positioned in lithotomy to allow access to the anal opening for the next step after the bowel is pulled out.
43.665,55.141,"The surgical team utilizes side docking with port positions that provide a panoramic view of the left side of the abdomen, including the descending colon, sigmoid colon, and pelvis."
66.372,82.805,"The surgeon takes the first biopsy from the recto sigmoid junction, followed by a second biopsy from the mid sigmoid level. The third biopsy is taken from the upper sigmoid, near the junction with the descending colon."
98.65,108.359,"The surgeon continues the dissection of the small bowel, working both distally and proximally, while awaiting the frozen biopsy report."
124.993,135.316,"The surgeon hitches the sigmoid colon at the recto sigmoid junction and at the mid sigmoid level to the abdominal wall, securing these sections visibly."
135.816,154.901,"The surgeon uses two stitches to hitch and fix the mobile sigmoid colon in place, allowing for free-handed dissection of the mesentery without rotation of the colon."
163.467,172.715,"The surgeon uses a Vicryl or PDS suture transabdominally, with the camera positioned just below the stoma site, providing a clear view of the surgical field."
173.215,180.924,"The surgeon utilizes robotic optics to achieve a complete field of vision, spanning from the pelvis to the descending colon, enhancing the visual orientation during the procedure."
184.888,190.956,"The surgeon positions the left port in the left hypochondrium and the right port instrument in the right iliac fossa, preparing for further surgical manipulation."
191.456,193.479,"The assistant port is positioned in the epigastrium, providing access for surgical instruments during the small bowel resection."
193.499,196.003,"The surgeon has a clear, straight line access to the pelvis, facilitated by the positioning of the surgical ports and camera."
196.503,203.513,"The surgeon attempts to dissect across the mesentery of the rectum, aiming to enter the mesorectal space, using precise instrument manipulation."
203.933,207.598,"The surgeon identifies the plane of dissection within the mesorectal space and proceeds to carry the dissection downwards, utilizing the established access points."
208.098,231.29,"The surgeon navigates through the retrorectal region towards the anal verge, aiming to reach the site of a previous full-thickness rectal biopsy. The dissection is performed with caution due to the proximity of the ureters crossing the pelvic brim on either side."
238.874,247.069,"The surgeon navigates behind the rectum, following its path downwards into the pelvis, reaching the anal brim."
277.463,286.611,"The surgeon gently dissects retrorectal fibers, progressing towards the anal verge, using careful technique to separate the tissue layers."
287.111,292.516,"The surgeon reaches the anal verge and begins dissecting the sigmoid mesentery, carefully separating the mesenteric tissue from surrounding structures."
303.686,318.568,"The surgeon carefully dissects close to the mesentery of the colon, ensuring that the bowel segment remains adequately vascularized and avoiding unnecessary devascularization."
336.598,348.945,"The surgeon continues dissection along the mesenteric border, carefully navigating the anatomical structures to avoid disorientation during laparoscopic small bowel resection."
353.931,357.516,"The surgeon identifies biopsy sites as markers for the dissection, using them to guide the surgical approach and ensure precise tissue removal."
383.203,388.188,"The surgeon continues the dissection proximally, reaching the third biopsy site marked during the procedure."
418.701,422.264,"The surgeon advances the dissection towards the third biopsy site, maintaining orientation within the surgical field."
422.764,425.247,"The surgeon is positioned close to the mesentery, with visible powder-like material on the tissue surface."
425.747,435.575,"The surgeon thoroughly irrigates the pelvic area, ensuring the removal of any residual blood or debris, as minor oozing persists despite maintained hemostasis."
436.075,444.082,"The surgeon assesses the mobilization of the mesentery, ensuring it is adequately freed for the pull-down maneuver."
455.548,470.156,"The surgeon removes the first stitch to increase mobility in the bowel segment, preparing to apply a laparoscopic stapler at the peritoneal reflection for cutting the stump and further mobilizing the bowel."
490.195,499.858,"The surgeon applies a single laparoscopic stapler distal to the peritoneal reflection, targeting the area where the disease is present in the rectum."
499.878,505.56,"The surgeon applies a single stapler to the collapsed and small rectum, completing the resection at the peritoneal reflection."
506.06,507.841,"The surgical field shows no spillage of intestinal contents as the surgeon continues the procedure, maintaining a clean operative area."
508.021,510.002,"The surgeon achieves a clean cut at both ends of the resected small bowel segment, ensuring precise separation without spillage of intestinal contents."
510.502,511.702,A small portion of the mesentery remains attached to the bowel segment.
511.762,514.403,"The surgeon uses scissors to snip off the remaining tissue, completing the resection."
514.443,522.327,"The surgeon displays the rectal stump, which is of adequate size and reaches up to the peritoneal reflection at the pelvic brim."
522.827,531.971,"The surgeon pulls the proximal colon down retro-rectally, utilizing the space previously created behind the rectum."
537.049,544.575,"The surgeon makes a cut at the margin and enters the retro-rectal space, creating a visible separation between the rectum and surrounding tissues."
544.635,550.821,"The surgeon places a hitching stitch, preparing to pull the bowel through using the visible threads."
552.062,554.204,The completion of the anal dissection is visually confirmed.
554.704,558.267,"Long artery forceps are introduced into the surgical field, likely to manipulate or secure tissue during the procedure."
558.507,562.51,"The surgeon uses long artery forceps to grasp and pull the threads, extracting the bowel through the incision."
565.073,568.998,"The surgeon creates a large opening in the posterior wall of the rectum, ensuring adequate space for the procedure."
572.381,573.443,"The surgeon enters the tissue with a full-thickness approach, likely using surgical instruments to penetrate through all layers of the bowel wall."
577.187,580.972,The surgeon uses a mosquito clamp to feed threads through and pulls the entire bowel outside the abdominal cavity.
598.847,607.695,"The surgical field shows an opening with air escaping, while a high flow of CO₂ is maintained to prevent abdominal collapse."
608.195,609.175,"The surgeon has successfully pulled out the small bowel using threads and a mosquito clamp, revealing the exteriorized section of the bowel."
611.617,613.259,"The surgeon displays the pulled-out section of the colon, which is visible in the surgical field."
613.759,618.465,"The abdomen remains visibly distended due to the insufflation of CO₂, maintaining its expanded state during the procedure."
618.965,629.518,"The surgeon applies linear staplers trans-anally to create a pouch, with the anterior wall formed by the native rectum and the posterior wall by the pulled-down colon."
630.018,631.039,"The surgeon creates a pouch with the anterior wall formed by the native rectum and the posterior wall by the pulled-down colon, visible in the surgical field."
