start,end,text
1.343,11.409,sharing the case of a right colectomy for a patient with right colon polyposis and large cecal polyps that were found initially two years ago.
11.909,14.134,Patient was counseled for surgery.
14.634,32.222,"by his gastroenterologist and another surgeon, but because he had multiple prior operations, including two X-lapsed through a Chevron incision for trauma, and one was a thoracal abdominal on the left side and an open common bile duct exploration on the right side, he was told he could only have an open operation."
32.262,41.123,"And believe it or not, challenged the patient to decide not even to have surgery at the time that the biopsies of the colon polyps were all benign."
41.623,47.608,"Cut to two years later, he has another colonoscopy and now the cecal polyp is a cancer."
48.108,52.852,"He came to me, I offered him MIS procedure."
53.352,59.888,The surgeon begins the procedure with a left parabilical incision to insert a 12mm balloon trocar for camera access.
60.388,64.251,"The surgeon places a 5mm trocar in the right lower quadrant and a 12mm trocar in the suprapubic region, preparing for laparoscopic access."
64.331,69.816,"I'm planning on doing the fantasy extraction after a, um, intracorporeal anastomosis."
69.896,75.881,"The surgeon is taking down omental adhesions from the anterior abdominal wall, carefully separating the omentum from the underlying tissue."
76.381,78.163,I need to be able to find the transverse colon.
78.203,86.049,"The surgeon identifies a tattoo marking on the transverse colon, which is located distal to the area affected by colonic polyposis."
86.129,95.158,"I did send the patient for genetic testing and he did not have any, predisposition to developing colorectal cancer."
95.658,104.165,"The camera positioned in the suprapubic port provides a view of the left upper quadrant, where numerous small bowel adhesions are visible. On the right side of the abdomen, the adhesions are primarily omental."
104.205,118.425,"And that was the reason why I didn't opt for a left upper quadrant entry on him. There's lots of different ways of entering in the abdomen. I choose to do cut downs on patients like this. And in this case, it worked out."
118.925,139.281,"The surgeon continues to take down omental adhesions, revealing a portion of the colon."
139.781,150.788,"The surgeon reduces the hernia through the right side of the chevron incision, manipulating the tissue to reposition the herniated structures."
151.288,194.157,his open comma biotech exploration was through
194.657,203.869,The camera view shows diastatic changes in the anterior abdominal wall at the site of the right side of the chevron incision.
204.369,226.299,"The surgeon observes adhesions of the omentum within the surgical field, likely requiring careful dissection to separate these structures."
226.799,230.881,"The surgeon identifies the transverse colon as it becomes visible during the dissection, amidst the surrounding bowel structures."
231.381,269.368,"The surgeon works to mobilize the bowel plastered to the chevron incision, aiming to free it for an anastomosis and locate the tattoo marking the distal extent of the right-sided colon polyposis."
269.868,289.355,The surgeon observes multiple hernias protruding through the chevron incision site on the anterior abdominal wall.
289.855,304.808,"The surgeon searches for the tattoo marking the distal extent of the right-sided colon polyposis but does not yet observe it. The colon appears adhered to the liver bed, where a previous cholecystectomy was performed."
305.308,312.034,The surgeon searches for the tattoo marking the distal extent of the right-sided colon polyposis but does not find it on the exposed transverse colon.
312.534,323.443,"The surgeon positions the patient with the right side elevated to facilitate a medial to lateral approach, moving the small bowel aside. A small tattoo is visible in the mesentery, marking the area of interest."
323.943,329.197,"The surgeon attempts to tent the ileocolic pedicle but struggles to expose the anatomical structures, indicating difficulty in visualizing the surgical field."
329.697,352.768,"The surgeon begins lateral mobilization of the colon, aiming to elevate the ileocolic pedicle for better exposure. The colon is manipulated from lateral to medial, deviating from the usual medial to lateral approach."
353.268,365.035,"The surgeon continues to mobilize the right colon, ensuring the ureter is identified and checked before proceeding with the dissection."
365.535,416.491,"The surgeon uses an inferior approach to mobilize the cecum, with the camera positioned in the suprapubic port. The left lower quadrant and left parambulical port are utilized for instrument manipulation."
416.991,453.808,"The surgeon continues dissecting around the ileocolic pedicle, visible to the right of the ligature, while attempting to locate the duodenum and navigate around the flexure."
454.308,479.873,The surgeon visually identifies the duodenum during the dissection process.
