start,end,text
1.381,11.533,This video demonstrates the various techniques that can be used to perform VATS lobectomy in bronchiectasis.
11.553,24.428,"After making the video access ports and the secondary access port, the lung is surveyed and as you can see in this case, the middle lobe is clearly bronchiectatic."
24.448,30.595,The third working port is made over the area of maximum dissection.
35.182,41.869,This working port is extended along the intercostal space to create more space for dissection.
42.851,51.781,Adhesiolysis is then performed with cautery all around to provide maximum ability of the lung to be retracted.
54.023,57.527,Adhesions in the fissure themselves are dissected as well.
65.911,72.441,A combination of bovie cautery as well as blunt dissection is performed to clarify structures.
78.59,90.568,"A small amount of bleeding can be very easily cauterized by Aquamantis, which serves as an excellent tool to obtain hemostasis for surface bleeding."
95.628,123.947,blunt dissection is performed to identify structures adhesions in these cases are typically thick and vascular and they need to be carefully controlled and divided using diathermy gentle dissection is performed in these cases to identify anatomy in this case
124.332,130.802,is a variation of middle lobe vein coming from the lower lobe vein.
130.822,136.09,Another technique to obtain hemostasis is the use of Surgicel and gentle pressure.
140.096,145.885,Dissection is then performed in an area different from where the bleeding was seen.
159.027,172.046,The middle lobe is then separated from the upper lobe by gentle cautery in the areas of the fissure where it's felt to be more adherent due to adhesions rather than the fissure.
173.048,175.331,A small amount of fissure is opened.
175.351,180.659,Any bleeding from veins in the fissure is easily controlled by Aquamantis.
185.486,187.549,The oblique fissure is then
187.985,199.256,partially completed by dissection and taking care of the fissure and pulmonary parenchyma by ligature device.
199.917,206.404,The ligature is capable of providing pneumostasis to small amounts of pulmonary tissue.
206.424,214.752,The middle lobe vein is then encircled and divided using a curved tip tan load stapler.
224.266,231.374,Dissection is then accomplished to identify the middle lobe bronchus.
234.137,239.403,This dissection in these cases is often tedious and must be performed patiently.
244.99,249.835,The bronchus is then encircled with blunt clamps
255.839,258.969,and divide it using an endo-GIA stapler.
260.855,267.857,The passage of the stapler is often accomplished with the aid of a leader.
285.522,289.827,The middle lobe is then divided from the upper lobe.
290.848,295.894,"That is, the horizontal fissure is completed by using a purple load stapler."
298.657,304.223,"As this is a benign case, meticulous lymph node dissection is not necessary."
310.55,313.133,An additional bronchiectatic segment
313.855,322.127,of the medial aspect of the lower lobe is identified and divided using a tri stapler device.
