start,end,text
15.521,18.867,"To start with this presentation, let's see some blood."
18.847,24.601,Here you can see a segment of a right hemicolectomy where the surgeon is dissecting the ileocolic vessels.
25.222,36.349,"Even though vessel sealers can achieve very good results, a correct size of the vessel to be sealed and sharp dissection of the tissues involved is mandatory before dividing it."
36.329,45.946,"In this way, even if there is bleeding, a correct dissection from both sides of the vessel allows the surgeon to be able to identify the bleeding structure clearly."
46.587,51.657,"In cases like this one, avoid repetitive unsuccessful maneuvers and compress."
52.177,55.283,Calm down and elaborate a strategy with the team.
55.853,59.202,Now we can see a similar situation during a sigmoidectomy.
59.864,63.293,Vascular control with energy systems is not always enough.
63.855,64.938,Two remarkable points.
65.299,71.415,"First, poor dissection of the pedicle, which does not include the creation of a window behind the vessel."
71.395,74.661,"Second, ligation is done very close to the vascular origin."
75.122,81.695,We suggest a sharp dissection of the inferior mesenteric artery at least 1 cm away from the aorta.
82.236,89.21,"In this way, we will be able to avoid nerve damage and if it is necessary, we will have better control in case of bleeding."
89.992,93.218,"Again, compression and cleaning the surgical field may help."
101.011,105.058,You should have experienced knowledge of the functioning of the surgical instruments.
105.679,108.624,"However, even in this case, mistakes may happen."
109.205,112.991,"In this live procedure, the surgeon missed to seal before cutting the vein."
113.672,121.185,"Fortunately, a previous good dissection, as stated before, allowed him to solve this quickly, using the vascular sealer properly."
122.627,127.255,"In this case, not using the appropriate port led to an epigastric artery bleeding."
134.997,140.184,In the first seconds of this video we can see the ceiling of a vascular structure close to the colon.
140.705,146.733,"Subsequently, we see that there is a change in the color of the colon which corresponds to a decrease in vascularization."
147.494,152.181,"The segment was dependent on the marginal artery irrigation, sealed by the surgeon."
152.682,157.108,"Bowel ischemia, real but disastrous, may happen when mobilizing the left colon."
157.608,163.857,It is important to stay close to the kidney and the pancreas to stay away from the origin of the vessels.
163.837,171.687,This fragment of video shows a descended colon with an ischemic aspect that the surgeons apparently have not been aware of at the first intervention.
172.388,176.493,"During this video, you can see a necrotic colon anastomosed to the rectum."
177.194,184.303,"There are plenty of methods to assess colonic vascularization such as endocyanin green, so don't be shy to use them."
188.98,193.086,Proper identification of anatomical structures is fundamental in surgery.
193.566,201.177,Dissection following the embryological planes is crucial in order to avoid a bloody surgical field which impairs an optimal visualization.
201.718,203.6,"To do so, we have advices for you."
204.141,209.428,"First, camera horizon must be balanced, being aware of the vessels and the retroperitoneum."
209.449,214.836,"Second, monopolar energy is helpful when you need to dissect the structures with higher accuracy."
214.816,221.198,Not taking into account these suggestions could lead us to a writer-writer section like in this video.
224.266,227.731,"During this left hemicolectomy, you can see a similar situation."
228.212,235.002,"As stated before, a delicate dissection following the embryological planes is mandatory, even using a vascular sealer."
235.563,242.453,"In this case, not isolating the pedicle properly, the surgeon failed to recognize the surrounding anatomical structures."
243.074,245.838,"As a result, an ureteral injury occurs."
246.459,252.889,"Fortunately, a skilled surgeon is able to solve this complication intraoperatively, but it's not always the case."
261.203,264.529,"In this case, an endo stapler broke down intraoperatively."
265.111,273.628,"You should know how to use the surgical instruments properly and also, if necessary, you must check twice the equipment to be sure that it works well."
275.836,282.287,"On the other hand, even though this wasn't a real intraoperative complication, we consider it important to highlight."
282.808,286.674,You should never impart excessive pressure to the rectum with circular staplers.
287.175,293.546,Smooth circular movements and optimal communication with the team is essential to avoid situations like this one.
297.149,302.517,"After performing the colorectal anastomosis, it is mandatory to test its integrity."
303.098,307.584,"In this case, a small leak can be repaired instantly with some stitches."
308.245,310.308,This could avoid worse complications.
318.007,321.214,This is a re-operation of an internal hernia.
321.234,325.323,The surgeon relocates the small bowel in place and close the mesentery gap.
326.004,328.75,"Nevertheless, we are able to see a small bowel lesion."
329.332,336.387,"Consequently, we suggest you to have gently moves inside the abdomen and always try to keep your instruments visible."
