start,end,text
26.646,70.319,"The surgeon transects the gastrocolic ligament and takes down the hepatic flexure of the colon. The V-junction is identified, and the duodenal jejunal fold is dissected. The proximal jejunum mucosa is secured using a bipolar device. The surgeon then moves to the right side of the patient to identify and take down the staphylococcal ligament."
70.819,114.778,"The surgeon identifies and dissects lymph node group VI along the lateral border of the superior mesenteric vein (SMV), using traction and counter-traction to clearly expose the tissue plane. The lymph nodes are clipped and secured with a bipolar device. The gastrocolic trunk and its tributaries, including the gastroepiploic vein, are also clipped and sealed using the bipolar device."
115.278,152.067,"The surgeon dissects the unseen end mesentery group, retracts the duodenum to the right, and performs full coagulation. The duodenum is pulled up, and the command object is transected on the right side. A small IPDB is sealed using a ligature."
152.567,177.094,"The surgeon retracts the thaumat downward and transects the laser omentum. A Natanza retractor is used to elevate the liver. The thaumat is divided at the antrum using an endostapler, and lymph node group VIII is dissected along the upper border of the pancreas."
177.594,211.552,The assistant surgeon retracts the pancreas downward. The surgeon uses a dissector in the left hand and an Adaswitch device to dissect around the lymph node. The left clastic vein is secured with a clip and the Vibora device.
212.052,245.504,"The surgeon dissects lymph node groups VIII and XIp away from the common hepatic artery and stropionic artery. The ligastic vein is identified, clipped, and divided."
246.004,285.549,"The surgeon tunnels the space between the portal vein and the pancreatic neck using a silver finger, then encircles the pancreatic neck with hernia tape. The surgeon moves to the center position between the patient's legs to dissect lymph nodes along the pepto-adrenal ligament, leading to the right side."
286.049,333.217,"The surgeon secures the gastroduodenal artery (GDA) with hemoclips, then identifies, double-clips, and divides it. A cholecystectomy is performed, and the common pancreatic duct (CPD) is encircled with a seal and ligated to prevent spillage from the tumor site. The CPD is then divided using endoscopic scissors."
333.717,373.402,"The surgeon divides the ankylotic polynema using an ataxotic device. The pancreatic duct, located at the posterior inferior side of the pancreatic parenchyma, is cut using an endosister. The Plexus admisor pancreas is clipped and secured with a bipolar device, followed by identification and securing of the PSPDB with the same device."
373.902,394.966,"The surgeon identifies the inferior pancreaticoduodenal artery (IPDA), clips it, and seals it using a bipolar device. The POSIMOM-TETRENUM is divided with an endostepper, and the supersamine is removed using a plastic bag."
