start,end,text
72.47,81.587,Robot port number 2 is the camera and the rest are the working and assist arms.
81.607,85.354,The procedure begins with division of the falciform ligament.
85.621,91.212,And this is carried up to the hepatic veins which are exposed extrahepatically.
91.252,101.993,This is demonstrated here with exposure of the middle and left hepatic veins as well as the extrahepatic portion of the right hepatic vein.
106.698,115.594,Interoperative liver ultrasound is used to visualize the hydatid cyst and its association with the middle hepatic vein.
133.059,145.682,And this is demonstrated here where hypertonic saline soaked gauze is used to cover the liver cyst in the event of a cyst rupture.
148.852,155.161,The inflow control begins with cholecystectomy with identification of the cystic artery and cystic duct.
156.363,168.7,"These structures are clipped with hemlock clips after obtaining the critical view and divided, and the gallbladder is removed from the cystic plate and removed from the patient."
169.962,180.974,"This allows exposure of the right liver hilum, where the cystic duct is used to retract the bile duct medially, exposing the inflow to the right liver."
182.235,187.221,The right hepatic artery is circumferentially dissected and encircled.
188.082,193.708,"And prior to division of the right hepatic artery, it is occluded with a bulldog clamp"
194.313,201.005,so that intraoperative liver ultrasound with Doppler can be used to ensure patency of the left hepatic artery.
202.428,212.266,"Once this is confirmed, the right hepatic artery is clipped and divided, and this exposes the underlying right portal vein."
213.247,215.832,"The right portal vein is circumferentially dissected,"
216.942,231.246,"Any branches to the caudate lobe and segment 6 are circumferentially dissected, clipped, and divided, and this allows exposure and control of the right portal vein."
232.509,239.22,"Prior to dividing the right portal vein, the bifurcation of the right and left portal veins are visualized."
239.2,247.953,"And then the right portal vein is divided with a silk tie, triply clipped with hemlock clips, and divided."
249.055,253.962,And this completes inflow control for the right hepatectomy portion of the procedure.
256.886,264.077,A full mobilization of the right hemiliver is difficult due to the invasive nature of the hydated cyst and involvement of the diaphragm.
264.817,274.168,"However, the hepaterina ligament is able to be divided, which allows an anterior approach to the retrohepatic caval dissection."
275.97,291.769,The retrohepatic cava is exposed and short hepatic branches are circumferentially dissected and either clipped with hemlock clips or divided with the robotic vessel sealer.
292.475,306.174,"Larger short hepatic vein branches are controlled with hemlock clips and divided, whereas smaller hepatic vein branches can be safely divided with the robotic vessel sealer."
308.037,317.25,"Hypertonic saline soaked gauze can now be placed in the retroperitoneum, again in the event of spillage of cystic contents."
318.749,330.835,"Endocyanin green is administered demonstrating liver demarcation between the right and left hemi-livers, and this is used to complete the planned parenchymal transection line."
332.536,337.145,The parenchymal transection commences with the use of the laparoscopic CUSA.
338.208,350.713,"The CUSA is used to dissect intraparenchymal vascular and biliary structures, which can then be clipped with hemolytic clips and or divided with the robotic vessel sealer."
351.571,362.772,"The laparoscopic CUSA requires a bedside surgeon to operate the device, and this is run through the assist port adjacent to the robotic camera port."
364.636,374.895,"However, this is advantageous as it allows a precise dissection between the echinococcal cyst and the middle hepatic vein in this case."
375.685,378.99,"Here, the right bile duct is divided intraparenchymally."
379.791,392.951,It is encircled and an ICG cholangiogram is used to confirm the hepatic duct bifurcation and prevent inadvertent injury to the confluence or the left hepatic duct.
394.172,402.705,"The right bile duct is triply clipped with hemlock clips and divided, and this completes the right bile duct division."
404.761,419.298,The parenchymal transection is carried along the lateral border of the retro-hepatic inferior vena cava until the right hepatic vein is visualized where it can be circumferentially dissected and controlled.
420.519,424.524,The right hepatic vein will be stapled with the robotic stapler.
426.246,429.57,And this essentially completes the parenchymal transection.
431.761,447.965,"Once the liver is divided, additional hypertonic saline soaked gauze are placed around the field as the diaphragm resection and liver mobilization will be the highest risk period for cyst spillage."
449.066,460.603,"In this case, hypertonic saline soaked gauze are placed around the liver in the retroperitoneum and along the cut surface of the left liver."
462.102,468.45,"Now the diaphragm is opened, which exposes the right hemithorax."
470.032,478.704,A double lumen endotracheal tube was placed at the beginning of the case so that the right lung can be deflated during this portion.
478.764,489.578,"Once the diaphragm is released, this enables a complete mobilization of the right liver."
490.3,496.131,"Here the right triangular ligament is divided, which was not possible at the beginning of the case."
497.654,507.111,And the posterior aspect of the diaphragm resection can now be approached and the diaphragm resection is completed.
508.222,520.741,"It is evident that the hydated cyst involves the right lung base, which is demonstrated here, and a small wedge resection of the right lung is performed with the robotic stapler."
521.983,527.712,And this completes the final resection of the end block specimen.
528.593,534.803,"The specimen is placed cyst-first into a large endobag, and this is removed through the fan and steel port."
536.032,544.905,"A completion ultrasound demonstrates patency of the left hepatic artery and left portal vein, and now the diaphragm reconstruction commences."
546.007,556.362,And this was performed by our thoracic colleagues with an interrupted zero-ethabon reconstruction of the diaphragm without tension.
557.564,561.87,And the completed diaphragm reconstruction is demonstrated here.
563.791,568.376,Pledges were used to prevent tearing of the diaphragm during the reconstruction.
579.229,584.476,And the patient was discharged home on post-operative day number five with normal liver function.
585.797,592.245,The final specimen where numerous daughter cysts can be seen within the hydrated cyst.
595.128,598.455,Thank you very much for watching and we hope you enjoyed this video.
