start,end,text
2.909,15.821,hi everybody this is edited video of ultra low anterior resection using SI robot this is a forty five year old deposed NACTRT having a low rectal growth about three centimeter from the inner rectal ring
16.24,20.421,"The surgical team utilizes a standard SI port setup for the low anterior resection procedure, preparing the robotic instruments for access to the surgical site."
20.441,27.644,"The surgeon places a 12mm assistant port at the right iliac fossa and a 5mm assistant port at the right hypochondrium, preparing for the robotic low anterior resection procedure."
28.144,38.467,"That's the deep, well-seen usage of the Robo with its magnification and mobility."
38.967,45.631,"The surgeon performs a practical examination to confirm the distal margins, ensuring they extend well beyond the palpable rectal growth."
46.131,53.502,"The surgical field is viewed with enhanced magnification using endoscopic technology, providing a detailed view of the anatomical structures involved in the low anterior resection."
54.002,71.408,"The mesorectum is coned, and the rectal tube is visibly mobilized from the levator ani muscle, showing clear separation around the structure."
71.908,100.517,"The surgeon retracts the vagina anteriorly and superiorly, performing right lateral and posterior dissection. Magnification aids in identifying the rectal tube and levator muscles, with the left lateral aspect of the rectal tube being mobilized off the levator muscles."
101.017,104.74,"The surgeon displays the cord, mesorectum, and bare rectal tube, highlighting these anatomical structures within the surgical field."
104.98,108.223,"The surgeon uses a 60mm stapler to transect the rectal tube, ensuring precise closure of the distal margins."
108.723,116.602,"The surgeon applies a surgical instrument from the 12mm port located in the right iliac fossa, ensuring the distal margins are clearly defined."
117.102,145.951,"The surgeon begins a medial to lateral approach, performing high ligation of the inferior mesenteric artery. The mesocolon is completely mobilized, including the splenic flexure. The mesocolon is then divided proximal to the ligated inferior mesenteric pedicle, extending towards the marked proximal division of the colon."
146.451,153.175,"A six-centimeter Pfannenstiel incision is made to exteriorize the specimen, followed by the application of the anvil to the proximal rectal tube."
153.536,160.997,"The remaining rectal tube is visible in the surgical field, with surrounding tissue and anatomical structures exposed."
161.497,167.22,The surgeon retracts the vagina anteriorly and superiorly while the levator muscles are visible surrounding the surgical field.
167.72,175.504,We had ligated or sutured the uterus towards the anterior abdominal wall before we started the procedure.
175.544,182.548,"The surgeon divides the mesocolon towards the marked proximal extent of the colon, following the previous high ligation of the inferior mesenteric artery."
183.048,187.33,And then Iliostomy was fashioned and she had an uneventful recovery.
187.83,193.246,And that's the post-operative situation in the photo.
193.746,194.032,Thank you.
