start,end,text
10.54,15.964,So we will discuss the laparoscopic splenectomy.
16.464,29.894,Spleen is hidden within the rib cage unless until it is double in the size. So normal spleen cannot be palpable. It is within the costal margin.
29.914,35.379,"The surgeon targets the splenic hilum, focusing on this area for further dissection during the laparoscopic splenectomy."
35.879,44.675,And according to that you have to draw two arcs. One is another is twenty-four.
45.175,52.981,"The laparoscopic telescope is positioned ten centimeters laterally, likely to provide a better view of the surgical field during the splenectomy."
53.481,63.607,"Two umbilicus, one port will be here and one port will be here."
64.107,73.981,"The surgeon identifies the pancreatosplenic ligament, one of the five important ligaments surrounding the spleen."
74.481,81.143,"The gastroesplenic ligament is visible in the surgical field, connecting the stomach to the spleen."
81.643,90.006,"The phrenicoesplenic ligament is visible, serving as one of the main supportive ligaments of the spleen."
90.506,110.263,"The surgeon identifies the phrenicocolic ligament and the splenocolic ligament inferiorly, pointing out their positions relative to the spleen."
110.763,129.957,"There are different approach of doing splenectomy like anterior approach, lateral approach, inferior approach. French people they do lateral approach. Americans generally they do anterior approach and inferior approach."
130.457,154.749,"Indication, case selection is important. Although you can do any explain, but most of the autoimmune diseases are better to deal with the laparoscopy. Like ITP, autoimmune hemolytic anemia, microspherocytosis, benign tumor and cyst and HIV related thrombocytopenia. These are the best indication."
155.249,173.2,Hematological malignancy and moderate splenomegaly is a contraindication. But relative contraindication. And massive splenomegaly and portal hypertension is an absolute contraindication.
173.7,191.343,"Because in massive splenomegaly you may not have that much space to put your trocar. like if the patient has Kalajar or others, in this massive esophagus, sometimes it is up to the umbilicus. You cannot do laparoscopy."
191.843,210.228,"Patient should be semi-lateral position. Left side should be up and semi-lateral position. Hands should be supported. Sajan will stand on the ventral aspect, one assistant on the dorsal aspect, and the scrub nurse will be here. Monitor should be at this point."
210.728,247.388,"The patient is positioned in a semi-lateral position with the left side elevated. The arm is supported, and the draping reveals the costal margin and iliac crest."
247.888,275.091,"The surgeon identifies the port position for the laparoscopic splenectomy, placing it ten centimeters lateral to the umbilicus along the mid-clavicular line. The spleen's hilum is targeted, with adjustments made based on spleen size."
275.591,298.245,"So this is the arc. If the hilum becomes here, this will be the arc. And your telescope will be here. If the hilum is here, then it is a contraindication. Because you cannot go that much down. You cannot put telescope here."
298.745,312.621,The surgeon emphasizes the importance of correct port positioning and demonstrates the perpendicular insertion of the Veress needle for gaining access.
313.121,345.379,"The surgeon performs irrigation and suction, followed by the hanging drop test, before starting insufflation. A disposable trocar is introduced in one motion without screwing, and the laparoscopic telescope is inserted. The visual field reveals the splenic hilum, and the surgeon establishes the arc for the procedure."
345.879,381.954,"The video shows the costal margin and the hilum of the spleen. The surgeon demonstrates the arc formation with one port positioned contralaterally, creating a sixty-degree angle. Two ports are introduced, highlighting the port positions relative to the hilum."
382.454,426.8,"The surgeon describes the diamond-shaped arrangement of the ports, with an additional port positioned 7.5 centimeters laterally for a liver retractor. All ports are aligned within the same arc, with the telescope positioned 24 centimeters away to facilitate better mobilization and provide a panoramic view of the surgical field."
427.3,459.909,"So this is the way how the axis will be performed. Here is the costal margin. This is the umbilicus, so it should be ten centimeter lateral. This is iliac crest and the hilum will be here. So one port will be here, one port will be here. This is your port position. Telescope will go like that. If you want additional port, you can put it here. This is the port position."
460.409,506.752,The surgical field shows the arc formation with the port positions clearly marked. The telescope is positioned ten centimeters lateral to the umbilicus. The surgeon begins mobilizing the inferior pole of the spleen.
507.252,528.851,"The surgeon identifies the splenocolic and phrenicocolic ligaments extending from the colon. The phrenicocolic ligament is visible, and the splenocolic ligament is positioned for retraction, allowing the spleen to be mobilized upwards."
529.351,557.742,"The surgeon frees the inferior edge of the spleen, making the hilum more visible as it is lifted anteriorly from the splenic fossa. The short gastric vessels are dissected using a stapler or ligature harmonic device."
558.242,574.855,"The surgeon approaches the hilum of the spleen, dissecting it carefully. Clips or a stapler are used to separate the hilum from surrounding structures, completing the dissection."
575.355,585.967,"The surgeon separates the inferior pole of the spleen using various instruments such as a hook, tripolar, or bipolar device."
586.467,612.353,"In a case of spherocytosis, the surgeon uses a harmonic device to lift and separate the lower pole of the spleen with a hook instrument."
612.853,655.742,"The surgeon begins the splenectomy by freeing the inferior pole of the spleen, separating it from the splenocolic and phrenicocolic ligaments. The dissection is performed similarly to previous cases."
656.242,680.492,"The surgeon frees the inferior pole of the spleen from the splenocolic and phrenocolic ligaments, completing the separation process."
680.992,702.963,"The surgeon proceeds to dissect the short gastric vessels, followed by the dissection of the hilum. A vascular stapler is used to complete the hilum dissection, a common technique among surgeons performing splenectomy."
703.463,726.938,"Only one percent is doing by the clip or suture. If you want to be your life easy, then you should do by the stapler. If someone is using the stapler for appendicectomy, I am not in the favor. You should do by the knot. But for splenectomy, use of a stapler is better."
727.438,758.546,"Because if you want to do with the knot or with the clip, you have to do a lot of dissection. You need to make a window between the artery and vein. You have to do the perihilar entire fat to nicely dissect. But with the stapler, a lot of your energy will be saved. Directly you can fire and you can do it much easier and much short time."
759.046,802.314,"The surgeon prepares to use an endo-GI linear stapler with a white color cartridge, enlarging the incision to accommodate a twelve millimeter port. The stapler's jaw is opened by pulling back, and closed before firing by pressing a button."
802.814,906.676,"After that, you can fire. So, different color coding is B for bubble, G for green in the muscle, and W, white for vessels. White can be used as a universal. Some people, they use for bubble also, the white. because white doesn't have a predefined bending point. You know it is very important to learn that every stapler has predefined bending point. Like suppose this is a stapler, then they have a, this is a bending point. Company is hammering it here. And why it is hammered? Because when you press it, it bends from the bending point. Am I clear? It will bend. You will take a rod and you hammer the rod at one place and then bend it, it will bend from where? Where it is hammered. This bending point. But in the vascular staplers, the bending point is here. at this corner because if they will define the bending point it will bleed. Let us take one example if your stapler is made for fifteen staples and if you are stapling fifty then it will make a C. You are stapling fifty pages then it will make a shape of a C. And if it is made for fifty pages"
907.176,911.179,"and you are stapling only two pages, then what will happen? It will be loose."
911.199,967.783,"It will be loose, there will be gap between the papers. And if it is a predefined staple line, vessels with the blood look eight mm. But after excusing the blood out, it looks two mm or three mm. So how can you decide the thickness of the vessel? So that's why white cartridge, when you fire the staple, It bends like that. It doesn't make a shape of a bee. Because making the shape of a bee is risky. If it is thick, it will make a shape of a C. And if it is thin, then this bee will be loose. And from that much loose space, bleeding will happen. That much loose space, blood will flow. So that's why white color is universal."
968.283,1009.486,"The surgeon loads a white cartridge into the stapler, specifically designed for vessels, and attaches it by rotating clockwise to lock it in place. The jaw mechanism is demonstrated, showing how pulling back opens the jaw and pressing a button closes it, preparing for firing."
1009.986,1052.587,"The surgeon uses an endo-GI linear stapler with a white cartridge to fire staples at the splenic hilum, creating a visible staple line as the blade cuts through the tissue."
1053.087,1085.702,"The surgeon applies three rows of staples on either side of the tissue and cuts between them. After changing the cartridge, the surgeon attaches a new one and fires again. There is slight oozing from the staple line, which is expected to stop soon, or alternatively, a titanium clip can be applied to manage the bleeding."
1085.742,1119,"In the second case, the surgeon uses a white cartridge to hold and fire staples across the entire hilum, creating three rows of staples on either side and cutting in between. The procedure progresses towards the esplenoprenic ligament, with remaining fibers of the frenico-esplenic ligament detached using a hook, completing the splenectomy."
1119.5,1147.813,"So use of stapler is almost, I will say now it is essential for splenectomy. Although theoretically it can be done by the energy sources also. Theoretically ligature also can seal the vessel. But practically nobody is using the ligature. So this is how the cartridge will be loaded. And it needs twelve millimeters. Canula. You go inside."
1148.313,1187.454,"The surgeon uses a left hand grasper to position the splenic pedicle between the open jaws of the stapler. The pedicle is gently shaken to ensure even distribution before the stapler is fired. The stapler advances 15 mm with each firing, cutting and sealing the tissue, before the blade retracts and the jaws open."
1187.954,1228.912,"The surgeon uses a size D endo bag with a metal ring to retrieve the spleen. The metal ring detaches from the plastic when the purse string is pulled, allowing the spleen to be enclosed securely for removal."
1228.992,1261.483,"The surgeon demonstrates the use of an endobag with a conical base for removing solid organs like the spleen or liver. The purse string mechanism is visible, allowing the organ to be securely enclosed before extraction."
1261.983,1324.021,"The surgeon demonstrates the use of a metal ring endo bag, inserting it through a twelve-millimeter port. The piston mechanism ejects the metal ring inside the abdominal cavity, automatically scooping the spleen into the bag. The strong metal ring ensures secure containment, and pulling the string detaches the ring from the plastic bag."
1324.521,1359.884,"The surgeon demonstrates the use of a purse string to close the mouth of the endo bag containing a smaller spleen. As the purse string is pulled, the metal ring detaches and is removed separately. The surgeon then uses ovum forceps to morselate the spleen within the bag."
1360.384,1399.831,"The surgeon uses ovum forceps to manually morselate the spleen within the endo bag, avoiding electrical morselation to prevent spleenosis. The morselated spleen is then extracted, and a drain is placed. The wound is closed using skin stapler, glue, or sutures."
1400.331,1451.291,"The surgeon closes the port site at the end of the splenectomy procedure, injecting xylocaine to prevent post-operative pain. An ester strip is applied to the incision site. The video transitions to a partial splenectomy, showing a patient with a splenic abscess. The surgeon performs the partial splenectomy using a stapler, a technique made possible with advancements in surgical tools."
1451.791,1497.255,"The surgeon uses a surgical stapler with a purple color, which is currently functioning as a simple grasper to manipulate tissue. The device is capable of firing three rows of staples."
1497.755,1543.719,"The surgeon uses an atraumatic grasper to hold and retract the stomach, positioning the endogealine between the jaws. After deciding to proceed, the surgeon presses a button to activate the device, which fires staples every fifteen millimeters, simultaneously cutting the tissue."
1544.219,1580.787,"The surgical instrument is shown with two jaws: the cartridge jaw at the bottom and the face jaw on top. The face jaw features a groove to bend the staples, while a sharp blade between the jaws is visible for cutting. The instrument is capable of deploying three rows of staples on either side with variable heights of fifteen, thirty, forty-five, and sixty millimeters."
1581.287,1611.748,"The surgeon demonstrates the use of a tri-stapler, highlighting the blade loaded in the cartridge for each use, ensuring a new blade every time. The variable height staples are shown, with the outer row used for stapling and the inner row for hemostasis, preventing bleeding during the procedure."
1612.248,1646.52,"The surgeon demonstrates the use of a stapling device with a lower jaw, showing three rows of staples on either side. The cartridge jaw contains a sharp blade that cuts tissue between the staples with each firing, advancing 15 mm per cut. The device allows for partial use of a 60 mm cartridge by pulling it halfway to achieve a 30 mm cut."
1647.02,1705.669,"This is face jaw. Face jaw has a groove which is bending it like that to make a shape of a bead. This is the face jaw and this is the cartridge which is bending. What you can do? You can take blue cartridge and stick the Gore-Tex tape over that and you can apply and you can fire. If without Gore-Tex tape, if you will fire the staple on the spleen, it will bleed. Just like if you have a very delicate silk cloth, then you have to get it stitched. Then what the tailors they do, they put one fall over that, another cloth from below. So that it will give you the strength. So this is the same, this is the Gore-Tex tape. You have to stick one over the face jaw, another over the cartridge jaw."
1706.169,1732.121,"The surgeon demonstrates the use of a stapling device with Gore-Tex tape applied to prevent bleeding during spleen tissue compression and stapling. The tape is applied separately, and the device is fired to compress the tissue, ensuring hemostasis. The process is repeated with additional staples."
1732.621,1789.91,"So the cartridge is separable. The cartridge, this is the cartridge. How to open the cartridge? It is very simple. Just you have to press it like this. Cartridge is out. This is blue color. And again you press it here. And just you, done, it is locked. So this is cartridge jaw and this is face jaw. Here, face jaw has a groove. So you will take the Gore-Tex tape, apply on the either side and then you can use it for partial splenectomy. Just hold it and fire. To open, already I have shown you, this is to open, this is to close. And this is articulating also. So it can, you can pull it and can bend it. So it is bending up to complete sixty degree. And to make it a straight, pull it, it is a straight. You can bend it to other side also."
1790.41,1807.362,"And when you have to make it a straight, pull this one, it is a straight. This one, this knob, you have to pull towards you. Then you can bend. And leave it, it is locked. And if you have to make it a straight, pull again towards you. And become a straight."
1807.502,1856.89,"The surgeon demonstrates the attachment of the tri-stapler, aligning the arrows on the cartridge and the gun. The device is rotated clockwise to lock it in place, preparing for use in the splenectomy procedure."
1857.39,1890.522,"The surgeon demonstrates the operation of the tri-stapler, showing how to close and open the device using specific knobs. The articulation feature is highlighted, allowing the stapler to bend to either side. Before firing, the surgeon presses a knob to activate the stapler."
1891.022,1942.008,"So all are good, which is personal choice, but we like tri-stapler more. So this is the Gore-Tex tape. You will stick it. It comes like a handy blast. Just open it and stick it and fire. and this is tape to tape is staple."
1942.508,2013.406,"The surgeon uses a tri-stapler to perform a partial splenectomy, cutting the spleen and placing it into a size D endo bag for removal. Suction irrigation is applied to manage minor oozing, and flow seal is used to prevent further bleeding."
2013.906,2069.917,"The surgeon applies a hemostatic matrix containing gelatin to the surgical site, which initiates the coagulation cascade to stop bleeding. The matrix is liquid, allowing easy application and rapid solidification within seconds."
2070.417,2110.362,"So this is available but popular brand which is more available is flow seal. Because it is by the Baxter company. This is better. F-seal is less available, flow seal is worldwide more used. And it has applicator just like fibrin glue applicator which you have seen in the morning. The same way they have applicator and you can fire it over. And it will fast effective and proven method of preventing the bleeding. But it won't work for the active bleeder. It only work for the oozers."
2110.862,2173.397,"The surgeon uses a tripolar device to perform a splenectomy, holding and coagulating the short gastric vessels before cutting them with the inbuilt blade. The tripolar is attached to the force triad machine for this procedure."
2173.897,2207.061,"And that is a high frequency machine. That's why it is working nice. But this you can attach with any machine. Even with fifteen thousand, electrosurgical machine also, tripolar can be attached. And cost of this instrument is only eighteen thousand. And you can use it for five, six cases. After that blade become blunt. And then it won't work the way you want. So this is slowly, slowly some of the sarcastic."
