start,end,text
23.409,29.511,"The patient is positioned in steep Trendelenburg, with the cecum visible on the left side of the screen during the laparoscopic right hemicolectomy."
30.011,39.855,"The surgeon positions the bowel in the left upper quadrant and begins unraveling the mesentery to expose the root of the mesentery, facilitating access for further dissection."
40.355,47.998,"The surgeon carefully incises the window posterior to the ileocolic pedicle using a cautery device, creating an opening in the mesentery."
65.586,76.852,"The duodenum is visible on the screen, serving as a landmark for identifying the ileocolic pedicle in preparation for high ligation, even in slightly obese patients."
88.393,97.541,"The hepatic flexure is visible with its fine attachments to the duodenum, which is being reflected downward."
98.041,107.07,"The head of the pancreas is visible, with the kidney and surrounding perinephric fat located beyond the duodenum."
107.57,116.674,"The surgeon skeletonizes the iliocolic pedicle, carefully approaching the superior mesenteric vein to ensure precise dissection."
117.174,126.746,"The surgeon tentatively elevates the ileocolic pedicle, ensuring not to descend too low onto the superior mesenteric vein to avoid accidental ligation."
127.066,134.142,"The surgeon identifies the ileocolic vein, with the ileocolic artery visible behind it, in the surgical field."
151.156,164.702,"The surgeon uses a surgical stapler to secure the ileocolic pedicle, opting for stapling over clipping for efficiency."
165.202,172.453,"The surgeon performs a high ligation of the ileocolic vessels, dividing them and allowing for upward reflection of the tissue."
172.953,198.66,"The surgeon mobilizes the lateral edge of the duodenum, ensuring to stay anterior to the kidney. A thin film of tissue separates the lateral abdominal wall from the operative field, with the duodenum fully mobilized."
199.16,202.583,The pancreatic head is visible in the surgical field.
203.083,221.181,"The surgeon mobilizes the bowel, flipping it up to the upper abdomen, with the ureter visible in the surgical field."
221.681,233.986,"The surgeon performs inferior mobilization of the mesentery, carefully maintaining the surgical plane to avoid entering the retroperitoneum. The ureter is kept in view throughout the procedure."
234.486,251.572,"The surgeon completes dissection up to the duodenum, which is now visible in the surgical field. The lateral mobilization begins, ensuring the dissection remains in the correct plane without disturbing the kidney."
252.072,273.363,"The surgeon identifies the tattoo marking from the patient's colonoscopy on the colon. Using retraction, the colon is maneuvered medially, ensuring it remains mostly midline while avoiding excessive lateral movement."
273.863,292.261,"The surgeon uses an energy device to dissect through the mesentery, focusing on the terminal ileum. The terminal ileum is preserved as much as possible before a stapler is fired across the small bowel."
292.761,313.483,"The patient is positioned supine with slight right-side rotation. The surgeon separates the colon from the omentum, addressing adhesions from a previous cholecystectomy. The anterior surface of the duodenum is identified, and clips on the cystic duct are visible."
313.983,330.528,"The surgeon identifies a window in the tissue, revealing an extremely thin layer. Minimal mobilization is needed to complete the dissection of the hepatic flexure, which can sometimes be achieved using scissors."
331.028,341.271,"The surgeon uses an energy device to complete the mobilization of the colon, with most of the surrounding tissue already separated."
341.771,363.407,"The surgeon carefully dissects and removes fine attachments of the mesentery from the duodenum. Despite the patient's obesity, the surgeon mobilizes the plane between the transverse colon mesentery and the stomach."
363.907,381.536,"The surgeon prepares to mobilize the transverse colon mesentery using an energy device, revealing the right branch of the middle colic artery as it comes into view. The posterior surface of the stomach is visible in the surgical field."
382.036,403.615,"The surgeon uses an energy device to complete the mobilization of the transverse colon mesentery, separating it from surrounding structures."
404.115,426.715,"The surgeon prepares to divide the large bowel, with the resected and mobilized specimen being tucked on top of the liver."
440.126,455.535,The surgeon carefully aligns the transverse colon and ensures there is no twist in the mesentery of the small bowel before beginning the intracorporeal anastomosis.
456.035,483.049,"The surgeon aligns the anastomotic line using a stay suture, preparing for the colotomy to be performed."
483.549,498.746,"The surgeon performs an enterotomy, preparing to introduce the stapler for the anastomosis. The procedure is shown with careful manipulation of the bowel, highlighting the complexity and variability in technique."
499.246,529.109,"The surgeon uses an additional grasper to assist in aligning the stapler correctly, preventing the creation of a false passage. The stapler is slightly articulated to improve the approximation of the bowel, resulting in a well-formed common channel."
529.609,548.101,"The surgeon closes the common channel using a suture, starting with the first stitch through the crotch of the anastomosis across the staple line to ensure definitive closure of the base of the incision."
548.601,564.447,"The surgeon takes each suture bite across the anastomosis, using the needle as a cinch to secure the suture and maintain tension on the completed anastomosis."
564.567,580.89,"The surgeon uses a 2-0 braided absorbable suture to cinch down the anastomosis, visibly maintaining tension on the sutured area."
581.39,633.436,"The surgeon places the needle through the tissue, precisely loading it at the intended location to demonstrate the suturing technique."
633.936,663.209,"The surgeon inspects the tied-down anastomosis, ensuring there is no twist in either loop of bowel and good approximation of both ends without tension. The second layer of suturing is being completed with imbrication technique."
