start,end,text
82.34,109.353,"The surgeon places three ports: a 10 mm optical port and two 5 mm working ports. The infrasigus dissection is performed, with the mediastinal pleura along the anterior border of the esophagus being dissected and divided."
109.853,171.187,"The surgeon uses a monopolar hook cautery to gently coagulate and divide small vessels along with lymphatic tissue and tumor fibers, moving from the level of the azygos arch downwards towards the diaphragm. A gauze swab is placed inside the chest cavity for potential bleeding control and lung retraction, benefiting from the semi-prone position for enhanced visualization."
171.687,223.973,"The surgeon clears the lymph node located on the right main bronchus, removing surrounding lymphatic and fiber fatty tissue using surgical instruments."
224.473,302.665,"The surgeon carefully divides the mediastinal pleura along the dorsal aspect of the esophagus, taking small pieces to avoid injury to the adjacent azygos vein and aorta. The esophagus is gently pushed towards the pulmonary hilum, creating a natural space between the aorta and the esophagus."
303.165,352.578,The surgeon identifies and divides direct arterial branches from the aorta to the esophagus using a bipolar cautery or a hook for smaller vessels. The fiber fatty tissue and lymphatics are cleared and taken together with the specimen.
353.078,393.938,"The surgeon moves to the suprazygous part, dividing the mediastinal pleura along the anterior aspect of the esophagus. Care is taken to avoid the trachea, which lies adjacent to the esophagus. The dissection proceeds up to the apex of the chest in the right thoracic cavity, where small flimsy adhesions of the lung to the parietal pleura are divided, revealing the right subclavian artery."
394.438,451.906,"The surgeon divides the pulmonary pleura along the posterior aspect of the esophagus, gently pulling the esophagus towards the pulmonary hilum. Loose areolar tissue is visible, with no large vessels present at this level. The transparent contralateral pleura is seen, allowing visualization of the contralateral lung, which appears blackish and brownish."
452.406,527.95,"The surgeon carefully separates the esophagus and associated lymphatics from the membranous part of the trachea, ensuring precise movements to avoid damaging the trachea. The patient is positioned semi-prone, allowing clear visualization of the trachea during the dissection."
528.45,585.447,"The surgeon uses traction and counter-traction techniques to retract the esophagus without grasping it directly, facilitating dissection. The trachea remains fixed, aiding in maintaining tension. The azygos arch is separated from the underlying esophagus to improve access and visibility."
585.947,719.565,"The surgeon identifies the right bronchial artery beneath the azygos arch, assessing its caliber to decide whether to divide or preserve it. The right vagus nerve is visible beneath the azygos arch, which is gradually mobilized by dividing the pleura at its superior and inferior aspects. The surgeon uses a silk thread to divide the azygos arch, facilitating the removal of lymph nodes and improving visualization of the left recurrent laryngeal nerve."
720.065,776.033,"The surgeon ligates the azygos vein away from the superior vena cava, obstructing its drainage, and then places a second ligature towards the superior vena cava. The vein is cut with scissors, providing clear exposure of the trachea, bronchi, and esophagus. The esophagus is further mobilized."
776.533,841.724,"The surgeon carefully dissects around the aortic arch, revealing the left main bronchus. Lymph nodes located along the left main bronchus, classified as level L according to the Japanese classification, are being meticulously removed along with the specimen."
842.224,909.884,"The surgeon visualizes the left main bronchus and proceeds to mobilize the esophagus step by step from various sides. Tracheobronchial lymph nodes are identified according to the Japanese classification. Several branches are visible, including the right vagus nerve. The bronchial branches supplying the bronchial tree are preserved, while the esophageal branch of the right vagus nerve is cut."
910.384,983.775,"The surgeon clears the lymph nodes at the current level, dividing the esophageal branch of the right vagus nerve while preserving the bronchial branches."
984.275,1014.847,"The surgeon moves towards the subcarinal region to excise the subcarinal lymph nodes, identified as level 107. Care is taken due to potential oozing from these lymph nodes, with options to use a harmonic scalpel or advanced bipolar device like Ligasure for vessel sealing."
1015.347,1088.513,"The surgeon uses bipolar electrocautery to separate lymph nodes from the subcarinal region and the pericardium, with visible structures including the trachea, right main bronchus, and left main bronchus. Smaller vessels from the subcarina to the lymph nodes are cauterized to prevent oozing."
1158.197,1220.63,"The surgeon carefully separates flimsy adhesions between the esophagus and the tracheobronchial tree, as well as the azygos vein. The aortic arch is visible in the surgical field."
1221.13,1276.769,"The surgeon carefully separates the esophagus from the membranous part of the trachea, taking care to avoid the left recurrent laryngeal nerve, which passes laterally in this region."
1277.269,1333.597,"The surgeon continues to mobilize the esophagus downwards, focusing on the lymph nodes located along the left main bronchus, known as level 107. Most of the dissection appears to be completed at this stage."
1334.097,1369.853,"The surgeon observes the beating heart beneath the pericardium. The left vagal branches have been divided, revealing the tumor along with adjacent lymph nodes. The trachea and left main bronchus are visible in the surgical field."
1370.353,1420.179,"The surgeon moves towards the apex of the chest, carefully preserving the right recurrent laryngeal nerve. The right subclavian artery is visible, pulsating, with the right recurrent laryngeal nerve passing beneath it. Caution is exercised in the regions of the right subclavian artery and left paratracheal area to avoid nerve damage while using the monopolar hook."
1420.679,1459.983,"The surgeon applies traction and counter traction to the esophagus, facilitating its mobilization up to the apex of the right chest. The dissection is performed with minimal bleeding, adhering to the principle of mesoesophagus."
1460.483,1531.878,"The surgeon continues the downward mobilization of the esophagus, removing fiber fatty tissue and lymphatics en bloc with the specimen. The dissection proceeds to the level of the diaphragm, where both diaphragmatic crura are visualized. The inferior vena cava is identified on one side."
1532.378,1604.153,"The surgeon checks for any bleeding at the end of the minimally invasive esophagectomy, with clear visualization of the left main bronchus, trachea, and right main bronchus. Some lymph nodes are visible and can be removed at the end of the procedure."
1604.653,1657.5,The surgeon demonstrates the preservation of branches from the right vagus nerve to the right main bronchus during the esophagectomy procedure.
