start,end,text
23.331,35.677,"A large fibroid, approximately one centimeter in length, is visible occupying the phindic region of the pelvis."
35.937,62.048,"The surgeon begins the intervention by attempting vascular control of the uterus, aiming to clip the uterine arteries at their origin. The large fibrome occupying the pelvis complicates access to the vascular pedicle."
62.548,101.921,"The surgical team attempts to access the retroperitoneal space by treating the annex, allowing gas to expand the area for dissection. The fibroid is visibly pressing against the external iliac vessels, complicating the maneuver due to the artery's deep position and the fibroid's obstructive presence."
102.421,149.962,"The assistant applies traction on the trunk and heterovary ligament while the surgeon attempts to locate and clip the artery. Despite efforts, the artery remains elusive, prompting the surgeon to increase uterine mobility by sectioning the upper ligament. This maneuver allows for the discovery of the umbilical artery at the parietal level, facilitating further exploration to locate the target artery."
150.182,182.847,"The surgeon accesses the retroperitoneal area with improved ease, revealing the two iliac vessels, including the artery and vein. Below, the umbilical artery is clearly visible and well-individualized after being elevated."
182.867,213.273,"The surgeon follows the uterine artery, identifying a vessel detaching from it. The beating character of the vessel is clearly visible. Once the surgical field is expanded, the uterine artery is successfully clipped."
236.33,264.262,"The assistant pushes the uterus completely to the left, allowing the surgeon to open the retroperitoneal space. The round ligament is carefully cut to facilitate the quick identification of the umbilical artery."
264.762,300.097,"The surgeon uses one hand to manipulate the round ligament, attempting to increase the exposure of the retroperitoneal space. The fibroid's volume limits maneuverability, but the round ligament is grasped and pulled to help identify the umbilical artery."
300.217,342.738,"The surgeon identifies the right uterine artery by its pulsating characteristic and clips it. The pararectal and paravesical fossae are developed. Bipolar energy is used to make a single incision through the uterine tissue, carefully coagulating the capsule to reach the fibroma plane."
343.238,373.715,"The surgeon highlights the large volume of the fibroma and the minimal bleeding observed. After removing the capsule, an assistant inserts an instrument between the fibroma and the capsule to perform hydro dissection by injecting water."
374.215,427.625,"The surgeon performs hydro dissection to separate the fibroma from its myometrial attachments. The assistant pushes water between the fibroma and the uterus, while the surgeon coagulates surrounding tissues. The fibroma is pulled away, gradually revealing the tissue planes. The assistant spreads the tissue approximately four to five centimeters below, facilitating the detachment of the fibroma mass from the myometrial mass."
428.125,448.01,"The surgeon uses a LED light to assist in traction while attempting to locate the gliding plane between the thick fibroids and the myometrium, a challenging task due to the fibroids' substantial thickness."
448.51,485.149,"The surgeon places the helioscopic position clamp close to the LED to enhance traction force. Hydrodissection is performed, and the LED pushes water to assist in separating the fibroma. The surgeon coagulates the well-visualized pericapsular vessels without performing hemostasis."
485.229,524.994,"The surgeon pulls the fibroma in various directions, revealing large vessels under tension that require coagulation to prevent bleeding and maintain a clear surgical field. The fibroma's size presents challenges for laparoscopy, necessitating careful and prolonged intervention."
525.494,548.199,"The assistant uses liquid to clearly delineate the gliding plane between the fibroma and the healthy myometrium, facilitating the separation of these structures."
548.419,587.955,"The surgeon regulates the pericapsular vessels while maintaining visual control, repositioning the scolioscopic position pinch close to the dissection area to enhance traction. Water is used to expand the dissection plane, facilitating the gradual nucleation of the fibroma. The uterine clippage is visible, providing structural advantage during the procedure."
588.455,638.121,"The surgeon identifies a vessel near the uterus and coagulates it. The trochars are positioned higher than usual, approximately six to eight centimeters above the umbilical cord. The fibroma is more than fifty percent enucleated, and the remaining mass is pushed towards the left hypochondriac region. The surgeon prepares to section the rest of the fibroma after coagulation to detach it from the myometrial attachment."
638.621,668.972,"The surgeon observes a small remaining portion of the fibroma, noting that despite pushing the fibroma into the left hypochondriac region, the fibroma's volume occupies the entire area, making it difficult to visualize the sections."
669.472,708.472,"The surgical field shows a small amount of blood and a significant amount of serum. The fibroma is positioned in the left hypochondriac region. The surgeon uses a Vicryl-I suture with a needle number forty-five to approximate the edges of the uterine incision, ensuring hemostasis. The edges are invaginated by moving approximately three to four centimeters on each side."
708.972,774.187,The surgeon invaginates the tissues inside the uterus using intracorporeal sutures to achieve rapid hemostasis. The sutures are placed quickly to prevent bleeding as the uterus begins to revascularize after the temporary effect of uterine artery clippage diminishes.
774.687,801.808,"The surgeon passes the suture point, allowing the tissue to invaginate into the uterine crater. The surgeon then pulls the suture from one end to the other to achieve effective hemostasis within the uterine cavity."
802.308,848.939,"The surgeon uses Vicryl sutures to create tight knots parallel to the hystereotomy. The sutures are carefully tightened to avoid breaking the threads, ensuring they do not necrose the suture area. The assistant helps to invaginate the uterus during this process."
849.439,908.627,"The surgeon performs a quick stitch using an intracorporeal knot technique, with assistance to invaginate the tissue, ensuring proper healing and minimizing bleeding."
909.127,952.685,"The surgeon completes the knot, ensuring the tissues are tightly skeined. Multiple sutures are placed to secure the area, checking for any soft regions that may indicate potential hematoma formation. The goal is to achieve a firm, healthy, and ischemic tissue verge."
953.185,1001.853,"The surgeon finalizes the myomectomy and suture of the fibroma, with the assistant pushing and the surgeon pulling to invaginate the tissues. The hysterectomy scar is entirely intraperitoneal, minimizing the risk of post-operative adhesions. Large fibromas are morcellated inside an endoscopic bag with a capacity of approximately 1200 cc."
