start,end,text
0.625,29.089,"Hello friends, today I want to talk about technique of laparoscopic crurography and short floppy Nissen-Rozetti fundoplication for axial hiatal hernia. So we talk about lady, fifty eight years old, complaints of persistent chest pain, hurt bone especially after meals. For a long time she was treated unsuccessfully by gastroenterologist. History of laparoscopic cholecystectomy for acute calculus cholecystitis."
46.722,77.756,"CT imaging reveals an axial hiatal hernia with displacement of the cardia and fundus of the stomach into the posterior mediastinum. Esophagogastroscopy shows insufficiency of the cardia, dehiscence of the sphincter, and a polyp on the cardia, which is removed for pathological examination."
78.256,112.313,"During the laparoscopic fundoplication, the surgeon uses five ports, including a 10mm port for optics and 5mm ports for a liver retractor and other instruments. The cardia is visibly gaping and does not cover the gastroscope tube."
112.813,157.572,"The surgeon uses a Natanson liver retractor to retract the liver, revealing adhesions between the left lobe of the liver and the surrounding tissue. Subsequently, the surgeon inserts three ports into the abdominal cavity: one with the left hand, one with the right hand, and one by the assistant."
158.072,212.697,"The surgeon performs gasolysis using harmonic scissors with ultrasound energy to retract the liver for better exposure of the surgical field. The stomach and cardia are removed from the chest and repositioned into the abdominal cavity, with the assistant fixing the fundus in place."
213.197,266.402,"The surgeon identifies and divides the pars flaccida in a vascular zone using harmonic scissors, revealing the hepatic branch of the vagus nerve. The right crux serves as a landmark for the procedure."
266.902,315.028,"The surgeon visualizes the right crux and proceeds to move along the anterior semicircle, gradually transitioning towards the left crux."
315.528,345.481,"The surgeon identifies the cleavage plane between the right crus and the esophagus, carefully dissecting from the right to the left crus to separate these anatomical structures."
345.981,407.966,"Using blunt dissection, the surgeon divides the tissue over the esophagus, identifying the phrenoesophageal membrane or ligament, while progressing towards the left crus and ensuring to remain within the cleavage plane."
408.466,453.945,"The surgeon navigates the layer between the esophagus and the right and left crura, revealing the posterior mediastinum. Careful dissection is performed near the left crus to avoid the posterior vagus nerve, which is often drawn into this area."
454.445,616.997,"The surgeon mobilizes the fundus of the stomach for fundoplication, carefully working with ultrasound in coagulation mode to address the anterior and posterior short gastric vessels."
617.497,705.313,"The surgeon completes the mobilization of the fundus of the stomach and proceeds to mobilize the posterior wall of the stomach and the left crux. Attention is given to the posterior gastric artery, which may be present in this area. The remnants of the frontal fundus ligament are divided, occasionally using a hook instrument."
705.813,759.299,"The surgeon divides the tissue fixing the stomach to the chest, aiming to expose the clear left pleura. The dissection proceeds into the cleavage plane between the left crus and esophagus, entering the retroesophageal space."
759.799,846.051,"The surgeon views the fundus through the surgical window and divides the remnants of the retroesophageal membrane, known as the membrane of Lyman-Bortelli, using an esophageal retractor. Care is taken to avoid the posterior vagus nerve in this area."
846.551,950.497,"The surgeon begins mobilizing the esophagus, revealing the anterior vagus nerve. They proceed to the cleavage plane between the esophagus and left crux, moving towards the posterior mediastinum. Using blunt dissection, the surgeon divides remnants of the front esophageal ligament and phrenogastric ligament, carefully manipulating small portions of tissue in the posterior part of the esophagus. The fundus is visible through the created window."
950.997,1015.119,"The surgeon performs the shoe shine maneuver on the fundus, ensuring tension-free positioning for fundoplication. The esophagus is further mobilized, with careful use of cautery near it. The abdominal part of the esophagus is exposed to a length of two to three centimeters. Posterior crurography is initiated using 2-0 Ethibond sutures."
1015.619,1073.852,"The surgeon carefully situates the left crura, ensuring to avoid damage to the nearby aorta. Similarly, while situating the right cruse, caution is taken to prevent damage to the inferior vena cava."
1074.352,1200.327,"The surgeon uses an octagonal stitch for posterior crurography, carefully overlapping the sutures to bring the crura closer together without tying the knots too tightly on the diaphragm to prevent ischemia and atrophy of the crura."
1200.827,1276.428,"The surgeon observes a decrease in the size of the esophageal orifice. To avoid altering the angle of entry of the esophagus into the abdominal cavity, which could cause dysphagia, the surgeon performs anterior crurography."
1276.928,1402.632,"The surgeon performs a fundoplication using the Nissen rosette short floppy technique, placing two or three interrupted sutures with Etibond II to secure the fundus around the esophagus."
1403.132,1583.496,"The surgeon applies a second interrupted suture between the stomach wall and the remnants of the frontal esophageal ligament, serving as a fixing suture to prevent slippage syndrome."
1583.996,1644.11,"The surgeon demonstrates the completed Nissen fundoplication, showing a short, floppy wrap without tension. The final view reveals the posterior and anterior crurography, an elongated abdominal part of the esophagus, and the short, floppy Nissen rosette fundoplication. The esophagogastroscopy image shows complete closure of the cardia with no signs of esophagitis."
