start,end,text
0.807,35.718,"Hello, I'm sharing an interesting case of a patient with long standing history of abdominal pain with obstipation followed by explosive bowel movements and resolution of discomfort. This would be associated with massive abdominal distension. and had had scopes of which the most recent one couldn't get through and then was sent for this outpatient CAT scan at a time that he felt absolutely fine."
36.218,57.118,"The surgeon points out a volvulus located at the splenic flexure of the descending colon, preparing for an elective surgical intervention."
57.138,107.931,"The surgeon uses a Tuo silk suture to create a purse string around the dilated colon, then punctures it to decompress the bowel. The colon visibly deflates as air escapes, revealing no stool present."
108.431,183.186,"The surgeon traces the bowel to identify the twist, observing the transverse colon leading to the splenic flexure with visible scarring in the mesentery from chronic twisting. The small bowel is repositioned over the ligament of Treitz for an unobstructed view of the mesentery. The descending colon is traced down to the sigmoid, revealing a thin white line with minimal retroperitoneal attachments, indicating the need for a splenic flexure resection."
183.686,243.59,"I want to decompress the bowel some more so it's easier to work with. I left this video largely unedited so you could just see the progression of the steps and what my thinking was along the way. Also, I just thought it was really cool. You can see here I started with two lefts and my camera more or less in the midline. I found that I was a little bit too close with the camera and you'll see in a moment right after this I'm just looking at the unsplayed mesentery now coming all the way back around. So no more twisting. I end up in a moment, I'm going to switch to two rights."
244.09,340.463,"The surgeon examines the mesentery with visible twisting and scarring, marking the planned distal margin in the distal descending colon. The surgeon dissects from a medial position, hugging the bowel wall due to the absence of lateral attachments, and removes the mesentery along with the white line. The camera is positioned in the patient's right lower quadrant, providing a clear view of the mesentery."
340.963,447.305,"The surgeon begins dissection from the lateral side, using arms one and four to hold the tissue and a vessel sealer in arm three. The dissection follows along the bowel wall without high ligations, ensuring the resection includes both colotomies. Multiple firings of the vessel sealer are used to cut through the thicker mesentery and parietal peritoneum. The spleen is visible in the distance, and the splenic flexure curves below its usual position, facilitating an easy takedown."
447.805,500.154,"The surgeon continues to dissect around the corner, examining the attachment of the omentum to the transverse colon. The goal is to enter the lesser sac and identify the margin on the transverse colon, though this step has not yet been completed."
500.654,561.141,"The surgeon approaches the gastrocolic omentum anteriorly, taking full thickness with the mesentery. The distal transverse colon is visible as the surgeon navigates around the corner, with the omentum clearly in view. The surgeon attempts to identify the lesser sac, distinguishing between the omentum and mesentery while deciding the extent of dissection into the transverse colon."
561.641,675.671,"The surgeon separates the omentum from the transverse colon, progressing towards the falciform ligament. The omentum is unfolded to ensure it lays without tension, and the transverse colon margin is marked for orientation. The surgeon prepares to dissect through the mesentery at the marked location, utilizing the open corner for easier access."
676.171,717.714,"The surgeon examines the resected bowel segment, lifting it over an instrument to assess its length. The specimen appears long, indicating the removal of a significant portion of the bowel."
718.214,818.234,"The surgeon performs an isoparastaltic colocolonic anastomosis using a robotic stapler, dividing the distal and proximal sections of the bowel. The proximal and distal staple lines are visible, with no tension observed. A stay suture of silk is placed on the far side, and the transverse colon is lined up with the distal descending colon, possibly the proximal sigmoid, due to redundancy. The surgeon sews the two staple lines together, noting the favorable angles and alignment."
818.734,849.959,This case absolutely could have been done laparoscopic. I think that the robot just gives a little bit more control of things and you can't really beat the stability of this camera and how this anastomosis is being held while you're sewing. But I've certainly done my share of spleniflexure resections laparoscopically and if I didn't have the robot available on this day I would have had no problem doing this laparoscopically.
850.459,945.468,"The surgeon creates a distal colotomy followed by a proximal colotomy, carefully checking the perfusion of the inner lip to ensure proper enhancement. The surgeon then begins sewing away from themselves, taking full thickness bites."
945.968,1085.312,"The surgeon navigates around the corner of the bowel, beginning to sew the inner layer of the anastomosis from the middle towards themselves. The process involves careful manipulation to ensure proper alignment and tension-free connection of the bowel segments."
1085.812,1215.815,"The surgeon brings both sutures to meet in the middle to secure the anastomosis, tying them together. The posterior suture on the staple line is brought anteriorly and tied to the silk suture. The small bowel is moved aside to inspect the thick mesentery for any bleeding, with cauterization applied as needed. The descending colon is shown, exteriorized through the incision site."
