start,end,text
8.1,99.423,"Hello everybody, it's one of the doctors, a bariatric specialist in North Carolina. Today we're talking about the gastric bypass. We have a patient who is morbidly obese, has severe acid reflux, which is an indication potentially to do a gastric bypass because the gastric bypass has the most likely probability of curing acid reflux at the same time. So she gets two benefits out of it. She gets to lose weight and she gets rid of her acid reflux all in a single swoop. So this is the gastric bypass. This is trocars actually. These are small incisions we make, and we put these plastic tubes in the patient's belly to perform a laparoscopic operation. In the old days, we'd just make a big up and down incision. And those old incisions were harder to recover from, as you might expect. And also, the patients would often get a hernia in that incision. and or an infection or a fluid collection called the seroma so my assistant sarah say hello sarah that was sarah is lifting up some fat called the omentum this is a veil that goes over your small intestine and this is the small intestine right here that i'm grabbing uh here this is the transverse colon okay so you're gonna get a little bit of anatomy lesson today in this uh thing so the gastric bypass involves creating a small pouch and then an intestinal connection to the small pouch. So we're going to work on the intestinal connection first."
99.923,201.039,The surgeon identifies the ligament of Treitz at the beginning of the small intestine and measures approximately fifty centimeters to create the bilopancreatic limb. The small intestine is grasped and divided using an Ethicon stapler with Gore Seam Guard reinforcement to minimize bleeding. The mesentery is then divided to mobilize the intestinal limb towards the gastric pouch.
201.539,324.395,"The surgeon identifies a blood vessel near the small intestine and aims to preserve it to maintain blood supply. The mesentery has been divided to create space for the Roux limb, which is being measured to 125 centimeters. The Roux limb will connect to the gastric pouch to prevent bile reflux."
324.895,531.942,"The surgeon connects two limbs of the bowel to create an anastomosis, suturing them together. Enterotomies are made in the small intestine to facilitate the anastomosis, allowing bile and pancreatic juices to flow through the bilopancreatic limb. A 60mm stapler is inserted into both lumens to advance the connection, and the hole created between the two limbs is closed, completing the anastomosis."
532.442,798.587,"The surgeon uses a Stryker camera system to inspect the surgical site, confirming the closure of the defect between the bilopancreatic limb and the Roux limb, forming a common channel for pancreatic juices and food. A stitch, referred to as the 'baby's butt stitch,' is placed between the common channel and the bilopancreatic limb to reduce the risk of intussusception. The mesenteric defect is closed to prevent internal hernias, using a permanent green stitch to minimize adhesions. Slight oozing from the mesentery is noted, expected to resolve with time or minimal intervention."
798.587,1040.064,"The surgeon grasps the omentum, dividing it to create a path for the Roux limb to reach the gastric pouch, aiming to reduce tension on the connection. The colon is visible, appearing whiter and larger than the small intestine, with bands of longitudinal muscle called tinea coli. The Roux limb, measuring 125 centimeters, is tacked to the underside of the stomach to prevent it from falling into the pelvis during patient repositioning. The diaphragm and heart are visible, with the diaphragm aiding in breathing."
1040.564,1244.935,"The surgeon identifies a hiatal hernia, characterized by a break in the diaphragm, allowing the stomach to slide into the chest. The esophagus and vagus nerve are visible near the hiatus. The surgeon assesses the laxity in the area and places stitches to tighten the hiatus, aiming to prevent acid reflux and ensure the gastric pouch does not slip into the defect postoperatively."
1245.435,1441.938,"The surgeon creates a defect behind the stomach, preparing to form a small gastric pouch. The liver is visible on the left, and the stomach is positioned below. A descending branch gastric artery is divided using a stapler to prevent bleeding. The surgeon begins to form the pouch by firing a stapler at the top of the stomach, aiming to restrict food intake post-surgery."
1441.938,1661.864,"The surgeon creates a window behind the stomach to form a pouch at the top, which will serve as the new stomach. The esophagus is visible, and food will enter the pouch before being connected to the roux limb through a gastrojejunal anastomosis. A temporary suture is placed to secure the pouch during the anastomosis process."
1662.364,1866.813,"The surgeon performs a gastrojejunal anastomosis by creating a hole in the stomach and jejunum, preparing to connect these structures. The seam guard is removed to facilitate sewing, and a blue stapler is used to assist in the procedure."
1867.313,2174.17,"The surgeon connects the roux limb to the stomach using a stapler, which fires three rows of titanium staples on each side and cuts between them. The liver is retracted on the left-hand side, revealing its fatty appearance indicative of hepatic steatosis. The surgeon sutures the anastomosis, addressing a small bleeding vessel in the process."
2174.67,2446.135,"The surgeon applies direct pressure to a bleeding site using gauze sponges to slow down the bleeding. The sponges are visibly placed on the area and will need to be removed at the end of the procedure. After holding pressure for about thirty seconds to a minute, the bleeding appears to have stopped, and the surgeon removes the sponges."
