start,end,text
1.1,6.088,Total laparoscopic hysterectomy for severe endometriosis.
6.588,15.641,This is a forty-year-old lady who underwent a laparoscopic cystectomy for endometriosis in a different hospital eleven months ago.
16.141,19.158,She presented with severe dysmenorrhea.
19.658,25.12,The examination reveals a visible right pelvic mass and nodules located on the posterior aspect of the uterus.
25.62,33.162,Ultrasound done showed an adenomyotic uterus with multiple cysts in the right ovary.
33.662,39.163,She underwent a laparoscopy for total laparoscopic hysterectomy.
39.663,48.647,"The surgeon observes the uterus, which is densely adherent to the surrounding intestinal structures, indicating significant adhesions."
49.147,55.552,"The surgeon performs laparoscopic adhesiolysis, carefully separating the dense adhesions between the uterus and intestines using laparoscopic instruments."
56.052,70.823,"The surgeon carefully dissects the intestines away from the uterus, separating the gut from the densely adherent uterine tissue."
71.323,86.48,"The surgeon enters the left pararectal space and carefully separates the gut from the uterus, revealing the anatomical structures involved in the hysterectomy procedure."
86.98,107.045,"The surgeon opens and drains the right ovarian cysts, with fluid visibly escaping from the cysts during the laparoscopic hysterectomy procedure."
107.545,144.409,"The surgeon releases the right ovarian cyst from dense adhesions to the pelvic side wall and intestines, using laparoscopic techniques to separate the structures."
144.909,169.674,"The surgeon releases the sigmoid colon, which is densely adherent to the uterus and the right utero sacral ligament, using laparoscopic techniques."
170.174,224.143,"The surgeon dissects and ligates the right uterine artery at its origin from the internal iliac artery, ensuring clear separation from surrounding tissues."
224.643,239.677,"The surgeon ligates the left uterine artery at its origin from the internal iliac artery, completing the vascular control on the left side."
240.177,265.757,The aim of ligating the two uterine arteries is to devascularize the uterus so that hysterectomy can be performed easily.
266.257,276.246,"The surgeon carefully dissects the sigmoid colon away from the uterus, separating the densely adherent tissue between these structures."
276.746,310.462,"The surgeon enters the right pararectal space and completes the release of the sigmoid colon from the uterus, ensuring the colon is no longer adherent to the uterine tissue."
310.962,319.245,"The surgeon coagulates and cuts the left round ligament, visibly separating it from surrounding tissues."
319.745,326.527,"The surgeon has dissected out the left ureter, making it visible in the surgical field."
327.027,351.432,"The surgeon coagulates and cuts the left infundibulopelvic ligament, a step in the process of devascularizing the uterus for the hysterectomy."
351.932,361.04,"The surgeon visually identifies the right ureter, which is exposed and visible in the surgical field."
361.54,393.298,"The surgeon coagulates and cuts the right infundibulopelvic ligament, completing the separation of this structure from the surrounding tissue."
393.798,406.87,"The surgeon coagulates and cuts the right round ligament, completing the separation of this structure."
407.37,433.95,"The surgeon incises the peritoneum overlying the bladder and carefully separates the bladder from the cervix, revealing the anatomical structures beneath."
434.45,452.44,"The surgeon isolates the ascending branch of the right uterine artery, then coagulates and cuts the vessel using surgical instruments."
452.94,464.77,"The surgeon opens the vaginal vault anteriorly using a co-cup, creating an incision in the tissue."
465.27,493.452,"The surgeon makes a circumferential incision to completely detach the uterus from the cervix, followed by the removal of the uterus through the vaginal canal."
493.952,556.53,"The surgeon closes the vaginal vault laparoscopically using a continuous suture technique, securing the tissue with precise stitching."
557.03,560.008,"The final view of the pelvis shows the surgical field after completion of the hysterectomy, with the uterus removed and the vaginal vault closed."
