start,end,text
0.169,7.021,"The surgeon performs a lateral to medial dissection during a high anterior resection, carefully separating tissue layers in the surgical field."
7.521,30.412,"The surgeon divides the lateral attachments of the sigmoid colon, separating it from surrounding tissues."
30.912,134.757,"The surgeon performs lateral mobilization of the sigmoid and descending colon, detaching these sections from their lateral attachments."
135.257,150.786,"The surgeon continues the dissection into the descending colon, focusing on the peritoneal attachments, following the lateral to medial approach."
151.286,183.599,"The surgeon applies medial retraction to maintain tension, facilitating the dissection process."
184.099,213.118,"The surgeon continues the lateral dissection towards the splenic flexure, progressively separating the tissue attachments in this region."
226.651,250.168,"The surgeon performs lateral dissection to expose the sidewall anatomy, revealing the anatomical structures adjacent to the colon."
250.668,261.504,"The surgeon retracts the colon laterally, providing access for the medial dissection of the vessels, with visible tension aiding the process."
262.004,299.355,"The surgeon divides the peritoneum up to the site of the inferior mesenteric artery (IMA), revealing the underlying anatomical structures."
299.855,312.508,"The surgeon exposes lateral anatomical structures during the dissection, revealing the sidewall anatomy as the procedure progresses towards the splenic flexure."
313.008,342.066,"The surgeon continues the dissection of the peritoneum around the vascular pedicle, carefully separating the tissue to expose the underlying structures."
342.566,371.715,"The surgeon retracts the pedicle and confirms the position of the ureter, ensuring it is clearly visible and not at risk during the procedure."
372.215,395.93,"The surgeon inserts a surgical stapler around the pedicle and divides it, completing the separation of the pedicle from surrounding tissues."
396.43,421.188,"The surgeon continues dissection towards the abdominal side wall, connecting the medial and lateral planes, with visible separation of tissue layers."
421.688,449.982,"The surgeon further divides the medial peritoneal attachments, enhancing the length and exposure of the surgical field."
450.482,462.937,"The surgeon performs dissection of the upper and mid rectum within the total mesorectal excision (TME) plane, carefully separating the rectal tissue from surrounding structures."
463.437,507.437,"The surgeon releases the bilateral peritoneal attachments, further mobilizing the colon and enhancing access to the surgical field."
507.937,539.143,"The surgeon skeletonizes the rectal tube to facilitate division, performing an intracorporeal division of the rectum using a laparoscopic stapler. The resected bowel is temporarily removed from the abdominal cavity, where the anvil is placed before returning it to the abdomen."
539.643,552.272,The surgeon deploys the stapling spike and connects the anvil within the abdominal cavity.
552.772,583.71,The surgeon checks the orientation of the bowel before closing the stapling device to secure the tissue.
584.21,586.979,"The surgeon performs an air leak test to check the integrity of the anastomosis, ensuring there are no visible leaks at the surgical site."
