start,end,text
0.462,28.743,We present a video of robotic anal sphincter repair. A seventy-one-year-old female presented with urge and pacifical incontinence after obstructive anal sphincter injury who had a shortened anal sphincter and virtually absent perineal body and had a high-grade internal prolapse as well. She was initially managed conservatively but unfortunately she didn't respond and after initial investigations she was discussed in MDT where the decision was made to operate upon her.
29.243,62.644,"An erectile physiology study showed Her mean inner sphincter pressure was of mercury and a maximum pressure of and there was an asymmetry of Rectal pressure versus volume graph showed passive leak throughout. Proctogram was done at the start and late which showed interception, interocele and cystocele as well. Pre-operative surgery we did an endo-anal ultrasound which showed that there was a defect from nine to three o'clock position."
63.144,80.52,"The video shows a pre-operative setup with the patient in a lithotomy position. There is visible prolapse of the rectum and vagina. The surgeon is positioned at the robotic console, while an assistant is at the bedside."
80.96,101.559,"The surgical setup includes four robotic ports, each eight millimeters in size, positioned at the level of the umbilicus, along with a twelve millimeter assistant port. The surgeon begins the dissection by retracting the sigmoid colon and marking the peritoneum to facilitate further dissection."
101.579,123.814,"The surgeon begins dissection from medial to lateral, carefully avoiding entry into the total mesorectal excision (TME) plane. The peritoneum is visibly reflected, and the dissection progresses anteriorly."
124.314,159.276,"The surgeon carefully retracts the vagina using Kelly's retractor, ensuring not to enter it during the dissection, which is continued lower down in the surgical field."
159.776,220.494,"The surgeon carefully dissects to separate the rectum from the vagina, approaching the pelvic floor. The rectum is completely separated, revealing the pelvic floor and clearly visible sphincters. Anal dilators are used to enhance the view of the rectum."
220.994,263.327,"The surgeon continues the dissection lower down, identifying the damaged sphincter. The sphincter is sutured using PDS suture material."
263.827,345.055,"The repaired sphincters are visible, followed by the placement of a porcelain mesh for rectopexy. The mesh is sutured to the rectum, starting from a point two centimeters proximal to the distal end, with five to six sutures placed to secure it. The distal end of the mesh is sutured last to prevent migration."
345.555,401.799,"The surgeon fixes the porcelain mesh to the rectum, securing it anteriorly and laterally. The mesh is then carefully attached to the sacral promontory, ensuring no damage to surrounding vessels."
402.299,510.342,"The surgeon places two to three sutures at the sacral promontory. A stitch is then taken at the distal part, and the vagina is stitched to the mesh and rectum to prevent vaginal prolapse. The peritoneal defect is closed to prevent any small bowel from entering the pelvic cavity."
510.842,547.88,"At the end of the procedure, repeat endo-anal ultrasound was performed which showed marked improvement from before. The patient will be followed up at six weeks and six months with anorectal physiology and endo-anal ultrasound and also quality of life questionnaire will be given. In the end, robotic anal sphincter repair is feasible and suitable for patients with pelvic floor disruption requiring abdominal approach. Modification of the technique could be applied to levatorplasty and other forms of pelvic floor repair. Combining the procedure with rectopexy could reduce the risk of post-operative incontinence."
