start,end,text
1.56,51.967,"The diagram illustrates the placement of laparoscopic ports for a left transperitoneal nephrectomy: a 10mm port at the left iliac fossa, a 5mm camera port at the transumbilical point, a 5mm port under the costal margin in the left upper quadrant, and a 5mm assistant port laterally."
52.467,69.681,"The surgeon carefully avoids dissecting posterior to the kidney, ensuring the left colon is mobilized downward without entering the Gerota's fascia. Dissection occurs between the mesenteric fat and the Gerota's fascia."
70.121,103.709,"The video demonstrates the distinct appearance of the egg yellow mesenteric fat compared to the salmon pink gyrotus fat. The surgeon mobilizes the spleen, an important step in the left nephrectomy, using retraction to position the spleen and pancreas appropriately."
103.937,162.623,"The surgeon uses a retractor to push the spleen away, avoiding injury to its side, and cuts the peritoneal attachments on the lateral side to fully mobilize the spleen. The spleen is moved downward, revealing the psoas muscle at the upper pole, indicating sufficient mobilization for the left nephrectomy."
163.123,210.967,"The surgeon continues mobilizing the bowel cordially using a grasper, ensuring to stay within the avascular plane. The dissection is performed carefully to avoid the iliac vessels, visible as pulsations in the lower area."
211.027,240.067,"So I think the smaller patients, people who've had kyphosis or scoliosis and even paraplegics and patients who've been in wheelchairs for long periods of time, their entire body shape is different and so you have to be prepared for anything. So the most important point is to avoid the pancreas, which is a structure on the left side of the screen, which is easily injured. If you get a pancreatic leak, it's a bit of a disaster."
240.567,291.128,"The surgeon continues the dissection during the left nephrectomy, focusing on freeing the upper pole of the kidney and dissecting medially until the kidney can be lifted off the aorta. The aorta is visible, providing a clear view of the hilum's location."
291.628,329.231,"The surgeon begins opening the Gerota's fascia, mobilizing the bowel medially. Once the fascia is opened, the psoas major muscle is exposed, confirming the correct anatomical location. The gonadal vein is visible, lying below the surgical field, and does not require retraction in this instance."
329.731,377.282,"The surgeon inserts a fixed retractor with a metal pointer or laparoscopic peanut to lift the kidney, revealing the hilum surrounded by fat. The posterior part is fully freed, allowing for sharp dissection of the hilum. The gyrotous fascia is opened anterior to the renal vein, facilitating identification of the adrenal vein."
377.782,422.041,"The surgeon dissects and clips a lumbar vein during the left nephrectomy. The gonadal vein is visible below, with additional lumbar veins located posteriorly. There is slight oozing observed in the surgical field."
422.541,494.501,"The surgeon applies green Hem-o-lok clips to the lumbar vein, ensuring careful placement to avoid interference with future stapling. The gonadal vein is divided, and gentle suction reveals a tributary of the renal vein, likely a small branch of the lumbar vein, which is dissected and controlled with additional Hem-o-lok clips."
495.001,611.951,"The surgeon cleans the vein inferiorly and exposes the renal artery by removing fascia in front of it. Using scissors, the artery is gently dissected. A purple hemlock clip is placed on the renal artery, with two clips on the stay side and one at the top. The surgeon carefully dissects around the vein, mindful of the adrenal vein, which is visible in the upper corner and can be spared by going above it."
612.451,662.86,"The surgeon applies gold hemlocks to preserve the adrenal vein, using a technique of cutting the curve and lifting upwards to secure the clips. Two hemlocks are used to ensure they do not slip off, providing stability to the tissue."
663.36,746.088,The surgeon exposes the renal artery and clips surrounding tissue bands at the hilum using purple clips. The remaining band of tissue is prepared for separation between the kidney and adrenal gland. The surgical field shows ample space with the spleen retracted out of the way.
746.588,857.6,"The surgeon uses a vascular stapler to control the area around the upper pole of the kidney, where significant blood vessels are present. Hemlocks are applied to the fat containing vessels, and diathermy is increased to reduce bleeding. The surgeon uses a grasper with the left hand to lift the kidney while cutting with the right hand, providing traction. The ureter is identified and clipped, and the gonadal vein is visible."
858.1,955.786,"The surgeon dissects the kidney from the lower pole upwards, carefully lifting it to avoid entering the service fascia and abdominal wall. They navigate through the loose areolar tissue, using high diathermy settings to efficiently separate the kidney while avoiding nearby bowel or vessels. The kidney is checked to ensure it is completely free before attempting to bag it, preventing potential bleeding from small arteries."
956.286,1037.452,"The surgeon cuts the last portion of the peritoneum, using traction to identify the areolar tissue plane. The kidney is prepared to be bagged, with a grasper holding it up to facilitate sliding into the bag. The port size is adjusted as needed for the procedure."
