start,end,text
2.43,25.135,"The surgeon creates a three-centimeter port in the anterior axillary line at the fifth intercostal space, preparing for the thymectomy procedure."
25.635,52.657,"The surgeon extends the port in the intercostal space beyond the muscle incision, advancing the scope to the uppermost part of the port. A lanky rasper is inserted through the port for further manipulation."
53.157,61.44,"The surgeon visually identifies a lesion in the lung and explores the area, noting the presence of a complete fissure."
61.46,82.036,"The surgeon retracts the lung cranially, revealing the inferior pulmonary ligament beneath it."
82.536,145.408,"The surgeon begins dissection using an energy sealing device and suction, with counter traction provided by the suction. The lung is retracted using a lung grasping forceps held by the secondary assistant."
145.908,203.173,"The surgeon uses a harmonic device to divide adhesions and ligaments, facilitating dissection with advanced instrumentation that reduces operation time and minimizes instrument switching."
203.673,245.314,"The assistant retracts the lung using lung parenchymal forceps, while the surgeon employs a two-handed technique, using one hand with a suction device and the other with a harmonic scalpel to perform the dissection."
245.814,299.888,"The surgeon uses a gyroscopic right angle clamp to maneuver around the inferior pulmonary vein, with the lung retracted cranially to expose the area."
300.388,345.568,"The surgeon uses a harmonic device to remove extra adhesions around the inferior pulmonary vein, creating additional space for the stapler after successfully passing a right angle clamp around the vein."
346.068,455.155,"The surgeon prepares the vein and proceeds through the fissure to access the artery, using the harmonic device for dissection. The fissure is clearly visible, allowing exposure of the common basilar and superior segmental arterial branches."
455.655,549.348,"The surgeon continues the dissection using Damego forceps, assisted by suction, with both hands actively engaged in manipulating the instruments."
549.848,747.882,"The surgeon uses a right angle clamp to maneuver around the artery, followed by the application of a curved tip powered vascular stapler to divide the anterior branch. The focus then shifts to the vein for further dissection."
748.382,798.926,"The surgeon places the suction device in the tunnel behind the vein to facilitate the entry of the vascular stapler, ensuring a clear path for the stapler's placement."
799.426,860,"After dividing the vein, the surgeon identifies a small abnormal branch and uses a 45-degree clip applier to place a vascular clip on it. The harmonic device is then applied to the distal end, while the prongus is used to lift the tissue."
860.5,972.607,"The surgeon removes the mediastinal tissue and flora surrounding the area, preparing to apply a stapler with green reload."
973.107,1046.847,The surgeon applies a green reload stapler to the bronchus while the anesthetist inflates the lung to ensure the upper and medial bronchus are not compromised. The freed loop is placed in a retrieval bag for removal from the chest cavity.
1047.347,1075.473,"The surgeon performs a lymphadenectomy using a systemic nodal dissection approach, starting from below the azygous vein to expose the lymph nodes."
1075.973,1099.888,"The surgeon performs dissection between the lymph nodes and the pulmonary artery, carefully separating these structures within the surgical field."
1100.388,1140.218,"The surgeon uses a suction device to elevate the tissue plane, proceeding from the penis to access station four lymph nodes."
1140.718,1216.039,"The surgeon frees the lymph node station from beneath the azygous vein and proceeds between the azygous vein and the superior vena cava, opening the mediastinal pleura to access lymph node stations four and two."
1216.539,1276.358,"The surgeon performs careful blunt dissection around the superior vena cava, targeting lymph node stations two (right upper paratracheal) and four (right lower paratracheal), ensuring these nodes are safely separated and retrieved."
1276.858,1329.321,"The surgeon retracts the lung anteriorly using lung grasping forceps and a peanut, exposing the posterior hilum to access station seven, the subcarinal lymph node. The harmonic device is used as a suction tool during the dissection."
1329.821,1357.818,"The surgeon carefully frees the tissue surrounding the lymph node at the specified station, preparing to grasp it for removal. The node is taken in a piecemeal fashion to avoid pulling against resistance."
1358.318,1419.328,"The surgeon carefully dissects around station eleven, revealing the bronchial stump and arterial stump. A long-armed diathermy is used to remove the lymph node in a piecemeal fashion, with hemostatic agents applied to control bleeding."
1419.828,1449.078,"The surgeon inspects the site of lymph node dissection, carefully checking for any signs of bleeding in the exposed surgical field."
1449.578,1457.723,"The surgeon places a stress tube and inflates the lung, ensuring proper expansion before closing the surgical port."
