start,end,text
0.852,15.182,"Hello, this is Roxen Liu from Oakland, California. This video will demonstrate my current technique for robotic intraperitoneal onlay mesh for small umbilical epigastric incisional or ventral hernias."
15.682,32.44,"A well-planned and executed port placement strategy is critical to success of the robotic IPOM procedure. And this starts with good patient positioning, appropriate abdominal mapping, and insufflation of the abdomen prior to port insertion."
32.94,52.997,"The patient is positioned by sliding them to the ipsilateral edge of the bed, with the ipsilateral arm slung and tucked below the table level. The bed is flexed to increase the distance between the causal margin and the anterior superior iliac spine (ASIS), accommodating the vertically pitched robotic instrument."
53.497,86.21,"The surgeon insufflates the abdomen using a Veress needle before marking the area of coverage by the mesh. The camera and dominant hand ports are positioned laterally, ideally fifteen to twenty centimeters away from the mesh edge, but at minimum ten centimeters."
98.175,114.469,"The surgeon spaces the robotic ports approximately six to seven centimeters apart, adjusting the left lower quadrant port to prevent collision with the thigh. The operation begins with the reduction of incarcerated omentum, assisted by the bedside assistant."
114.969,147.956,The surgeon removes the falciform fat to improve mesh apposition to the fascia. The ligamentum teres is divided to ensure the operation proceeds in the correct anatomical plane.
148.456,186.229,The surgeon removes the median fat pad and carefully dissects the peritoneum from the posterior rectus sheath. The transversalis fascia is separated from the anterior structures to preserve the integrity of the peritoneal layer.
186.729,209.998,"The surgeon uses falciform fat to cover the mesh, avoiding suturing into the diastatic linea alba along the mesh periphery. The visible fascial defect is closed with a running V-lock suture."
210.498,266.596,"The surgeon uses a six-inch suture to close the small hernia, taking a careful bite of the hernia sac to invert the umbilicus. The bedside assistant pushes down on the umbilical skin to aid in the closure."
267.096,308.205,"The surgeon lays sutures without tightening them to facilitate grabbing the umbilical stock through a small hernia defect. The suture is run back at least two throws, sometimes covering the entire length of the defect, while maintaining insufflation pressure."
308.705,356.123,"The surgeon uses a Bard Ventralight ST mesh, pre-placing a V-Loc 180 suture in the center to elevate the mesh. The suture is pushed through the mesh onto the coated side, ensuring at least a four-centimeter overlap for smaller defects. The mesh is then secured by suturing towards the surgeon's side."
356.623,398.839,"The surgeon uses a baseball stitch circumferentially with a v-lock suture, traveling less than a centimeter at a time. A longer twelve-inch v-lock suture is then used, starting in the opposite direction, approaching the area of rectus diastasis."
399.339,444.312,"The surgeon places a stitch through the diastatic linea alba, moving inward on the mesh to ensure coverage over the defect. The mesh is positioned to prevent suture pull-through, with plans to later cover the unsecured mesh area using falciform fat."
444.812,460.587,This is a small modification I make from experience with laparoscopic incisional hernia repairs for many years and seeing recurrences at this twelve o'clock position quite often.
461.087,528.065,"The surgeon continues suturing around the periphery of the mesh after passing the diastasis, securing the central part of the mesh to the abdominal wall to minimize the pocket and decrease seromas. The suturing technique alternates between 'flesh to mesh' and 'mesh to flesh' as needed."
528.565,578.235,"The surgeon secures the falciform ligament to the abdominal wall using absorbable braided sutures to cover the portion of the mesh not secured at the edge. The mesh is clearly visible, particularly at the ipsilateral edge, aided by effective port placement."
578.735,606.969,"Should I have needed a fifteen centimeter mesh, I would have placed my ports even more lateral and provided myself with the same exposure and distance from the areas where I needed to work. So this concludes this video. Thank you for watching and I will produce a similar video for a tap repair for such a small hernia too. Thank you."
