start,end,text
0.658,13.542,This video represents a laparoscopic LADS procedure for malrotation in an infant who presented with repetitive bilious vomiting. An upper GI showed a redundant duodenum which did not cross the midline.
14.042,47,"The surgical setup includes the infant positioned at the foot of the table, aligning the surgeon with the foregut. Trocar placement is visible, with a 4 or 5 millimeter port in the umbilicus and operating ports on either side. In this small infant, the right hand port is placed above the umbilicus to avoid interference with the laparoscopic scope."
47.5,59.521,"The surgeon begins the dissection under the liver, revealing a visibly dilated proximal duodenum. Adhesions and omentum are carefully detached from the duodenum using a three millimeter sealer."
60.021,82.539,"The surgeon uses a three millimeter sealer to safely grasp and manipulate the bowel, acting as atraumatic forceps. The duodenum is followed distally, with all attachments being carefully dissected to fully mobilize it."
83.039,98.728,"The surgeon uses a three millimeter atraumatic bowel grasper in the left hand to manipulate the extremely dilated first portion of the duodenum. Multiple dense adhesions are visible around the proximal duodenum, which appears tortuous."
99.228,129.906,"The surgeon uses a three millimeter sealer to safely dissect and seal dense adhesions from the surface of the duodenum, gently tearing them off without causing heat injury to the bowel."
130.406,143.258,"The surgeon uses a three millimeter sealer to grasp and dissect the bowel, preferring it over a hook due to its minimal energy spread and ability to safely handle the bowel without causing injury."
143.758,176.585,"The surgeon continues dissection around the duodenum, revealing dense adhesions. The second portion of the duodenum is exposed as upward pressure is applied to the free portion, aiming to completely mobilize the tortuous duodenum."
177.085,193.019,"The surgeon continues to free up the duodenum, revealing the caudate lobe of the liver. The technique used results in minimal bleeding and no visible injury to the bowel."
193.519,215.332,"The surgeon navigates the duodenum towards the retroperitoneum, highlighting the challenging aspect of mobilizing this section due to its anatomical position."
215.832,233.836,"The surgeon exposes the transverse colon attachments leading to the second and third portions of the duodenum, revealing thick and dense adhesions, some consistent with LAD bands, which are challenging to dissect."
234.336,259.386,"The surgeon uses the sealer's dissection and grasping properties to atraumatically separate adhesions from the duodenum. Due to the posterior attachments, the transverse and proximal or ascending colon are being completely mobilized."
259.886,287.775,"The surgeon identifies stretched lateral wall attachments between the cecum and the retroperitoneum, which appear flimsy. These attachments are easily dissected using a sealant, allowing for better exposure of the tortuous duodenum."
288.275,318.744,"With the LADS bands mobilized, the colon is flipped over into the left portion of the abdomen. Some LADS bands are visible crossing over portions of the ileum, causing a partial obstruction."
319.244,351.751,"The surgeon uses a sealer device with minimal energy spread to safely dissect the last of the large Ladd's bands traversing across the duodenum, which was causing proximal obstruction."
352.251,399.886,"The duodenum is visibly doubled back on itself. The surgeon mobilizes the colon completely into the left portion of the abdomen, allowing for the kinking retroperitoneal attachment of the duodenum to be mobilized and taken down."
400.386,421.123,"The surgeon visualizes the posterior aspect of the duodenum and completes its mobilization, allowing for the bowel to be run and fully de-rotated, reducing the risk of future volvulus."
421.623,443.669,"The surgeon grasps the freed duodenum and pulls it downward, visibly straightening the previously tortuous structure after dividing the LADS bands."
444.169,459.145,"The surgeon shows the completely freed duodenum, highlighting the transition area and the extremely dilated proximal portion. The bowel is then run from proximal to distal to achieve complete derotation."
459.645,475.955,The surgeon uses a sealer device as an atraumatic bowel grasper to safely manipulate the bowel. The sealer's jaws are smaller than a three-millimeter bowel grasper but are effective in handling the tissue.
476.455,502.356,The surgeon uses a sealing device to encounter and divide additional bands during the procedure. The bowel is run from proximal to distal until reaching the terminal ileum and cecum.
502.856,526.279,"The bowel is shown nearly completely derotated, with enlarged lymph nodes visible in the mesentery and a chylous appearance indicating chronic mild obstruction. The terminal ileum and cecum are reached."
526.779,546.057,"The surgeon mobilizes the mesentery of the appendix for removal. The colon is positioned on the left side and the small bowel on the right, indicating the completion of the Ladd's procedure."
546.557,562.789,The appendiceal mesentery is taken down using a sealer. The appendix is then brought out through the right three-millimeter trocar site in a small infant and amputated extracorporeally.
