start,end,text
49.113,52.233,The laparoscopic camera provides a view of the right lower quadrant from the umbilical port.
55.134,67.146,"The surgeon identifies a gangrenous appendix walled off between the terminal ileum and the retroperitoneum, with lateral attachments of the terminal ileum being divided."
72.891,76.815,"The surgeon carefully retracts the small bowel from the pelvis, creating a clearer view of the surgical field in the right lower quadrant."
77.315,80.318,"The camera provides a direct view deep into the pelvis, focusing on the surgical field in the right lower quadrant."
80.818,82.479,The surgeon identifies the sigmoid colon on the left side of the surgical field.
82.859,90.402,"The surgeon observes small bowel loops that are congealed together, with visible signs of purulent peritonitis in the surrounding area."
90.902,96.645,"The surgeon continues dissection, revealing adhesions causing the small bowel loops to be congealed together."
97.145,103.099,"The surgeon encounters adhesions to an abscess cavity, which will be visualized shortly."
103.599,108.363,"The surgeon attempts to elevate the small bowel loops to achieve complete circumferential exposure of the appendix, which is located deep in the pelvis."
115.068,119.451,"The surgeon has unroofed the abscess cavity, revealing the purulent material within the surgical field."
119.951,127.817,"The surgeon uses blunt dissection to lift a small bowel loop away from the abscess cavity, moving it towards the upper abdomen."
128.317,140.443,"The gangrenous appendix is visible in the center of the screen, surrounded by the exposed abscess cavity."
140.943,143.144,"The tip of the appendix is visible, positioned prominently in the surgical field."
143.644,147.445,"The surgeon adjusts the view to focus on a fibrous band adjacent to the appendix, visible in the surgical field."
153.288,180.558,"The surgeon prepares to divide a structure, with the gangrenous appendix visible in the center of the screen."
181.058,188.584,"The surgeon lifts the small bowel, revealing the appendix, which is now completely free and ready for further surgical intervention."
199.691,211.308,"The surgeon navigates through the mesentery towards the base of the appendix, preparing to address the appendiceal attachment."
211.808,218.115,"The surgeon carefully lifts the tip of the appendix away from the right pelvic side wall, preparing for further manipulation."
267.66,280.607,"The surgeon carefully manipulates the appendix, avoiding avulsion as it is separated from the pelvic side wall, revealing a potentially necrotic area on the posterior wall of the appendix."
284.93,286.972,"The surgeon continues dissection towards the base of the appendix, navigating through the mesentery to reach the targeted area."
287.472,290.955,The surgeon identifies a small nub within the surgical field that appears suitable for preservation during the appendectomy.
291.455,295.679,"The surgeon ensures that the ileocecal valve is positioned away from the surgical field, confirming its safe distance from the area of operation."
298.201,331.36,"The surgeon carefully examines the area to identify the base of the appendix, ensuring precise location before proceeding with further dissection."
331.86,339.95,"The surgeon identifies a one-centimeter stump of the appendix, preparing to close it off."
340.45,343.733,The surgeon elevates the inflamed appendix and uses a stapler to secure the tissue.
343.773,357.516,"The surgeon secures the closure of the appendix stump, ensuring a tight seal to prevent leakage."
358.016,364.152,The surgeon removes the appendix from the abdominal cavity.
364.652,382.683,"The surgeon performs irrigation in the surgical area, flushing the site with fluid to clear debris and ensure a clean field."
383.183,388.508,"The surgeon irrigates the surgical area with approximately two liters of saline solution, ensuring the site is thoroughly cleansed."
389.008,391.17,"The surgeon ensures the removal of all loculations from the surgical site, inspecting the area for any remaining pockets of fluid or tissue."
458.864,461.185,"The surgeon places the omentum down into the pelvis, arranging it over the surgical area."
