start,end,text
85.813,93.435,"A double J stent is introduced into the ureter, accompanied by retrograde ureteroscopy, to visually assess and rule out any intraluminal involvement."
93.935,99.196,"The surgeon observes filmy and dense adhesions between the sigmoid colon and the posterior aspect of the uterus, indicating areas of tissue fusion that may require careful dissection."
99.516,101.197,"The surgeon observes that the Douglas pouch is obliterated, indicating dense adhesions or tissue involvement in the pelvic region."
101.697,107.459,"The surgeon grasps the peritoneum over the left lateral pelvic sidewall, entering the retroperitoneal space to begin dissection."
107.959,113.848,"The surgeon uses an ultrasonic energy instrument to achieve meticulous hemostasis, ensuring a clear surgical field by controlling bleeding."
114.348,118.131,The surgeon performs dissection using a careful push-and-spread technique to separate adhesions between the sigmoid colon and the posterior aspect of the uterus.
118.631,123.594,"The surgeon gently wipes the fatty tissue to dissect the sigmoid colon away from the peritoneum, separating the structures with careful manipulation."
124.094,128.057,"The surgeon navigates through fatty tissue planes, which serve as safety zones for the dissection process."
128.557,136.483,"The surgeon observes a grossly dilated ureter exhibiting peristaltic activity, positioned parallel to the left ovarian vascular pedicle within the surgical field."
136.983,144.507,"The left ovarian artery is visible running parallel to the dilated ureter, which may visually resemble the internal iliac artery due to its course."
145.007,152.249,"The surgeon exposes the endometriotic nodule responsible for ureteral compression by dissecting away the surrounding tissues, revealing the nodule's location and its impact on the ureter."
152.749,158.33,"The surgeon performs further dissection of the hydroureter, spreading and advancing the pararectal fat tissue to expose and separate the ureter from surrounding structures."
158.751,163.652,"The surgeon uses fat tissue as a safeguard zone to carefully separate the ureter from the rectum, ensuring a safe dissection path."
164.152,168.173,"The surgeon continues dissection and enters the endometriotic nodule, draining its contents, while surrounding tissues are carefully manipulated."
168.633,172.408,"The surgeon uses traction and counter-traction to further separate the surrounding tissues, revealing clearer anatomical structures and facilitating the dissection process."
172.908,180.831,"The surgeon uses a surgical gauze to clean the surgical field, effectively removing debris and maintaining visibility without the use of cautery or irrigation."
184.293,188.915,"The surgeon performs further dissection in the pararectal fatty tissue using a push and spread technique, visibly manipulating the tissue to separate anatomical structures."
189.315,200.836,"The surgeon attempts to mobilize the rectum away from the site of ureteral obstruction, carefully manipulating the tissue to separate these anatomical structures."
201.336,211.484,"The surgeon applies traction on the median umbilical ligament, revealing the obliterated umbilical artery and confirming that the internal iliac artery is not parallel to the ureter."
211.984,222.053,"The surgeon continues dissection to liberate the ureter from surrounding fibrotic tissue, visibly improving the poststenotic dilatation of the ureter."
222.553,237.033,"The surgeon completes the liberation of the ovarian remnant, which contains an endometriotic nodule, from surrounding tissues."
237.533,245.055,"The surgeon mobilizes the distal end of the ureter until it crosses over the uterine artery, carefully separating it from surrounding tissues."
245.555,254.497,"The surgeon excises and removes fibrotic attachments surrounding the ureter, visibly freeing it along its distal course."
254.997,262.819,"The surgeon uses a grasping forceps and tissue dissector to excise and remove fibrotic structures and bands over the ureter, further freeing it from surrounding adhesions."
263.319,268.729,"The surgeon carefully manipulates the ureter, ensuring the adventitia remains intact during the dissection process."
269.229,289.5,"The surgeon carefully removes fibrotic bands from the ureter using precise and meticulous handling, ensuring the ureter is freed without damage."
290,296.043,"The surgeon excises ovarian remnant tissue around the nodule using an ultrasonic energy instrument, carefully removing the tissue with precision."
296.543,309.496,"The ureter is fully mobilized and visible up to the junction beneath the uterine artery, indicating successful excision of surrounding fibrotic attachments."
309.996,315.101,"The surgeon further mobilizes the ureter, carefully detaching it from underlying tissue attachments using precise dissection techniques."
315.601,322.612,"Following the relief of external compressions, the ureter is visually observed to regain its anatomical continuity, appearing unobstructed and intact."
323.112,332.235,"The surgeon leaves a double J stent in situ within the ureter, which shows minimal residual post-stenotic dilatation, allowing it to recover over time."
