start,end,text
23.287,27.789,"The surgeon begins the cholecystectomy by working on the lateral aspect of the gallbladder, initiating the dissection process."
27.809,36.672,"At the start of the cholecystectomy, the surgeon exposes a very short cystic duct, which remains visible throughout the procedure."
43.974,55.6,"The surgeon continues dissection along the lateral side of the gallbladder, progressing upwards with careful manipulation of the tissue."
56.1,79.595,"The surgeon carefully maintains hemostasis during the cholecystectomy procedure, ensuring minimal bleeding in the surgical field."
80.095,104.786,"The surgeon carefully manipulates the gallbladder to improve its mobility, avoiding the cystic duct to facilitate easier dissection towards the Calot's triangle."
105.286,114.79,"The video shows the short cystic duct emerging from the common bile duct, highlighting its limited length."
115.29,140.122,"The surgeon dissects along the artery, crossing the peritoneum over the artery, in the process of mobilizing the gallbladder."
140.622,240.228,"The surgeon performs medial dissection of the gallbladder, carefully separating it from surrounding tissues while maintaining hemostasis."
240.728,247.414,"The surgeon attempts to dissect the Calot's triangle from the medial side, following standard practice, while maintaining good hemostasis."
247.494,250.47,"The surgeon visually identifies the cystic duct, which is clearly visible in the surgical field."
250.97,262.493,"The surgeon attempts to clear the gallbladder from the liver bed above the cystic artery, working to achieve the critical view despite some difficulty."
271.897,302.67,"The surgeon improves visibility of the gallbladder and continues to separate it from the liver bed, aiming to connect with the previous lateral dissection to establish the critical view."
303.17,304.451,"The surgeon continues to work on clearing the gallbladder from the liver bed, focusing on achieving the critical view above the cystic artery."
304.471,332.442,"The surgeon carefully maneuvers scissors behind the gallbladder without spreading them, continuing to separate the gallbladder from the liver bed above the hepatic artery and vein, which are visible in the surgical field."
332.942,339.768,"The surgeon achieves a clear view of the liver bed through the triangle, establishing the critical view necessary for the procedure."
355.941,367.753,"The surgeon continues to carefully dissect the gallbladder from the liver bed, maintaining visibility of the hepatic artery and vein while avoiding spreading with scissors to prevent bleeding."
368.253,377.158,"The surgeon attempts to gain more mobility behind the hepatic artery, considering the possibility of proceeding to take the cystic duct and artery."
381.821,401.263,The surgeon continues to mobilize the gallbladder above the cystic artery to improve the view of the liver bed.
401.763,403.647,"The surgeon attempts to gain access behind the cystic artery, manipulating the gallbladder to improve visibility and facilitate further dissection."
439.676,456.299,Bleeding occurs from the gallbladder area as the surgeon continues to mobilize the gallbladder above the cystic artery.
566.645,569.767,"The surgeon has exposed the artery, which is now visible in the surgical field."
569.787,577.893,"The surgeon clears the back surface of the artery, working from the medial side to remove surrounding tissue."
577.913,596.952,"The surgeon visually identifies the takeoff point of the hepatic artery, highlighting its anatomical position in the surgical field."
597.452,610.902,"The surgeon prepares to take the hepatic artery and cystic duct, indicating the final steps of the cholestectomy procedure."
616.025,620.289,"The surgeon observes a short cystic duct and a notably dilated common bile duct, highlighting the anatomical features during the cholestectomy procedure."
640.032,647.135,The hepatic artery is visible in the surgical field.
