start,end,text
16.366,19.788,"The surgeon carefully dissects and removes adhesions from the patient's previous C-section, revealing underlying tissue layers."
20.288,24.671,"A large lymph node is visible as the surgeon places the ileocolic vessels on stretch, highlighting the anatomical structures in the surgical field."
25.171,31.154,"The surgeon circumferentially dissects the ileocolic vessels and ligates them using a bipolar device, ensuring clear separation from surrounding tissues."
31.654,34.756,"The surgeon performs a medial to lateral dissection, progressing through the tissue layers to mobilize the colon."
35.256,40.239,"The surgeon uses a combination of blunt and sharp dissection techniques to carefully separate and take down the duodenum, revealing the underlying structures."
40.739,44.181,"The surgeon mobilizes the colon across the hepatic flexure, carefully freeing it from surrounding tissues."
44.681,46.74,"The surgeon opens the lesser sac, revealing the underlying anatomical structures as part of the colectomy procedure."
47.24,51.641,"The surgeon encounters the previously performed medial to lateral dissection, revealing the dissected tissue planes and ligated vessels."
52.141,55.383,"The surgeon takes down the lateral attachments of the right colon, detaching it from the surrounding tissue."
55.883,61.144,"The surgeon includes the peritoneum in the dissection at this level to ensure an adequate radial margin, visually incorporating the surrounding tissue into the surgical field."
61.644,66.506,"The surgeon begins dividing the small bowel mesentery at the iliocolic pedicle, using precise dissection techniques to separate the mesenteric tissue."
67.006,72.805,"The surgeon takes down the few remaining attachments to the ascending colon, completing the dissection of this section."
73.305,81.528,"The surgeon grasps the terminal ileum and transects it using a laparoscopic powered stapler, visibly separating the ileum from the adjacent bowel."
82.028,90.271,"The surgeon divides the remaining mesentery of the proximal transverse colon, preparing for the transection of the bowel."
90.771,99.477,"The surgeon uses a stapler with a thicker reload to divide the colon, ensuring a secure transection of the bowel."
99.977,107.259,"The surgeon uses a second firing of the stapler to complete the division of the bowel, ensuring full separation of the targeted section."
107.759,111.36,"The surgeon grasps the resected specimen and positions it above the liver, ensuring it is securely placed away from the surgical field."
111.86,117.962,"The surgeon completes a total mesocolic dissection, revealing the retroperitoneum beneath the dissected tissue."
118.462,125.448,"The terminal ileum and transverse colon are visually aligned in an isoparastaltic fashion, indicating preparation for anastomosis."
125.948,132.032,"The surgeon creates a window on the anti-mesenteric border of the small intestine, revealing the underlying tissue layers."
132.532,140.417,"The surgeon performs a colotomy approximately ten centimeters distal to the staple line on the transverse colon, creating an opening in the colon wall."
140.917,145.88,"The surgeon introduces a surgical stapler through the left upper quadrant port, preparing to perform a stapling action within the abdominal cavity."
