start,end,text
135.267,139.492,The camera was inserted and the robot targeted for optimal arm positioning.
139.892,142.756,The instruments were inserted as previously described.
143.216,147.842,There were adhesions present at the level of the previous thoracotomy which were lysed.
148.522,152.567,The apex of the right upper lobe was also adherent to the chest wall
152.8,155.527,and was separated with the bipolar cautery.
158.334,168.379,"The mass was then visualized posteriorly at the level of the first rib, the pleura was incised and circumferential dissection was performed starting at the base."
196.608,201.083,Proline sutures were seen from the prior resection as noted here.
268.124,274.523,Dissection was continued superiorly to the base of the neck to ensure complete resection of the mass.
368.378,377.663,The subclavian vessels were in close proximity to the mass as evident by the pulsations to the right of the screen and care was taken to avoid injury.
422.21,428.08,"Once the mass was completely freed with a capsule intact, it was placed into an endocatch bag and removed."
428.581,433.049,The surgical bed was irrigated and hemostasis was ensured.
