start,end,text
1.685,19.373,Hello friends. This is a case of laparoscopic cholecystectomy and ovarian drilling. This patient has cholelithiasis with multiple stone and there is a polycystic ovarian disease.
19.873,50.585,"The surgeon applies anteromedial traction to the Hartmann's pouch, using a harmonic scalpel to separate the posterior peritoneum. The gallbladder appears without adhesions or wall thickening, indicating an uncomplicated cholecystectomy."
51.085,89.73,"The surgeon applies anteromedial traction to the gallbladder, exposing the posterior peritoneum. Anterolateral traction is then applied to open the opposite side of the peritoneum. Approximately one-third of the gallbladder peritoneum is separated, creating a visible window between the liver and the cystic pedicle. The anterior peritoneum is opened, forming an anterior window between the cystic duct and artery."
90.23,125.742,"The surgeon uses a Maryland dissector to achieve the critical view of safety, positioning the instrument parallel to the cystic duct and cystic artery. After stripping the peritoneum, the jaw of the Maryland is opened to form another window between these structures."
126.242,155.215,"The surgeon uses a Maryland dissector with its jaw fully open, measuring 2.2 centimeters, to manipulate the tissue. An extracorporeal Misraz knot is tied, feeding the suture through four times."
155.715,211.447,"then take the tail of the suture out and outside the knot is tightened as you know configuration of massage knot is one three one so first time you will take this is this is single hitch, shorter above the longer then first wind then first lock then second wind then second lock and then third wind and then third lock so configuration of miscellaneous knot as you know is one one one one one"
211.947,249.598,"The surgeon uses a knot pusher to apply a single knot near the cystic duct to prevent spillage. A clip is placed above the knot and another clip is applied over the cystic artery, securing both limbs of the artery."
250.098,324.033,"The surgeon uses a harmonic scalpel to cut the cystic duct and cystic artery. The Hartsman pouch is held with the left hand while alternating anterolateral and anteromedial traction is applied. The peritoneum on the lateral and medial sides is separated, revealing a clear dissection plane for further separation of the remaining tissue."
324.533,366.504,"The surgeon inspects the surgical field, observing a clear dissection plane between the gallbladder and liver. The light cable is positioned at six o'clock to enhance visibility, confirming no bleeding in the area."
367.004,391.91,"The surgeon uses claw forceps to hold and separate the corbata from the liver, pulling the tip into the cannula. The ovum forceps are then used to bring the structures together outside the body for cutting."
392.41,453.251,rupture the stones and then it will come out now we will go to the lower abdomen here is the polycystic ovary this is a striker mini alligator which is lifting the right ovarian ligament and then you can do the drilling this is the drilling you can drill it at four poles with the forty watt current you can see the fluid is coming out so in many patients where the medical therapy has failed ovarian drilling can treat the polycystic disease so this side is now over now this is left side This is just a two minute procedure which you can perform easily.
453.751,475.862,And then you can little bit irrigate and suck. This was just a simple case of laparoscopic cholecystectomy. And together with the ovarian drilling. So you can do the multiple surgery in laparoscopy at the same time. And it has a better outcome. So thank you very much for watching this video.
476.362,477.183,Have a nice day.
