start,end,text
16.732,19.216,The platysmus layer then is divided transversely.
19.577,23.803,"Next, the left and right strap muscles are identified and separated from each other along the midline."
24.864,30.072,Dissection is carried out inferiorly to the thyroid gland until reaching the trachea.
32.465,37.333,A gentle blunt dissection is performed using the finger to follow the trachea into the mediastinum.
38.495,43.263,A video mesoscope is then inserted into the mediastinum.
43.904,51.537,"A metal tip sucker is used to carefully dissect the tissue off the trachea, allowing the scope to advance while lifting the innominate artery."
58.958,65.132,Lymph nodes are identified and bluntly dissected away from the surrounding structures to perform the biopsy.
65.212,69.863,The lymph node is held onto and gently pulled away from the surrounding structures.
119.472,122.056,"After lymph node removal, some oozing may occur."
122.537,125.622,Hemostasis is achieved by placing a surgery cell followed by a rate tag.
126.404,130.831,"Before closure, the rate tag and surgery cell are left in place for approximately five minutes."
131.893,137.843,"If there's any active bleeding above the surgery cell, it is removed to identify the bleeding vessel, which then can be cauterized."
138.945,141.008,The surgery cell is typically left in place.
151.113,155.925,"Once hemostasis is achieved, the platysmus layer and skin layer are closed."
