start,end,text
20.37,23.034,The incision was made by standard median sternotomy.
24.496,26.038,The pericardium was opened.
30.102,32.366,The right pulmonary artery is dissected.
39.46,44.91,"The aorta, superior vena cava, and the hilum of the right lung are also dissected."
46.453,51.402,"The right pleural space is open widely, and the right pulmonary veins are dissected."
75.327,83.404,"After dissection of the pulmonary veins, trachea, and right pulmonary artery, a similar dissection is performed on the left side."
84.927,87.092,A snare is applied to lift the heart.
120.063,130.395,"A full dissection of the right pulmonary veins, the other structures, and in both hilums is important to facilitate the explant and implant of the new lungs."
131.857,135.281,"Next, we performed the left pulmonary hilum dissection."
136.362,141.328,We opened the left pleural space widely and the pulmonary veins are dissected.
166.503,178.605,"After the dissection of the hilum and the donor lungs arrive, we placed the patient on bypass by cannulating the ascending aorta, the SVC, and dual-staged cannula into the right atrium."
190.752,199.682,"Once bypass is established, a vascular stapler is applied to the right pulmonary veins, the right pulmonary artery, and also the right bronch."
200.603,203.166,It's very important to assure good hemostasis.
212.076,214.539,The clamp is applied to the main right bronchus.
215.5,219.645,"Often, you will see a secretion and cultures should be collected at this time."
234.644,238.169,A careful hemostasis of the right pleural space is achieved.
239.411,242.395,The donor lungs are brought into the field and separated.
243.276,249.125,We received in-block lungs and the donor pulmonary vein cuff and pulmonary artery are divided.
249.826,259.74,"Please note, it's important to divide the airway and keep as short as possible because the surrounding tissue will assure adequate irrigation to the airway anastomosis."
265.728,272.65,The airway is first implanted using 5-O PDS and we begin in the membranous portion of the airway.
299.174,303.953,"After completion of the membranous airway, next we anastomose the cartilage."
321.652,329.249,"Once the airway anastomosis is accomplished, we apply glue and test the airway pressure up to 30 centimeters of water."
330.151,336.285,"Next, we perform the right pulmonary artery anastomosis with running 5-O proline sutures."
360.312,365.658,It's important to apply ice to the new lungs to assure good function after reperfusion.
365.718,372.765,"After accomplishing right pulmonary artery anastomosis, we perform the pulmonary vein anastomosis."
373.506,379.973,"A side biting clamp is placed into the left atrium, and the left atrium and pulmonary veins are opened widely."
385.999,389.323,Left atrial cuffs are connected using a running suture.
418.109,428.641,"By the end of this anastomosis, we de-air by releasing the clamp into the pulmonary artery and leaving open the pulmonary vein anastomosis, avoiding any air embolism."
429.643,434.068,The right lung is perfused and the left lung is split similar to the right.
438.293,446.783,"We first start with the pulmonary veins, then the pulmonary artery,"
448.113,450.317,"And finally, the airway is divided."
450.337,455.047,"Again, it's important to collect samples for culture from the sputum."
456.009,463.965,"The left donor is prepared, and we try to make it as short as possible to make sure all surrounding tissue is close to this anastomosis."
464.626,467.472,We use 5-0 Proline running sutures.
467.452,472.923,The anastomosis of the membranous portion of the posterior wall is first performed.
473.705,478.294,"During the whole procedure, the heart is beating empty, which helped facilitate our approach."
479.176,484.407,"As well, note a median sternotomy was performed instead of a clamshell incision."
484.467,488.515,"In our opinion, this incision allows for better recovery."
508.137,512.374,The left pulmonary artery anastomosis is performed like the right side.
513.238,517.776,"And note, we continually apply ice to the lung before it's perfused."
535.525,538.849,"Finally, a side-biting clamp is placed on the left atrium."
539.57,545.197,It's opened widely and a typical 5-0 proline running suture anastomosis is carried out.
558.733,562.798,We de-air via the pulmonary veins and hemostasis is reviewed.
566.913,569.424,The patient is successfully weaned from bypass.
570.569,576.012,"The lungs are ventilating, all the sutures are checked, and hemostasis is reassured."
