start,end,text
2.326,2.746,"Hi, guys."
2.766,3.367,This is Charles.
3.387,4.709,I'm one of the surgeons at Southpaws.
5.309,13.678,"Today, we're removing a soft-tissue sarcoma, a presumptive soft-tissue sarcoma off the chest wall of a dog."
15.88,27.793,This is a Labrador sapphire terrier cross that's developed this mass over the past several months that's grown progressively.
28.313,39.885,"It seems to be fluid filled and non-diagnostic on cytology, but it's multilobular."
40.085,42.327,So there's some areas that are quite firm in the middle of it.
42.347,46.431,So I'm fairly confident that we're dealing with a soft tissue sarcoma.
46.531,50.715,So on notifications so that you know when we are live streaming again.
52.037,54.439,We do have the live chat running as well.
56.95,59.603,I think that that's just fat right there.
88.118,91.402,And so you can see how Sarah is providing counter tension on the skin.
91.422,96.848,"It really, really helps divide the tissue planes."
112.166,113.788,Come around the other side now.
139.79,168.801,"All right, so we've circumscribed the tumor, now we're just going"
170.182,193.152,"Go straight down through the fat, down to the level of the latissimus dorsi muscle."
199.848,201.859,So that's latissimus dorsi right there.
232.265,233.987,Bit of a cancer week for me this week.
239.555,239.896,Not every week?
240.016,240.957,Some weeks more than others.
259.142,261.225,So I'm just taking latissimus dorsi back.
266.993,293.659,let me make sure that because i'm lazy good old lazy ligature come around the other side
301.418,325.24,Cutting through the latissimus on the other side now.
325.961,329.164,It gets quite thin back here cordially.
345.867,348.91,So that's pretty much it there for the removal.
348.95,350.773,So that's latissimus dorsi there deep.
351.433,352.695,"Get some Mepivacaine, please."
358.101,362.065,And just inject the muscle with Mepivacaine and then we just see how we're going to close this thing.
362.105,368.112,We may end up having to do a flank fold or a Zedplasty in order to reduce the tension.
375.398,376.139,"Both sides, yeah."
376.4,377.562,"Generally, I'll do both sides."
379.185,380.147,"Loveland, Colorado."
380.187,381.329,"Hi, Deb from Loveland."
382.251,385.176,"Hi from Delhi, India, from Mexico."
385.196,396.698,Super impressed with this previous left forelimb preop rotating CT scan for mast cell tumor.
397.808,399.831,Soft tissue sarcoma didn't receive the same lab.
399.871,409.164,"It did have a CT scan, but I didn't have time to set it up so that you could see it on the same screen."
409.986,410.907,It wasn't very exciting.
422.824,424.727,So just injecting Mepivacaine.
427.373,440.387,into the muscle and then the skin.
479.888,481.33,"Get some OPDs, please."
490.28,491.942,And if I could get a bigger needle driver.
493.624,494.005,Thank you.
496.168,496.828,"Thank you, Michael."
502.375,503.176,Hello from Serbia.
503.216,504.057,"Hi, Serbia."
507.091,513.798,So we're just waiting for a bigger needle driver because I don't want to break my... Can you also ask for some towel clamps?
516.361,524.089,"So skin is viscoelastic, which means that the tension that you get is dependent upon the rate of tension that you put on it."
524.31,532.238,And so we are going to put some pre-tension on it in hopes of relaxing that skin a little bit.
535.39,537.88,So I'm just going to get some towel clamps waiting for those to come.
537.92,545.451,Thank you.
580.767,582.749,And we'll just leave that for a second.
583.81,585.431,Start placing some sutures in here.
585.451,591.096,"I think that, given the tension that this is under, the sub-Q fat would just tear anyway."
591.176,598.863,So I'm just going to do an intradermal suture pattern tacked down to the underlying tissue.
600.424,602.025,And I'm not going to put a drain in this.
604.608,605.708,It's not necessary.
608.051,608.691,Can you attempt to place the ?
608.711,609.812,It's under too much tension.
611.395,619.768,"The question internally about whether I would attempt to close the latissimus dorsi, I had a look at it and pulled on it a little bit, and it was under too much tension for me to consider closing it."
