start,end,text
31.604,35.188,"An additional surgical port is visible on the screen, indicating its placement for the procedure."
63.726,66.648,"The surgeon navigates around the ileocolic pedicle, carefully dissecting the surrounding tissue during the right hemicolectomy procedure."
79.898,85.521,The surgeon uses a ligature device to thin out the iliocolic pedicle during the dissection.
85.541,111.928,"The surgeon sweeps down the retroperitoneum, carefully entering the optimal dissection plane."
112.428,118.392,"The surgeon continues to thin out the ileocolic pedicle using a ligature, carefully dissecting the tissue to refine the pedicle structure."
118.892,129.878,"The surgeon continues to thin the ileocolic pedicle using the ligature, ensuring there are no excess fat deposits that could interfere with achieving a full seal during transection."
129.918,138.203,"The surgeon uses a ligature device to transect the ileocolic artery, followed by the vein, within the thinned-out pedicle."
138.703,153.903,"The surgeon briefly inspects the duodenum, ensuring its position and condition within the surgical field."
154.403,186.518,"A visible lymph node is present as the surgeon continues the medial to lateral dissection, sweeping the duodenum down off the right colon mesentery."
187.018,195.542,The right colic artery is visible as it comes into view during the dissection.
196.042,204.707,The pancreas is visible in the surgical field during the colectomy procedure.
205.207,212.621,"The surgeon thins out the right colic pedicle, carefully manipulating the tissue to refine the structure."
240.001,247.653,"The surgeon takes the right colic artery, continuing the dissection of the right colon mesentery."
248.153,259.136,"The surgeon advances towards the colon margin, dissecting the remaining mesentery to establish the planned distal margin."
259.516,277.597,"The surgeon completes the medial dissection, extending laterally to facilitate the upcoming lateral dissection."
278.097,330.83,"The surgeon continues to dissect the colon wall, advancing towards the planned distal margin."
331.33,340.072,"The surgeon begins the lateral dissection over the transverse colon, splitting the omentum up to the planned transection level."
340.572,360.088,"The surgeon attempts to gain entry into the lesser sac, the space between the colon and the liver, following the completed medial dissection."
360.588,387.693,"The surgeon manipulates the omentum over the transverse colon, revealing the medial dissected space as it comes into view."
413.751,430.869,"The surgeon finishes detaching the hepatic flexure of the colon, completing the dissection and freeing the remaining attachments."
431.369,445.945,"The surgeon identifies the medial dissected space where the mesentery has been transected, revealing the area beneath the hepatic flexure."
446.445,501.869,"The surgeon navigates around the hepatic flexure, approaching the tumor site. The tumor appears firm and fixed within the abdominal wall, with visible fibrotic tissue response. Despite initial concerns, the margins are clean upon inspection."
502.369,537.698,"The surgeon approaches the tumor, intentionally dissecting into the abdominal wall. The angle is adjusted using the right-handed instrument, revealing an obstructed, enlarged, and dilated appendix due to the tumor."
550.704,601.55,"The surgeon struggles to manipulate the tumor and insert the ligature, opting to take the remaining small bowel mesentery to the ileal margin for improved access and manipulation."
662.09,690.754,"The surgeon continues to mobilize the tumor from the sidewall, carefully separating it from the surrounding tissue."
771.16,788.81,The surgeon completes the dissection by releasing the remaining lateral attachments. An intracorporeal anastomosis is performed to connect the bowel segments.
