start,end,text
4.495,13.665,"In this video, we demonstrate a novel robotically-assisted technique for a total pancreatectomy with autologous islet transplantation in which the pancreas is resected in its entirety."
18.37,41.521,"Robotic and laparoscopic ports are positioned, with the liver retracted. Laparoscopic instruments are used to mobilize the right colon down to the terminal ileum. The surgeon performs a Kocher maneuver to mobilize the transverse duodenum from the ligament of Treitz, beneath the mesenteric vessels. An incision is made into the foramen of Winslow."
42.021,54.732,The surgeon pulls the jejunum into the right upper quadrant beneath the mesenteric vessels and transects it using a 3.5mm linear cutting stapler approximately 10 centimeters from the ligament of Treitz.
55.232,63.997,"The surgeon dissects the inferior border of the pancreas towards the tail, visible at the top of the screen, while simultaneously taking down the splenic flexure."
64.497,68.46,"The da Vinci robotic system is docked at the head of the surgical table, preparing for the continuation of the pancreatectomy procedure."
68.96,97.219,"The surgeon uses hook cautery to divide the tissue overlying the porta hepatis, exposing the superior border of the pancreas and the common hepatic artery. The splenic artery is isolated with a vessel loop, followed by the gastroduodenal artery, which is cleared of surrounding tissue and also isolated with a vessel loop. The gastric artery is identified, clipped twice proximally and once distally, and divided between the clips."
97.719,110.504,"A tunnel is created behind the duodenum, followed by the division of the duodenum using a 3.8 mm linear cutting stapler."
111.004,125.951,"The surgeon develops the retropancreatic space, utilizing the camera angle to enhance visualization of the retropancreatic tunnel from a caudal to cephalid perspective."
126.451,138.765,"The surgeon isolates the common bile duct using a vessel loop, carefully identifying any aberrant right hepatic arterial anomalies. The duct is then transected with a linear stapler to prevent bile spillage."
139.265,156.818,"The surgeon isolates the retropancreatic tunnel over the portal vein using moistened umbilical tape. The splenic vein is then isolated and encircled with a vessel loop, followed by the isolation and transection of the gastroepiploic vein."
157.318,172.722,"The surgeon mobilizes the pancreas from the lateral border of the superior mesenteric vein (SMV) and portal vein, working in a caudate to cephalid direction. This maneuver gradually separates the uncinate process from the adjacent vessels, with incidental venous branches being ligated during the process."
173.222,199.526,"The surgeon reflects the SMV portal vein medially, revealing the SMA posteriorly. The inferior pancreatic duodenal artery is identified and dissected, with clips placed before ligation using a ligature divider. The superior pancreatic duodenal vein is also identified, dissected, and divided using a stapler."
200.026,228.342,"The surgeon lifts the entire pancreas from the retroperitoneum, revealing its attachment by the gastroduodenal artery, splenic artery, and splenic vein. Using vascular load staplers, the splenic artery, gastroduodenal artery, and splenic vein are transected sequentially, minimizing warm ischemic time."
228.842,240.131,"The surgeon extracts the entire pancreatic specimen from the surgical field. Concurrently, islet preparation is underway, and reconstruction of the surgical site begins."
240.631,269.479,"The surgeon reinforces the inferior pancreatic duodenal artery using five O-proline sutures. Subsequently, the jejunum is brought through a defect in the right mesocolon, and an end-to-side hepaticojejunostomy is performed using a running suture technique."
269.979,290.066,"A stent is placed in the bile duct, followed by the surgeon proceeding with the anterior row of the hepaticojejunostomy."
290.566,341.526,"The surgeon performs a Hofmeister-type hand-sewn end-to-side gastrojejunostomy, creating a connection between the stomach and jejunum in two distinct layers."
342.026,388.958,"The surgeon partially excises the staple line of the splenic vein stump and inserts a fourteen gauge angiocath into the portal vein. The catheter is held motionless in a fixed position by the robotic arm, and sterile tubing is connected to the catheter."
389.458,409.973,"The surgeon infuses the islets and closes the splenic vein stump using IV-O Surgipro sutures. The vascular clamp is then removed, completing the closure of the vein."
410.473,414.498,"The surgeon applies a staple near the portal vein to reinforce the area, ensuring stability and support for the surrounding vascular structures."
