start,end,text
0.428,28.312,"The video shows the median umbilical ligament, also known as the urachus, and the medial umbilical ligament, which is the obliterated umbilical artery. The inferior epigastric vessels are visible, forming the lateral umbilical ligament, although the ligament is not well formed."
28.812,47.709,"The surgeon identifies the vas deferens on the left and the testicular vessels on the right, forming the triangle of doom. The indirect inguinal ring is visible, through which the vas deferens traverses. A small cord-like structure appears, identified as nerves within the lateral triangle of pain."
48.209,71.208,"A finger indicates the starting point for dissection near the anterior superior iliac spine. The surgeon begins with a small tattoo mark and proceeds to make a peritoneal incision, gradually extending it towards the medial side."
71.708,110.024,"The surgeon identifies the hernial defect, which is a direct hernia located medial to the inferior epigastric vessels. The peritoneal incision is made, ensuring it is at least four centimeters in length, starting from the lateral portion where the fat is abundant and the tissue planes are easier to open."
110.524,135.485,"The surgeon applies traction superior to the hernial defect, facilitating the opening of tissue planes. The dissection aided by carbon dioxide reveals cobweb spaces, guiding the entry into the correct anatomical plane."
135.985,199.644,"The surgeon applies traction to the peritoneum while carefully pushing the inferior epigastric vessels away to prevent injury and bleeding. The dissection is expanded medially, reaching the medial umbilical ligament, which marks the limit of the peritoneal incision to avoid bladder injury."
200.144,237.5,"The surgeon applies varying traction on the peritoneum to prevent buttonhole injuries, using a combination of blunt and sharp dissection to open avascular planes with the aid of carbon dioxide insufflation."
238,277.355,"The surgeon makes a small vertical incision adjacent to the medial umbilical ligament to gain access to the retropubic space. The peritoneum is carefully managed to prevent it from obstructing the field of vision. The dissection progresses medially, expanding the retropubic space comprehensively."
277.855,322.231,"The surgeon employs a combination of sharp and blunt dissection techniques above the perivascular fat and bladder, using a hook instrument to maintain a low profile. The dissection is performed at a low monopolar wattage to minimize fumes and prevent tissue adhesion to the instrument, rapidly opening avascular planes."
322.291,359.78,"The surgeon uses minimal energy with a combination of sharp and blunt dissection to carefully navigate the avascular space near the anterior edge, ensuring the bladder remains protected. The pubic symphysis and left pubic arches become visible in the surgical field."
360.28,403.484,"The surgeon continues dissection towards the lateral side, preparing to encounter the hernia sac. Small vessels are coagulated using monopolar energy. Dissection proceeds below the pubic bone for two to three centimeters to ensure proper placement of the mesh's lower border."
403.785,448.012,"The surgeon dissects close to the pubic arch in the avascular space, using the left hand to apply significant traction. The right pubic arch is well exposed, and the cupos ligament is visible in the surgical field."
