start,end,text
57.328,78.532,"Upon entering the abdomen, the surgeon observes a distended gallbladder. The common bile duct (CBD) is traced, and the fatty calloused angle is visible. Electrocautery is used with gentle bursts to manipulate the tissue."
79.032,100.028,"The surgeon begins the posterior dissection of the gallbladder, carefully releasing the peritoneum from the posterior aspect using surgical instruments."
100.528,115.846,"The surgeon uses the left hand to apply traction towards the right and lateral side, clearly delineating the cystic duct."
116.346,143.738,"The surgeon carefully performs posterior dissection, releasing adhesions with gentle bursts of electrocautery. The cystic duct and vital structures at Calot's triangle are avoided during coagulation."
144.238,218.647,"The surgeon creates a window at the cystic duct and continues the dissection upwards to delineate the cystic artery. The posterior dissection is emphasized for clear visualization of vital structures, including the cystic duct and artery."
219.147,268.42,"The cystic artery and the artery to the cystic duct are visible as the surgeon gently coagulates them. The cystic duct is milked before applying endoclips. The critical view of safety is achieved, showing the cystic duct and artery with the liver visible between them. Endoclips are applied, including the primary, secondary, and sentinel clips, followed by cutting between the clips."
268.92,290.624,"The surgeon coagulates the cystic artery, an end artery, using a bipolar energy source, ensuring safe hemostasis before applying clips."
291.124,353.51,"The surgeon removes the gallbladder from the liver bed using a hook, applying traction and counter traction to find the avascular plane. Careful dissection avoids deep penetration into the liver bed, minimizing bleeding."
354.01,399.818,"The surgeon maneuvers the gallbladder back and forth, gently repositioning the instruments to cut along an avascular plane, minimizing the risk of burning the liver or causing bleeding."
400.318,431.617,"The surgeon removes the gallbladder specimen through the epigastric tenement port, ensuring hemostasis is achieved in the surgical field."
432.117,451.664,"The surgeon performs a local wash using saline at the operated site, revealing minimal bleeding and a clean surgical field following the completion of the cholecystectomy."
