start,end,text
0.841,11.395,In this video we will observe a mediastinoscopy being performed to assess whether a patient has metastatic lung cancer to the lymph nodes in the aortopulmonary window.
12.056,20.447,The initial incision is made above the sternal notch and a rigid metal mediastinoscope is inserted below the sternal notch but above the trachea.
21.248,25.414,Here the surgeon is gently brushing away the connective tissue
25.968,30.955,over and above the trachea which is seen in the inferior aspect of the image.
31.916,34.3,He will test before he biopsies.
35.081,37.304,Here the lymph node is being biopsied.
37.804,47.638,He must make sure to biopsy lymph node and of course not biopsy aorta or pulmonary artery which could result in mortality to the patient.
64.013,71.804,"Here the surgeon is inserting his finger above the trachea into the pretracheal space, but below the tracheal fascia."
72.825,77.271,He will use this space to insert the mediastinoscope and obtain biopsies.
78.922,89.118,"This procedure is done to assess lymph nodes for metastatic disease, sarcoidosis, or even lymphoma, and sometimes benign processes."
90.059,99.173,Here the mediastinoscope is being inserted into the pretracheal space and is being maneuvered by the surgeon to open and widen the space.
99.934,106.785,The surgeon will then introduce biopsy forceps to take a biopsy of any lymph nodes.
107.744,112.291,The pulsatile nature of the aorta can be seen in this video.
115.936,119.682,Here the arch of the aorta is readily seen pulsating.
125.391,132.081,"The surgeon now inserts suction, continues to dissect"
133.799,144.247,into the pre-tracheal space before he is able to localize and clearly delineate lymph node and lymphatic tissue from the vascular structures.
144.908,148.618,The dark area is lymph node tissue which he will biopsy.
156.8,163.312,Any specimens obtained will be removed and sent to the pathologist for frozen and final sections.
164.073,173.29,"Here the lymph node can be seen, the biopsy is obtained, any bleeding can be tamponaded or controlled by using gauze."
180.67,184.177,The image that you are seeing on the screen is not magnified.
