start,end,text
22.966,27.407,"The surgeon performs the operation transumbilically using a multi-trocar single port, providing access for laparoscopic instruments through the umbilical incision."
27.687,36.309,"The insufflation port is removed, and an additional trocar is inserted, allowing the placement of a grasper into the surgical field."
36.809,41.571,"The surgeon uses an ultrasonic dissector to open the gastropathic omentum in a stellate pattern, creating visible incisions radiating from a central point."
41.591,51.13,"The surgeon continues dissection along the right crus, using a grasper inserted through an additional trocar to enhance retraction and exposure of the surgical field."
51.63,66.418,"The surgeon rolls the stomach to the patient's right side and continues dissection down the left crus, extending into the mediastinum to fully reduce the hiatal hernia."
66.918,78.236,"The surgeon reduces eight centimeters of the esophagus into the peritoneal cavity. The short gastric vessels are dissected to fully mobilize the posterior fundus, enhancing the visibility and accessibility of the surgical site."
78.736,89.681,"The surgeon mobilizes the esophagus circumferentially at the esophageal hiatus, ensuring complete exposure of the esophageal structure within the surgical field."
90.181,111.264,"The surgeon constructs a posterior cruroplasty using O polyester suture on a ski needle, with an additional grasper retracting the esophagus above and away from the hiatus to facilitate the reconstruction."
111.764,134.517,"The surgeon removes the insufflation port and places an additional trocar at the umbilical port, enabling two-handed operation to facilitate the placement of the fundoplication."
135.017,146.966,"The surgeon ties knots extracorporeally and uses a conical knot pusher to slide them into position, closing the hiatus snugly around the esophagus without excessive tightness."
147.466,169.636,"The surgeon demonstrates the mobilized esophagus, which has been reduced into the peritoneal cavity, ensuring eight centimeters of length. During the dissection and reconstruction, careful attention is given to avoid injury to the vagal nerves."
170.136,178.344,"After reconstructing the hiatus, the surgeon brings the posterior fundus behind the esophagus. A large bougie is inserted orally into the stomach to assist in the procedure."
178.844,208.875,"With the bougie in place, the surgeon begins the reconstruction by bringing the anterior fundus to the esophagus, positioning it well above the gastroesophageal junction, and then connecting it to the posterior fundus. Knots are tied extracorporeally and slid into position using a knot pusher."
209.375,263.781,"The surgeon excises the gastroesophageal fat pad and hernia sac, reducing bulk in the area. A grasper is used to pull on any remaining fat around the gastroesophageal junction and stomach to minimize bulk in the wrap. Knots are tied extracorporeally to secure the fundoplication, ensuring minimal bulk to prevent postoperative dysphagia."
264.281,276.531,"The surgeon places initial sutures that incorporate the anterior fundus, esophagus, and posterior fundus. As the suturing progresses towards the gastroesophageal junction, only the anterior and posterior fundus are included in the fundoplication wrap."
277.031,294.522,"The surgeon positions the fundoplication cephalad to the gastroesophageal junction, ensuring the wrap is placed above this junction to reduce the risk of postoperative dysphagia."
356.629,417.99,"The surgeon secures the posterior fundus to the esophagus and the right crus, ensuring the fundoplication is positioned without tension or twisting. The wrap is observed to lie ventrally along its suture line, with no bands of tightness or twisting of the esophagus or stomach. Endoscopic examination confirms the proper location of the wrap."
418.49,435.936,"The surgeon measures the fundoplication wrap to ensure it is approximately five centimeters in length and positioned above the gastroesophageal junction. Gentle tapping reveals the gastric folds, confirming the wrap's placement above the junction."
