start,end,text
0.071,20.84,"Describe a case of left laparoscopic adenectomy in a forty-year-old lady whose hypothyroid came with weak abdominal pain which was generalized in nature. Her ultrasound was normal, so she was asked for a CT scan in view of her persistent pain, which showed a lesion in the left adrenal which was heterogeneous and cystic in nature, suggestive of an adrenal adenoma."
21.34,38.652,"Her further lab investigations were performed, which showed that her thyroid function tests were normal, her ACTH and basal cortisol levels were normal, and the rest of her investigations were normal, suggestive that this was a non-secretory adrenal tumor. With this plan in mind, we had planned for laparoscopic left adrenalectomy."
39.152,58.5,"The CT scan image shows a clearly demarcated left adrenal adenoma. As the scan progresses downwards, the upper pole of the kidney and normal renal vasculature are visible."
64.283,95.85,"The patient is positioned in the left lateral position for a laparoscopic left adrenalectomy. The surgical setup includes four ports: two 5mm ports, a 10mm port, and a 12mm port, which are used interchangeably for optimal visualization. The initial optical entry is shown, followed by the placement of an additional right 5mm port and a left 5mm port. An additional 5mm port is placed in the lower quadrant to assist in mobilizing the spleen and stomach."
96.27,166.285,"The surgeon uses a harmonic scalpel to mobilize the splenic flexure, carefully dissecting to lower the colon and prevent injury. The spleen and pancreas are gradually moved to the right, exposing the left adrenal gland. A gauze piece aids in reflecting the spleen, and further dissection reveals the upper pole of the spleen and the stomach fundus, ensuring no injury during gland manipulation."
166.785,194.533,"The surgeon exposes the left adrenal gland, identifying the inferior phrenic vein and following it to locate the left adrenal vein. Using sharp and blunt dissection techniques, the left adrenal vein is dissected and clips are applied before dividing the vein."
195.033,218.595,"The surgeon clips and cuts additional blood vessels supplying the left adrenal gland, leaving the inferior phrenic vein as the only intact blood supply. The adrenal gland is gradually mobilized from inferior and lateral aspects using a harmonic scalpel, separating it completely from the retroperitoneum."
219.095,250.549,"The surgeon separates an additional arterial twig using a harmonic scalpel, ensuring no blood loss during the procedure. The adrenal gland is further dissected in all directions, gradually disconnecting from the lower and lateral aspects. It remains attached only by the inferior phrenic vein, which is clipped to complete the disconnection."
251.049,258.834,"The surgeon completes the dissection and removal of the left adrenal gland, which is now fully mobilized and freed from all surrounding tissues."
259.334,279.727,"The surgeon places the removed adrenal gland specimens into an endogenous plastic bag, extracting them through a twelve millimeter port using a gallbladder extractor. The surgical bed appears clear and hemostatic. The spleen is repositioned to prevent torsion injuries, ensuring it is securely placed back in its anatomical position."
280.227,299.82,"The specimen of the left adrenal gland is removed through the twelve millimeter port, with no drain placed post-operatively. The specimen is visible in the surgical field."
300.32,308.475,"And that is the surgical team which helped me through my procedure. This was performed at the Department of General Surgery, KM Hospital, Mumbai. Thank you very much."
