start,end,text
3.047,38.307,robotic right flank and midline incisional hernia repair. This is a twenty nine year old female who developed a large right flank hernia from a kidney transplant. She also had a history of a lap splenectomy which led to the development of a small epigastric incisional hernia. She was referred to me for progressive enlargement and discomfort of her right flank hernia. So I set her up for a robotic repair possible open.
38.807,57.054,"The laparoscopic view shows the optical trocar inserted in the left upper quadrant, with visible markers indicating previous incision sites. The patient is positioned slightly right side up, and the robotic system is docked over the lateral abdomen."
57.554,67.449,"The surgeon successfully reduces the bowel content, revealing the outline of the patient's kidney graft within the surgical field."
67.949,87.158,"The surgeon performs lysis of adhesions, revealing the small epigastric incisional hernia. The table is adjusted to tilt the patient more right side up, causing the colon to visibly drop down and move out of the surgical field."
87.658,101.388,"So logistically, it was somewhat difficult to decide my approach here. My first target obviously was to fix her flank hernia. This is what caused her the most discomfort. So I started off with a pre-peritoneal approach."
101.888,130.658,"The surgeon, alongside the chief resident, performs a preperitoneal dissection. The video shows the surgeon navigating between the true preperitoneal space and the pre-transversalis space, with visible transitions between the anterior and posterior layers of the transversalis fascia. The peritoneum appears thin as the dissection progresses laterally."
131.158,160.943,"The surgeon exposes the naked muscle belly above the anterior transversalis fascia, attempting to dissect and delineate the hernia sac. The dissection alternates between the pre-transversalis space and the true preperitoneal space, with the thin peritoneum visible. The pseudosac is also visible in the surgical field."
161.443,183.191,"The surgeon places an assistant trocar to provide stable retraction of the hernia sac, facilitating entry into a clear surgical plane for further dissection."
183.691,207.667,"I often times review and see videos of people trying to reduce sacs and what they don't realize, they say, oh, it won't reduce, it won't reduce. Most of the time it's because you're dissecting the wrong plane. Here, given the attenuated peritoneum, I was somewhat forced to stay pre-transversalis in this area so as to"
208.167,228.082,"The surgeon attempts to reduce the hernia sac by dissecting the posterior transversalis fascia, aiming to regain access to the true preperitoneal space. The dissection reveals muscle tissue, prompting the surgeon to identify the correct plane, noting the presence of fat as a favorable indicator."
228.582,242.41,"The surgeon identifies the transversus abdominis muscle located directly above the scissors, using robotic assistance to navigate the surgical field."
242.69,268.702,"The surgeon dissects laterally and then medially along the lateral abdominal wall, identifying the transversus abdominis muscle. The retroperitoneal fat is visible, appearing soft and not scarred, as the surgeon assesses the spatial relationship to the kidney graft."
269.202,298.659,"The surgeon navigates along the lateral border of the surgical field, working laterally and then medially under the transversus abdominis muscle. The dissection progresses towards the lower border of the kidney graft, approaching the myopectineal orifice, revealing a clear anatomical plane."
299.159,314.875,"The surgeon carefully navigates around the kidney graft, avoiding injury while dissecting through scarred tissue. As the last piece of scarred tissue is removed, the kidney graft becomes more visible."
315.375,336.36,"The surgeon navigates through the preperitoneal space, with the transversus abdominis visible on the abdominal wall. The kidney graft is positioned past the transversus abdominis, and the dissection extends laterally and posteriorly towards the psoas muscle, away from the hernia defect."
336.621,369.624,"The surgeon points to the psoas muscle and identifies the iliohypogastric nerve. A large preperitoneal space is visible around the defect. The surgeon uses a number 1 V-lock suture to sequentially close the dome of the defect, effectively obliterating the dead space."
370.124,394.44,The surgeon observes the closed defect and measures the area of dissection to select an appropriately sized mesh. An 18 by 18 cm barred heavyweight mesh is chosen for placement.
394.94,408.967,The surgeon upsizes the left upper quadrant 8mm trocar to facilitate the placement of mesh into the preperitoneal space. The mesh is then secured using cardinal tacks and sutures.
408.987,432.373,"The surgeon addresses a small midline epigastric incisional hernia by taking down part of the falciform ligament to ensure mesh coverage. The defect is primarily closed using a running OV lock suture, preparing for an intraperitoneal onlay mesh (IPOM) placement."
432.873,466.188,The surgeon closes the peritoneal flap and secures the mesh while closing the lower margin of the epigastric defect. A 3-0 V-lock suture is used to re-peritonealize the mesh in a canal-like fashion. The resident buries the exposed long V-lock suture.
466.688,489.904,A 13 by 15 centimeter sheet of Ventralite ST mesh is placed and circumferentially sutured with a number one running V-Lock suture. The surgeon resects the large hernia sac and closes the defect using a purse-string suture technique with a V-Lock suture.
