start,end,text
0.152,23.784,"I would like to thank the committee for allowing us to present our concurrent robotic APR and prostatectomy. This is a sixty-one-year-old man who presented with three weeks of rectal bleeding, anemia, and perianal pain. He had a medical history significant for prostate cancer. This was diagnosed four years ago, and at the time, prostatectomy and radiation were recommended. However, the patient chose holistic therapy."
24.284,40.618,"The video shows the port placement for the robotic ampullectomy procedure, with ports strategically positioned for optimal access to the rectal tumor starting at the dentate line."
41.118,48.682,"The surgical field displays black dashes indicating the placement of eight millimeter robotic ports, alongside a red dash marking the location of a laparoscopic assist port."
49.182,63.207,"The surgeon identifies the ureters bilaterally, visually confirming their location and ensuring they are preserved during the procedure."
63.707,110.009,"The surgeon uses a Ligasure device to dissect the mesorectum and ligate the lateral stalks. The dissection is performed on the right side, taking the mesorectum down to the level of the levators. The peritoneum overlying the right lateral mesorectum is incised, and the presacral space is entered."
110.509,164.121,"The surgeon identifies the ureter on the right side and begins dissecting the mesentery to locate the inferior mesenteric artery (IMA). The mesentery surrounding the IMA is thinned using electrocautery and ligasure, followed by stapling across the IMA with an endogia stapler vascular load."
164.621,181.102,"The surgeon continues the dissection of the redundant colon, focusing on the descending colon that has been mobilized along the white line of Toldt. The mesentery is further dissected, preparing a segment of the colon for division using a stapler. Following the completion of the prostatectomy, the bowel is transected laparoscopically."
181.602,194.473,"The surgical team performs the remainder of the abdominoperineal resection (APR) from the perineum with the patient in the prone jackknife position, transitioning focus from the bowel to the prostatectomy portion of the operation."
194.973,222.936,"The surgeon begins the prostatectomy by dissecting the vas deferens and seminal vesicles, developing the preperitoneal space. A right indirect inguinal hernia is visible in the patient."
223.436,242.09,"The surgeon continues the dissection through the space of Retzius, dividing the dorsal venous complex using a surgical stapler."
242.59,272.335,"The surgeon transects the neck of the bladder using electrocautery. The Foley catheter is passed through the prosthetic urethra and used to retract the prostate anteriorly, allowing the dissection to proceed towards the posterior aspect of the prostate."
272.835,314.257,"The surgeon continues the dissection posteriorly, dividing the posterior prostatic fascia to expose the seminal vesicles, vas deferens, and lateral prostatic pedicles. The lateral pedicles are ligated using the Ligasure device. The prostate is dissected free from the remaining periprosthetic fascia, while the neurovascular bundle is preserved laterally."
314.757,334.719,"The surgeon pulls back the Foley catheter and transects the urethra distal to the prostate, marking the conclusion of the prostatectomy portion of the operation."
335.219,349.849,"The surgeon places the excised prostate into an EndoCatch bag and positions it behind the rectum, clearing the surgical field to begin the urethra-vesicle anastomosis."
350.349,405.649,"The surgeon begins the urethra vesicle anastomosis posteriorly, intermittently inserting and withdrawing the Foley catheter to identify the urethral lumen and ensure the mucosa is included in each full-thickness suture bite. The anastomosis is completed, and the suture is secured with a locking suture clip."
406.149,421.433,"As previously mentioned, the bowel is divided laparoscopically and the remainder of the APR takes place from the perineum. The prostate is taken out through the perineal wound. The ostomy is matured through a left lower quadrant site previously marked by the ostomy nurse. The patient is pictured laying on his right side. The patient had an unremarkable post-operative course. He was seen in clinic two weeks following discharge doing well."
432.331,443.426,"His pathology revealed T-III disease of both the prostate and rectum. There were sixteen nodes harvested, one of which was positive for prostate adenocarcinoma."
