start,end,text
13.126,25.584,This video depicts a 38-year-old male with a four-month history of cough and a workup which identified an obstructing left mucoepidermoid carcinoma at the left tracheobronchial angle.
26.645,31.652,"You can see on bronchoscopy this was submucosal and near obstructing, the carina appeared to be spared."
31.933,36.179,It certainly involved the distal trachea.
36.399,40.585,The right main stem was free of tumor.
41.273,47.04,The patient underwent a mediastinoscopy to free the left recurrent laryngeal nerve from the left tracheobronchial angle.
52.226,58.774,We approached the patient through a right posterior lateral thoracotomy where the right lung was isolated.
60.096,62.619,We dissected the distal trachea and right main stem.
63.78,66.083,A vagal branch was looped and preserved.
69.168,75.195,Umbilical tapes were placed around the distal trachea and subsequently around the left and right main stem.
78.338,84.065,"There was no tumor infiltration of the local tissue, and we minimized dissection to preserve the vascular supply."
86.648,93.556,"Using intraoperative bronchoscopy, we identified an area where the airway could be first transected."
95.418,97.42,"Again, this did not involve the carina."
100.69,104.515,We ventilated via the left main stem for most of this case.
106.737,109.761,Here you could see the right main stem being separated from the carina.
114.767,120.293,We then identified an area of the distal trachea to begin our transection.
124.679,126.681,There was minimal involvement of the distal trachea.
128.568,135.857,"After removing two rings of the distal trachea and part of the left main stem, the transected ends can be seen here."
137.518,142.604,"We then prepared the field for anastomosis, continuing to ventilate via the left main stem."
143.966,154.238,We performed a two-stage anastomotic technique where we placed knots on the inside and tied down posteriorly with four ovicle suture.
154.218,166.236,as seen here and then the anterior the part anastomosis was done with interrupted technique with knots on the outside this facilitated the anastomosis and reduced tension
171.65,180.982,There were stay chute sutures placed which encompassed two rings of the cartilage on either side using two ovicle suture.
181.643,187.211,These were tied down prior to completing the anterior part of this anastomosis to reduce tension.
189.614,192.578,The anastomosis is seen completed.
195.173,201.26,and it was subsequently tested for air leak submerged under saline.
203.003,206.407,This graphic representation depicts the reconstruction.
206.727,212.114,We mobilized a pleural flap posteriorly based to cover the anastomosis.
213.315,217.24,Here you can see the leak test and the lung being inflated in the background.
218.121,220.624,There was no identification of an air leak.
224.688,233.241,We then completed the buttressing of the anastomosis with the pleural flap.
234.122,240.352,Then the cross-field ventilation was removed and the left main stem stump was over-sewn.
240.412,247.463,The over-sewn left main stem stump can be seen here.
248.084,253.632,We then proceeded to a muscle sparing left thoracotomy for standard left pneumonectomy.
256.278,261.868,"The immanectomy was performed using a technique of vascular isolation, division, and then removing the bronchus."
265.896,274.351,"After transection of the vascular structures, the left main stem bronchus was isolated along with some subcarinal lymph nodes, which were subsequently found to be negative."
275.212,276.615,The specimen was then removed.
278.418,279.679,and examined on the table.
280.801,282.883,Oversown left main stem stump can be seen.
283.844,289.35,We then prepared the left pneumonectomy cavity for closure in a standard fashion.
292.494,297.88,Here the muscles were spared and the incision was subsequently closed.
