start,end,text
0.351,9.474,"In this video, we demonstrate single incision laparoscopic clockwise continuous total abdominal colectomy with end ileostomy for ulcerative colitis."
9.974,16.657,The patient is a sixty-eight year old man with medically refractory ulcerative colitis for several years.
17.157,25.3,"Colonoscopy revealed inflammation from the anus to the splenic flexure, secondary to left-sided colitis and dysplasia in the distal sigmoid."
25.8,30.256,This surgery is the first of three stage pouch surgeries.
30.756,36.902,"A three-centimeter incision is made in the right lower quadrant, and a disc-shaped section of skin is excised."
37.402,45.71,The surgeon enters the abdomen through a muscle-splitting incision and establishes pneumoperitoneum using a single port gel point system.
46.21,51.595,"The surgeon performs a thorough inspection of the small bowel, visually assessing the tissue for any abnormalities or complications."
52.095,68.717,"The surgeon identifies the right colon from the iliocolic pedicle and proceeds to divide the pedicle, separating it from the surrounding tissue."
69.217,77.723,"Following the division of the iliacolic pedicle, the surgeon performs medial to lateral separation of the right colon, progressing in a cephalad direction towards the transverse colon."
78.223,82.186,"The surgeon dissects and releases the lateral attachments of the colon, separating it from the surrounding tissue."
82.686,86.509,"The surgeon mobilizes the hepatic flexure and terminal ileum, separating these sections of the colon from surrounding tissues."
87.009,93.129,"The surgeon dissects the omentum from the transverse colon, followed by the division of the middle colic vessels, visibly separating these structures."
93.629,115.718,"The surgeon identifies and preserves the duodenum while taking down the splenic flexure, continuing dissection down to the left colon."
116.218,126.112,The surgeon completes the mobilization of the rectosigmoid colon and uses a surgical stapler to transect the colon at the rectosigmoid junction in the distal sigmoid area.
126.612,133.485,"The surgeon observes the well-vascularized area of the colon left in the pelvis, noting the intact blood supply to the tissue."
133.985,145.474,"The surgeon exteriorizes the stapled specimen from the right lower quadrant stoma site, then narrows the area using zero polysorb sutures."
145.974,149.599,"The surgeon matures the stoma in place, completing the formation of the stoma at the surgical site."
150.099,158.943,"The resected terminal ileum and colon are displayed, showing severe inflammation in the colon, particularly on the left side extending to the hepatic flexure."
159.443,169.838,"In summary, we performed single incision laparoscopic clockwise continuous total abdominal colectomy with an ileostomy for ulcerative colitis as shown."
170.338,183.364,"While single incisional laparoscopic surgery requires more skills than conventional laparoscopic surgery, the technique lowers sports site-related complications and incisional hernias."
183.864,190.927,"The technique has the advantages of improved cosmesis, post-operative pain, recovery time, and quality of life."
