start,end,text
35.251,52.549,"So she came to surgery, and at that time a preoperative bronchoscopy revealed the patency of the right middle lobe bronchus, but there was clearly a residual tumor present at the origin of the B6 bronchus"
58.722,68.439,So dissection began by retraction of the lung posteriorly and then completion of the fissure between the middle and lower lobes.
69.681,72.045,We're using a bipolar dissector here.
73.047,79.718,"And you can see the basilar branch of the pulmonary artery there, the middle lobes being retracted towards the top of the screen."
90.245,94.91,So this fissure will now be divided with a linear stapler.
98.434,106.102,We're using a 30 millimeter robotic stapler that has a ski tip at the end of it.
106.843,114.852,"Very, very helpful for sort of deflecting tissue away from the jaws to allow for safe passage of the stapler."
135.807,142.114,"So with the fissure divided, nodal tissue then is resected away from the right middle lobe bronchus."
142.194,144.957,This is the 11RI node.
146.819,152.946,"And then dissection continues, this time on the posterior aspect of the lung."
152.966,154.688,The lung is being retracted anteriorly.
154.908,156.75,You can see the right upper lobe bronchus there.
157.551,159.413,Now we're removing the sump node.
163.297,165.78,"This is from the anterior aspect, dissecting"
166.537,178.47,"the posterior bleak fissure, which is then divided with a robotic control stapler with a blue load cartridge."
196.574,215.213,"So though we had initially contemplated possibly just performing a segmental resection, it really wasn't feasible to be able to expose enough of the bronchus to be able to do a reanastomosis with the right lower lobe pulmonary artery present."
215.273,219.537,So ultimately we decided to sacrifice the lower lobe.
220.358,226.024,So the artery is being divided with a vascular load to the stapler.
250.169,257.175,And then the inferior pulmonary vein is then dissected free of tissue and similarly divided.
288.965,294.092,So now the bronchus to the lower lobe is being further dissected.
295.795,305.289,Interoperative bronchoscopy now is performed so that we can have an assessment of the exact location of the residual tumor.
312.579,315.023,We divided the lower lobe bronchus.
317.534,322.522,to preserve as much of the middle lobe bronchus as possible.
326.748,330.113,We're then going to extend this incision proximally.
339.608,341.05,So these are the basilar bronchi.
341.11,345.617,The superior segmental bronchus is to the left of the picture there.
358.523,364.351,So now we're dividing the bronchus intermedius above the level of the tumor.
368.336,373.503,"And you can see a little bit of the residual tumor there, the origin of the B6 bronchus."
374.965,382.455,"So we'd originally considered potentially just performing a sort of a wedge resection, leaving the"
384.224,389.234,bronchus between the bronchus intermedius and the middle lobe bronchus intact.
390.596,400.495,But we felt that by doing so it would potentially compromise the the orifice of the right middle lobe bronchus.
403.748,407.603,And so we're going to perform a primary end-to-end anastomosis.
408.507,414.771,So excess tissue is now excised away from the middle lobe bronchus.
428.504,436.474,Now this will be closed with running for a PDS switcher.
436.534,440.479,The first stitch that is placed will be a stay switcher.
446.306,453.955,This is where the dexterity of the robot really shows its value.
462.743,472.275,So that stay suture is being held by an assistant with a needle driver placed through a 5mm assist port.
473.196,482.929,And then we're going to perform a running anastomosis with 4-0 PDS.
484.394,500.361,So the first stitch is placed and then that knot will be tied on the outside of the bronchus and then the stitch then brought back in through the bronchus and the posterior layer completed in a running fashion.
506.956,524.997,"This is one of the harder things with the robot is because there's no tactile feedback, knowing when to put enough tension on the suture and when you're applying too much tension can be difficult."
528.101,530.584,"The finer the suture, the easier of course it is to break."
537.145,543.865,"In addition, maintaining tension on the suture that you've already placed can also be somewhat tricky."
583.67,603.012,"So at this point, the system now is going to keep tension on the suture that was used for the posterior layer, and a second suture is placed and then tied external to the bronchus."
639.813,649.688,And then that suture is brought back in and the anterior layer of the anastomosis is performed in a continuous fashion.
672.922,674.985,So this shows an important part.
675.085,683.819,"As you bring the ends of the divided bronchi together, you really want that suture to be placed under very little tension."
683.999,698.322,And so we readjusted our grip on the middle lobe to bring it closer to the bronchus intermedius and take some of the tension off of it.
708.578,713.505,So the middle lobe is nicely invaginated into the bronx intermedius.
714.586,718.892,"Again, trying to just maintain adequate tension on the sutures."
722.377,725.842,And then the two sutures are tied.
725.862,735.615,The anastomosis is irrigated with saline using a small tracheal suction catheter.
737.182,745.254,"And the middle lobe inflates nicely, and there does not appear to be any significant air leak, at least not from the bronchus."
752.465,763.341,"So in this case, I harvested a pericardial fat pad, which is very, very easy to do robotically, basing it on the superior pedicle."
765.987,774.799,And we use this just to place in between the bronchus and the vessels.
822.248,831.88,So the pericardial fat pad is brought underneath the bronchus and then wrapped fully around it.
837.167,838.709,And then that's sutured into position.
840.792,851.445,"The lower lobe is then taken out by slightly enlarging the anterior port site, which is the 12 millimeter port site, using a specimen retrieval bag."
861.28,862.442,The lung inflates nicely.
863.865,864.746,Chest tube is placed.
875.144,880.133,And a fibro-optic bronchoscopy at the completion of the procedure shows patency of the middle lobe.
