start,end,text
14.587,39.756,"The surgeon excises the falciform ligament to create space, then enters the lesser sac to identify the inferior and superior surfaces of the pancreas during a laparoscopic Whipple procedure."
40.256,89.704,The surgeon identifies the gastrocolic trunk and its insertion into the superior mesenteric vein. The laparoscopic view reveals the tunnel of the portal vein posterior to the pancreatic neck. The gastrocolic trunk is clipped and divided using the Thunderbeat device.
90.204,135.901,"The surgeon addresses bleeding caused by a misplaced clip using the Thunderbeat device, which is also employed to transect the vessel. The tunnel is further opened, enhancing visibility for assessing resectability. The pars flaccida is opened posterior to the stomach, distal to the pylorus, revealing the duodenum. The right gastric vessels are incorporated into the procedure."
136.401,158.945,"The video shows a clean staple line with the pancreas visible posteriorly, indicating the preservation attempt of the pylorus and proximal duodenum, which appear dusky."
159.445,199.895,"The surgeon inserts the Nathanson liver retractor and begins dissection superior to the pancreas. The hepatic artery is visible, dissected from the superior edge of the pancreas. The gastroduodenal artery is isolated, and its occlusion confirms a good pulse up into the liver, indicating successful isolation."
200.395,235.791,"The surgeon ties and clips the gastroduodenal artery (GDA) to prevent a pseudoaneurysm, using the ThunderBeat device to perform a triple ligation. The pancreatic neck tunnel is prepared for completion."
236.291,284.171,"The surgeon visualizes the pancreatic neck tunnel, with a grasper positioned across it. The Coker maneuver is initiated, starting inferior to the mesentery, further mobilizing the duodenum. The inferior vena cava (IVC) becomes visible, indicating the safest area for dissection is directly on the IVC."
284.671,323.27,"The surgeon inserts the camera through the right flank using additional accessory ports, providing clear visualization of the duodenum posteriorly. The left renal vein is visible as it inserts into the inferior vena cava (IVC), with the superior mesenteric artery (SMA) takeoff appearing above it. The pulse is visibly transmitting through the vein, and despite the trocar being positioned far away, the tissues are being mobilized effectively."
323.77,351.512,"The surgeon opens the ligament of Treitz and uses cautery to take down its attachments, creating a visible window to the left side of the mesentery. A suitable place is identified to divide the small bowel, and a window is made through the mesentery. From the patient's right side, the surgeon staples across the bowel."
352.012,393.082,"The surgeon mobilizes the mesentery of the small bowel further to isolate the uncinate process. The superior mesenteric vein is visible extending towards the pancreatic neck tunnel. Branches of the mesentery and uncinate process are addressed. The pancreatic neck is transected using the Thunderbeat, achieving excellent hemostasis."
393.582,452.525,"The surgeon mobilizes the uncinate process, with visible oozy bleeding from the superior mesenteric vein and portal vein side branches. The surgical field provides excellent visualization of the blood vessels and strandy soft tissues. The superior mesenteric artery is visible, pulsing, with small branches off the vein and artery that are clipped or taken using the ThunderBeat device."
453.025,503.968,"The surgeon addresses minor bleeding using the Thunder Beat device and continues the dissection. The superior mesenteric artery (SMA) is visible, and residual attachments are removed primarily with the Thunder Beat, using clips as needed. The vascular groove is peeled away, leaving only lymphatic attachments to the right branch of the hepatic artery. The bile duct is isolated, and the gallbladder remains attached at the confluence with the common hepatic duct, ready for mobilization and removal."
504.468,555.254,"The surgeon laterally retracts the cystic duct and isolates the common bile duct, which is then sharply divided just distal to the cystic duct insertion. The common bile duct, approximately five millimeters in diameter, appears well-vascularized. Touch cautery is applied for hemostasis, and the duct is assessed for anastomosis suitability. The surgeon re-enters through the lateral port."
555.754,591.461,"In a lateral view, the surgeon positions the bowel through the retro mesenteric window, ensuring it is oriented without twists. The pancreas is examined for the pancreatic duct, but it is not immediately visible. The surgeon uses scissors to sharply cut the transected end of the pancreas in an attempt to locate the duct."
591.961,669.157,"The surgeon mobilizes the pancreas further in preparation for a pancreaticogastrostomy through an extraction incision. The bowel is carefully oriented and opened using the Thunder Beat. A corner stay suture is placed full thickness with a knot on the outside, held by the assistant. An IV-O polysorb suture is used to run a closure of the back wall, which is tied down and run towards the surgeon."
669.657,784.443,"The surgeon carefully ensures the bile duct is not completely closed during the anastomosis. The running suture is brought back through the bile duct side and closure is run toward the previous corner stitch. Clean white gauze sponges are used to check for biliary leaks, showing no evidence of leakage. The hepatico-jejunostomy appears sound, and a Jackson-Pratt drain is positioned. The Nathanson retractor is released."
