start,end,text
138.14,195.545,"The surgeon positions secondary ports in the mid-clavicular line, horizontally aligned with the umbilicus. A small incision is made in the umbilicus to insert a 5mm and a 12mm port, ensuring proper alignment and avoiding interference between instruments. The umbilicus is opened using artery forceps, allowing access to deeper planes."
196.045,218.986,"The surgeon lifts the abdominal wall and checks with a syringe and saline, confirming the presence of air without blood or bile upon aspiration."
219.486,249.206,"The surgeon performs the plunger test, confirming entry into the peritoneal cavity as saline flows freely. The gas is then connected, with the flow rate and pressure gradually increasing, both currently at three."
321.911,356.746,"The surgeon unlocks the twelve millimeter XL port and advances through the layers, visually identifying the skin, subcutaneous tissue, anterior rectal sheath, ulterior rectal sheath, and preperitoneal fat. The pupillary sign is observed as the peritoneal cavity opens up."
357.246,374.057,"The surgeon performs a diagnostic laparoscopy, carefully inspecting the peritoneal cavity to ensure no inadvertent injuries have occurred during the procedure."
374.557,424.532,"The surgeon identifies the ileopubic tract and pubic ramus, drawing a horizontal line from the anterior superior iliac spine to the pubis. Anterior to this line, the area is divided by the inferior epigastric vessels, consisting of two veins and one artery. The surgeon notes that a medial defect to these vessels indicates a direct hernia, while an indirect hernia defect would be located elsewhere."
425.032,456.277,"The surgeon identifies the medial umbilical ligament on the posterior aspect, cautioning not to cross it during dissection to avoid bladder injury. The triangle of doom is visible, with the right-sided vas deferens turning medially."
456.317,476.757,"The surgeon identifies the testicular vessels, noting their lateral orientation. The blue structure is the right external iliac vein, positioned medially, while the white structure is the right external iliac artery, positioned laterally."
477.177,506.823,"The surgeon identifies the angle of doom formed by the vas deferens and testicular vessels. The camera is adjusted to convert this angle into the triangle of doom by reflecting the peritoneum upwards, creating a third limb of the triangle. The swath muscle is visible in the surgical field."
507.323,553.511,"The video shows the psoas muscle with the genitofemoral nerve visible on its surface. The genitofemoral nerve is seen dividing into the genital and femoral branches. As the view shifts laterally, the iliacus muscle is identified, and the lateral femoral cutaneous nerve of the thigh is noted on the iliacus muscle."
553.611,586.813,"The surgeon identifies the inferior epigastric vessels and the direct hernia defect on the contralateral side. The iliopubic tract is visible, along with the medial umbilical ligament. The vas deferens is seen on the left side, while the testicular vessels are positioned laterally, forming the angle of doom and subsequently the triangle of doom. Laterally, the angle of pain is noted. The surgeon emphasizes avoiding tacking below the level of the iliopubic tract."
587.313,623.052,"The surgeon begins by making an incision approximately two centimeters anterior and superior to the anterior superior iliac spine. As the incision is made, carbon dioxide insufflation creates space within the surgical field, eliminating the need for manual dissection with scissors. The peritoneum, visible as a single-cell thick layer, is exposed."
623.552,668.988,"The surgeon performs a trans-abdominal pre-peritoneal hernia repair, maintaining close proximity to the peritoneum while ascending towards the medial umbilical ligament. Various instruments such as monopolar, scissors, or harmonic may be used to ensure the dissection remains snug with the peritoneum."
