start,end,text
23.943,29.651,He had two metastases in the lingular segment and one peripheral in the lower lobe.
30.613,33.176,You can see the bigger metastases in the lingular segment.
34.178,40.727,"The lung wasn't initially completely deflated yet enough to start operation, to start dissecting."
41.589,53.646,The fissure was not very bad yet in order to reach the lingular branch of the pulmonary artery some dissection would have been mandatory.
53.626,55.792,I am dissecting both lung veins.
56.976,64.699,When coming out from lingula segment is easily detectable a circuit
67.683,83.903,"Although stapling lingula vein might be challenging due to the unfavorable angle to incision, this tiny stapler, bendable up to 80°, make it easier."
86.988,91.616,I'm dissecting now position 11 leaf node in the low bar bifurcation.
92.698,100.933,"After removing it, there is enough space to encircle Lingula bronchus."
101.594,104.119,You can see it right in front of you.
104.099,111.207,Lingula bronchus was clamped and after bronchoscopic conformation divided.
111.227,118.414,I often waive lung inflation test for demarcation of the segment line by emphysematic lung.
119.576,123.72,New deflation could be time consuming and incomplete.
124.361,127.264,You can see pulmonary artery branching.
127.764,131.288,A few adhesions to be solved before encircling.
134.98,162.861,removing another interloper lymph node I'm encircling first lingula branch of course alternatively one can complete the fissure up to that point obtaining actually better angle for stapling of this artery this technique could be very useful in case of fused thick fissure now
163.938,166.101,I'm recircling the second branch.
169.675,179.952,"The advantage of those tiny staplers is not only their thickness, but also the possibility to be painted up to 80 degrees."
181.355,190.53,"Alternatively, you can put a clip there and hope not to slide off."
190.55,195.919,I am completing the fissure now under the clear view.
197.468,210.921,I'm using purple 60 stapler I need actually two of 60 stapler to complete this fissure
213.82,227.762,Now you can see almost clear demarcation line between upper three segments and lingual segment which facilitates placing of the first stapler.
230.138,245.745,I'm not being concerned if my resection line is slightly away from the actual segment borderline as long as the remaining bronchovascular structures stay intact and the distance from the tumor is sufficient.
248.05,254.02,Second stapler was placed cranial to bronchovascular stumps.
262.943,265.807,under very good site.
270.092,279.745,I needed third stapler 60 mm to complete this resection.
281.367,287.095,Bird resection was then performed for the third metastasis in the lower lobe.
288.847,291.875,Post-operative course was event free.
292.637,295.967,The patient was discharged on the fourth post-operative day.
296.649,298.654,Thank you for watching this and goodbye.
