start,end,text
0.695,21.269,"The surgeon begins a medial to lateral dissection in a case of diverticulitis with a collocutaneous fistula, visible above the pubic bone. The phlegmon's adherence is used as a self-retaining retractor during the procedure."
21.769,43.041,"The surgeon dissects underneath the superior hemorrhoidal artery, carefully identifying the ureter located laterally before isolating the vessel."
43.061,107.031,"The surgeon takes the superior hemorrhoidal artery and continues the medial dissection, focusing on mobilizing the flexure while preserving the left colic artery to maintain blood supply."
107.531,148.795,"The surgeon performs lateral dissection above the phlegmon to improve mobility, aiming to reach the previously dissected medial plane. The dissection progresses towards the adherence of the phlegmon, with the sigmoid colon positioned for better maneuverability."
149.295,165.5,"The surgeon uses Firefly imaging to visualize the ureters, facilitating precise dissection on the left side towards the adherence of the phlegmon. The dissection progresses as the surgeon begins to address the phlegmon directly."
166,194.157,"The surgeon approaches the midline, attempting to access the abscess cavity directly, with the expectation that the tissue will separate easily. The dense, concrete-like nature of the phlegmon presents a challenge."
194.657,243.509,"The surgeon uses a left-handed dissection technique with a suction device to clear blood and smoke while acting as a retractor and blunt dissector. The laparoscopic view shows entry into the abscess cavity, revealing the IR drain. The tensile strength of laparoscopic instruments is noted to be less than robotic instruments, impacting the torque on the surgeon's hands and arms."
244.009,266.28,"The surgeon uses robotic instruments to separate the abscess cavity from the anterior abdominal wall, carefully maneuvering around the cavity to achieve separation."
266.78,358.114,"The surgeon observes the epithelialized cavity with mucosa, indicating a giant diverticulum rather than a recent acute perforation. The mucosal pouch is visible below the drain, which is being removed to clear the surgical field. The posterior wall of the giant diverticulum is exposed, and the surgeon attempts to dissect through it, aiming for blunt separation."
358.614,401.855,"The surgeon attempts to dissect beneath the adherence, finding the process tedious and difficult. They return to the lateral side to clean up the area and access the previously dissected medial plane. A sponge is visible in the surgical field, and the surgeon aims to mobilize the sigmoid colon by swinging it to the patient's right, hoping to gain more mobility for further dissection in safer, known planes."
402.355,456.557,"While I was attacking it head on, I really wasn't sure if I was going into the bladder inadvertently. um and so this for right now seemed a little bit easier and safer but when it got hard and i wasn't making progress i go someplace else"
457.057,512.927,"The surgeon encounters oozing while dissecting and inadvertently enters the colon, identifying the correct plane above it. As the dissection progresses, the surgeon takes down peritoneum and preperitoneal fat, revealing the iliac and ureter. With the structure now free, the surgeon uses a ligature to sever the lateral attachments, resembling a lateral mesorectal excision."
513.427,584.07,"The surgeon has freed the entire specimen from the pelvis and lifts it out, having completed a full splenic flexure mobilization. The lateral approach is visible on the screen, with the base of the pancreas coming into view."
584.57,630.533,"The surgeon lifts the colon off the underlying structures and assesses the reach of the dissection. The margins are cleared proximally and distally, and the lesser sac is entered, revealing the anatomical space behind the stomach."
631.033,717.493,The surgeon clears the distal margin of the colon and checks the ICG Firefly fluorescence before transecting the proximal margin.
717.993,813.33,"The surgeon transects the distal margin slightly lower than the cleared mesentery using a vessel sealer. A hand-sewn single-layer anastomosis is performed, with two 3-0 silk sutures placed for stability: one on the far left side and one in the posterior midline. The suturing progresses from the far corner towards the left side, continuing over and around in the posterior row."
813.83,887.549,"The surgeon begins the second suture in the posterior midline, overlapping with the first stitch, and sews towards the right side in the posterior row. Blood from the phlegmon smears the camera, but the surgeon continues suturing. The suture progresses to the anterior, where a canal suture is performed across the top to invert the lip."
888.049,982.91,"The surgeon completes the suturing for the anastomosis and ties the sutures together, ensuring the connection looks intact. A right lower quadrant incision is made through arm port number four for specimen extraction, avoiding the damaged fan and steel area due to an abdominal wall abscess. The surgeon prepares to conduct a leak test."
983.41,1035.233,"The surgeon passes a 19mm rigid proctor through the anastomosis, confirming its wide patency. The anastomosis appears intact and well-formed. A drain is placed in the surgical field, and the surgeon inspects the area where the abscess was previously located, performing external debridement. Methylene blue is used to check the bladder for leaks."
1035.733,1071.882,The surgeon insufflates the bladder with a methylene blue saline solution to check for any bladder fistula or injury during the dissection. The bladder shows no signs of extravasation or leaking.
