start,end,text
22.289,25.992,This is the view of the left thorax after the induction chemoradiation therapy.
28.074,31.097,As you can see there are considerable adhesions particularly at the apex.
31.917,34.019,There an extra pleural dissection is performed.
35.3,40.145,Here you can see the lingula being separated from the anterior chest wall and the sternum.
41.546,46.09,It is important to use energy to reduce the troublesome oozing that impairs exposure.
46.871,50.794,Here one can see use of counter traction with a five millimeter sucker to provide
51.382,58.11,sensation of where the critical structures are and also bipolar sealer is very useful in controlling widespread surface oozing.
58.991,72.047,"An external view throughout this video will show how the instruments are inserted and multiple retractors, particularly 5mm retractors through the anterior port are quite useful to provide traction and counter traction along with other instruments such as the sucker."
72.387,78.655,Here you can see separation of the inferior pulmonary vein from the bronchus and this will be divided later to prevent
79.495,81.878,edema that may form from early division of the veins.
82.779,95.693,Now from an anterior medial view one can see the dense adhesions between the superior mediastinum and the hilum and this appears to be a dangerous dissection trying to separate the extra pericardial superior vein from the rest of the hilum.
95.753,102.961,So one can see that there is cardiac movement at the pericardium so it's safe to open this to improve exposure at this level.
104.363,108.928,Slowly drawing into the pericardium there's an efflux of pericardial fluid
113.026,125.922,and then the hole can be dilated with a blunt clamp and sharp dissection can then be used to separate the pericardium anteriorly and posteriorly to improve exposure of the superior pulmonary vein.
137.436,140.62,Now the posterior pericardial attachment to the vein is separated
145.426,163.022,"Once this pericardium has been mobilized, it's much easier to use a large right-angle Harrington mixer clamp to separate tissues from around the superior vein to allow passage of a sling loop and then use of a stapler."
163.302,169.027,This is the external view that shows the use of multiple retractors to retract the lung.
169.047,174.792,Then the retraction is switched to the axis incision to allow passage of the stapler through the former camera port.
175.227,176.189,while viewing medially.
176.79,178.172,This allows division of the vein.
182.74,194.4,"Now viewing again through the traditional inferior port, the inferior vein is circled and divided with another curve tip vascular stapler."
200.118,205.723,This view shows the close relation of the PA and the bronchus that is obscuring his view.
208.025,212.55,"To safely dissect the PA, it's useful to first get around the main stem bronchus."
213.37,221.598,"Here, one retractor is applied to the cut edge of the inferior vein to aid retraction and allow the dissection of the bronchus."
224.04,228.184,So the large right angle clamp can be dissected with this tip against the bronchus
230.797,234.161,avoiding direct dissection against the pulmonary artery at this stage.
237.865,241.969,Then a latex red rubber catheter is placed around the bronchus.
243.11,254.262,"And once passed around the bronchus, the catheter can be transposed to then encircle everything but the bronchus, which is the main pulmonary artery and the surrounding tissues."
255.944,258.627,This sling allows improvement of the visualization
259.062,263.728,and provides traction and counter traction to aid the dissection of the main PA.
266.412,276.826,Pulling out of the inferior port and placing the camera in the medial working port allows a better view of the pulmonary artery as it arises from the mediastinum.
280.431,286.74,Here ligature is used to separate the adherent mediastinal fat from the main pulmonary artery.
288.762,291.906,and allow dissection of the pulmonary artery on the medial aspect.
292.807,297.632,"Then to view posteriorly, it's useful to take one's camera and to put full articulation."
298.353,312.45,Pull up on the sling provides additional exposure and here one can see the pull out view showing the medial retraction and the multiple retractors through the axis incision to help gain this exposure.
315.553,318.617,Again the full articulation of the camera allows this
319.019,323.084,view to dissect the pulmonary artery off posteriorly.
323.244,325.808,Alternatively a higher posterior port can be placed.
327.51,332.917,Here the ligature is used to separate the pulmonary artery from the adherent vagus nerve.
338.484,347.355,Now one can see the lymphatic tissue emerging from the level 5 position and a combination of energy
347.96,372.297,and sharpened blunt dissection is used to separate the more anterior mediastinal structures and now the more posterior and as this dissection proceeds the anatomy of the main pulmonary artery becomes more defined this still photo shows the related structures
380.528,396.166,"Once these tissues are divided, and it's sometimes useful to use ink to mark the area of previous dissection so that when viewing from the anterior vantage point, it's clear where the dissection had ended."
397.107,405.396,"Now viewing from the patient's anterior side, the pulmonary becomes more defined."
405.857,410.502,It's then possible to use sharp and blunt dissection to separate the remaining
410.937,413.079,inflamed tissue from the main pulmonary artery.
415.402,418.004,The ink can be seen on the undersurface of the arch in that view.
418.044,423.089,Now the retraction is again swapped out to the access incision.
423.47,433.38,The retractor is removed from the former inferior port allowing connection of a stiffer latex free catheter to the anvil of the stapler.
433.88,438.565,The latex free catheter allows the anvil to be passed through much more reliably.
440.131,449.524,and it is important to make sure that the anvil can occlude the PA with no thickened tissue that could impair the firing of the stapler.
449.844,454.61,"The patient's hemodynamics are checked after the stapler is closed, the stapler is fired."
457.394,469.21,"And then to deal with the problem of mass tissue obscuring the view, a single instrument can provide exposure to the majority of this lung by using the loop"
