start,end,text
38.47,56.058,"The video shows the placement of four trocars for robotic access into the abdominal cavity, accommodating the distended small intestine and limited space within the cavity."
38.47,56.058,"The surgeon demonstrates the placement of four trocars for robotic surgery, entering the abdominal cavity with limited space due to the distended small intestine."
56.558,94.119,"The surgeon attempts a purse string suture in the ileum to decompress the distended small intestine, visible in the operative field. Another suture is placed to expose the base of the mesentery, using robotic instruments without laparoscopic trocars."
56.558,94.119,"The surgeon attempts a purse string suture in the ileum to decompress the distended small intestine, visible in the operative field. Another suture is placed to expose the base of the mesentery, using robotic instruments without assisted laparoscopic trocars."
94.619,132.424,"The surgeon exposes the duodenum and identifies the superior mesenteric vein. The ileocolic artery and vein are clipped and divided separately at their base, with high ligation performed. The dissection proceeds cephalad, revealing the pancreas, duodenum, and superior mesenteric vein."
94.619,132.424,"The surgeon exposes the duodenum and identifies the superior mesenteric vein. The ileocolic artery and vein are clipped and divided separately at their base, with high ligation performed. The dissection proceeds cephalad, revealing the pancreas, duodenum, and superior mesenteric vein."
132.924,174.5,"The surgeon identifies the inferior border of the pancreas and the midcolic vessels. The midcolic vein is clipped first, followed by cephalic and medial lateral dissection. The duodenum and superior aspect of the pancreas are visible as the midcolic artery is divided."
132.924,165.674,"The surgeon identifies the inferior border of the pancreas and proceeds to locate the midcolic vessels. The vein is clipped first, followed by cephalic and medial lateral dissection around the duodenum and the superior aspect of the pancreas."
166.174,197.725,The surgeon divides the mid colic artery and continues cephalad dissection to identify the gastrocolic trunk. Further dissection reveals the right gastroepiploic artery.
175,211.015,"The surgeon continues cephalad dissection to identify the gastrocolic trunk and the right gastroepiploic vessels, with the stomach visible in the surgical field."
211.515,240.329,"The surgeon divides the transverse colon using ICG fluorescence imaging, while the omentum and distal ileum are approached laterally. The mesentery is divided, followed by the division of the distal ileum."
211.515,240.329,"The surgeon divides the transverse colon using ICG fluorescence imaging, followed by the division of the omentum and distal ileum. The mesentery is separated using an immediate lateral approach, and the distal ileum is further divided."
240.829,268.775,"The surgeon performs mobilization from bottom up, focusing on the ascending colon and cecum, followed by the adenum."
240.829,268.775,"The surgeon performs mobilization from bottom up, focusing on the ascending colon and cecum, with attention to the surrounding anatomical structures including the duodenum."
269.275,299.348,"The surgeon sutures the transverse colon and ileum, positioning them in the right upper quadrant to stabilize and prepare for anastomosis. The ileum is divided, and a colotomy and enterotomy are performed to create a common channel."
269.275,299.348,"The surgeon sutures the transverse colon and ileum, positioning them in the right upper quadrant to stabilize and prepare for anastomosis. The ileum is divided, and a colotomy and enterotomy are performed."
299.848,334.008,"The surgeon performs a side-to-side isoperistaltic anastomosis using a 3-0 absorbable V-lock suture, leaving the mesenteric defect open."
299.848,334.008,"The surgeon performs a side-to-side isoperistaltic anastomosis using a 3-0 absorbable V-lock suture, leaving the mesenteric defect open."
