start,end,text
10.537,175.485,"The surgeon performs a laparoscopic myomectomy on a uterus with an 18 cm intramural myoma located in the fundal and posterior wall. Four ports are used, including one approximately 10 cm above the umbilicus at Palmer's point, one in the left lumbar region, and one contralateral on the right side. Vasopressin is injected using an aspiration needle and XXC syringe, causing the uterus to appear marble white, indicating transient ischemia. The harmonic scalpel is used to cut through the muscle and serous layers of the uterus, with a generous incision made to achieve a good plane for suction irrigation and to hold the myoma with a screw."
175.985,237.751,"The surgeon creates a ten-centimeter incision on the uterus to accommodate the large myoma. A myoma screw is introduced through the supraumbilical port to provide traction, preventing the uterus from touching the laparoscopic telescope. The incision is further enlarged, and suction irrigation is used for nucleation, avoiding the risk of instrument breakage associated with double-action jaw instruments."
238.251,284.923,"The surgeon uses a single jaw traumatic grasper on the left side and a suction irrigation device on the right to enucleate the myoma. Blunt dissection is performed to separate the muscle layer from the myoma, ensuring the uterine cavity remains intact. The myoma is gradually being extracted."
285.423,377.281,"The surgeon relocates the myoma screw multiple times to maintain traction during dissection of the soft myoma. The myoma, softened by preoperative GnRH treatment, is carefully dissected and removed despite its tendency to break. The surgeon prepares for uterine repair to prevent rupture in future pregnancies, requiring suturing of different layers."
377.781,477.23,"The surgeon uses a harmonic scalpel to complete the dissection of the myoma, separating it from the uterine muscle. The myoma is now fully detached and removed from the surgical field. The inner muscle layer is sutured using a Dundee jamming knot, which serves as a secure starter knot for continuous suturing of the deep muscle layer."
477.73,542.762,"The surgeon performs continuous suturing in the deep muscle layer of the myoma, ensuring each suture is locked to maintain tension and security. Bi-directional barb sutures like V-lock are used, although the surgeon prefers traditional knotting techniques for better tension management."
543.262,671.172,"The surgeon performs interlocking continuous suturing on the deeper muscle layer of the uterus, followed by interrupted extracorporeal square knots to reduce the gap. A final continuous suturing layer is applied to close the serous layer, ensuring a secure three-layer closure. The suturing technique involves locking each stitch to maintain tension and prevent uterine rupture in future pregnancies. Despite the large incision, continuous suturing is used effectively, with the needle kept active for traction while starting a new continuous suturing with a Dundee jamming knot."
671.672,740.646,"The surgeon performs continuous suturing from below upwards on the inner muscle layer using a Dundee jamming knot, ensuring the approximation of the innermost layer in a three-layer repair during the myomectomy. The suturing technique involves Aberdeen termination."
741.146,820.028,"The surgeon applies a surgeon's knot on both ends of the needle to terminate the suture, effectively closing the inner muscle layer with No.-one Vicryl. This closure decreases bleeding and reinforces the muscle to prevent weakness and gaps. An extracorporeal Mishra's knot is tied to provide tension sutures, approximating the edges of the large gap left by the removal of the 18-centimeter myoma."
820.528,885.227,"The surgeon uses a needle to apply an extracorporeal knot with a configuration of one hitch, three winds, and three locks. A knot pusher is used to tighten and lock the knot securely, preventing it from slipping. This technique involves taking a deep bite to obliterate dead space and provide tension sutures, which help approximate the edges and prevent seroma formation."
945.669,1011.368,"The surgeon uses a 30 mm round body endoske needle to take deep bites, approximating the edges of the incision and reducing the gap. Extracorporeal knots are applied and locked to prevent slipping, ensuring the tension is maintained and the gap is minimized."
1011.868,1114.002,"The surgeon demonstrates that the bleeding has stopped and the edges of the incision are approximated. A third layer of continuous suturing is initiated to approximate the serosa, using a Dandy jamming knot with Aberdeen termination. The sutures are interlocked tightly, with an assistant maintaining traction to ensure the sutures remain secure."
1114.502,1188.67,"The surgeon applies a continuous blanket suture to tightly approximate the serous layer during the myomectomy procedure. The assistant holds the suture as the surgeon continues to take additional stitches, ensuring the layer is securely closed."
1189.17,1318.206,"The surgeon completes the termination of the discontinuous suturing using a surgeon's knot, ensuring no bleeding and a round shape of the uterus. The procedure transitions to morcellation of the myoma using a Gynecare morcellator, with emphasis on safety principles: the tissue should approach the morcellator, and the morcellator should remain visible to avoid damaging surrounding structures."
