start,end,text
66.162,79.185,"The surgeon uses scissors to dissect the tissue around the cyst, avoiding electrocautery due to the vasopressin-induced contraction of vessels, resulting in a bloodless field."
143.74,147.044,"The surgeon carefully extracts the cyst from the abdominal cavity, ensuring it remains intact to minimize the risk of recurrence."
147.544,172.622,"The surgeon uses scissors to carefully excise small pieces of tissue that are adhered to the ovarian cortex, the actual tissue of the ovary."
173.122,183.065,"The surgeon carefully dissects the cyst, ensuring that the ovarian tissue remains intact and is not removed during the procedure."
210.943,243.13,"The surgeon uses a sponge holder and grasping forceps to carefully dissect around the cyst, employing scissors with one hand to peel off tissue without rupturing the cyst."
243.63,278.585,"The surgeon carefully removes the dermoid cyst in small sections, revealing its smooth, glistening surface. A tooth grasper is used to hold the cyst securely to prevent slipping during the procedure."
279.085,314.727,"The surgeon avoids placing stitches on the ovary or the remaining capsule, allowing the tissue to naturally come together without risking ischemic necrosis or loss of ovarian tissue."
315.227,347.385,"The surgeon identifies the hilum of the ovary, where a small blood vessel may be visible. If necessary, the vessel can be ligated with a small stitch or using a harmonic device, although energy sources are generally avoided unless required."
405.054,409.795,"The surgeon carefully manipulates the dermoid cyst using grasping forceps, avoiding direct pressure to prevent rupture."
410.295,417.138,"The surgeon holds the cyst wall, avoiding direct grasping of the cyst itself to prevent rupture."
417.638,459.016,The surgeon employs a combination of teasing away and sharp dissection techniques to carefully free the tissue surrounding the cyst.
459.516,488.524,"The surgeon successfully removes the intact cyst using an endo bag, ensuring containment and preventing rupture during extraction."
489.024,500.867,The surgeon uses a five-port system for operating and a ten-port system as a side port to facilitate the removal of the specimen.
501.367,510.25,"The surgeon places the cyst into an endo bag, ruptures the cyst within the bag to remove its contents, and then extracts the cyst itself."
