start,end,text
13.464,24.077,The video shows the conventional positioning of the surgical port used for radical prostatectomy.
24.577,32.519,"The surgeon begins the procedure by locating the vessels of the bladder, preparing for further dissection."
33.019,41.721,"The surgeon opens the peritoneum, revealing the anatomical structures on the right side."
42.221,51.296,"The surgeon dissects the vessels near the bladder, avoiding immediate approach to the ureter, with careful manipulation of surrounding tissues."
51.796,62.24,"The surgeon identifies the umbilical artery and applies a clip to occlude it, visible within the surgical field."
62.74,82.3,"The surgeon carefully dissects around the pelvic region, aiming to preserve the nerve that supplies the penis and pelvic muscles."
82.8,97.731,"The surgeon dissects the bladder laterally, progressing towards the prostate, and attempts to isolate the benders at the base of the prostate, similar to the technique used in radical prostatectomy."
98.231,108.734,"The surgeon pushes the prostate into view, avoiding the use of thermic coagulation during the procedure."
109.234,142.85,"The surgeon dissects the visceral part of the endopelvic fascia, exposing the vesicle prostatic vessels at the level of the bladder neck. The vessels are carefully cut at the base of the prostate."
143.35,163.463,"The surgeon visually identifies the prostate, the neurovascular bundles, and the anatomical boundary between the bladder and prostate."
163.963,180.146,"The surgeon completes the dissection of the right neurovascular bundle, visibly freeing it from surrounding tissues."
180.206,197.437,"The surgeon moves to the ureter after cutting the bladder vessel, with the ureter visibly located behind the umbilical artery."
197.937,217.967,"The surgeon clips the urethra while carefully preserving the surrounding vascular structures, visible in the surgical field."
218.467,233.538,"The surgeon opens the Douglas pouch, revealing the dissected vessels of the prostate."
234.038,262.085,"The surgeon cuts the superior vesicular artery, controlling the residual vessel. The bladder and prostate are then moved completely to the left side, with the Deneuve-Villiers fascia being pushed aside."
262.585,281.228,"The surgeon moves to dissect the left side of the bladder after completing the dissection on the right side, with the bladder showing carcinoma in situ on its superior part."
281.728,301.698,"The surgeon isolates the umbilical artery and the superior vesicle artery, using clips and cold cutting techniques."
317.989,335.181,"The surgeon removes the surrounding fat tissue from the bladder, performing an anatomical dissection to expose the bladder structure."
335.681,354.491,"The surgeon opens the Douglas pouch, revealing the vas deferens and the left ureter. The left ureter is controlled to prevent any movement or damage during the procedure."
354.991,372.575,"The surgeon performs a limited dissection of the ureter, carefully cutting to preserve the surrounding vascularization."
373.075,390.611,"A small surgical clip is applied near the origin of the ureter. The bladder is visible, having been dissected posteriorly, with one or two small branches observed on the left side."
391.111,416.833,"The surgeon identifies a vein originating from the bladder and prostate, extending towards the dorsal vein complex, and applies a clip measuring ten or five millimeters to secure it."
417.333,455.117,The bladder is shown completely dissected posteriorly. The surgeon proceeds to cut the left vas deferens.
455.617,503.484,"The surgeon exposes the endopelvic fascia on the left side of the prostate, identifying distinct bundles posteriorly. The dissection begins on the right side, progresses posteriorly, and then moves to the left."
503.984,527.842,"The surgeon exposes the posterior aspect of the prostate, highlighting the de non-villier fascia, which is preserved during the dissection."
528.342,567.384,"The surgeon begins anterior dissection of the bladder after completing the posterior dissection, ensuring a clear operating field with the bladder and prostate fully separated."
567.404,606.032,"The surgeon identifies the prostate, bladder, and dorsal vein complex, indicating the need to cut the dorsal vein complex while preserving the anterior fixation of the urethra. Muscles from the bladder neck to the pubis bone, referred to as aprons, are visible."
606.532,632.595,"The surgeon carefully pushes the fascia close to the apex of the prostate, aiming to preserve surrounding structures for optimal early continence."
633.095,663.487,"The surgeon visually identifies the bladder and the dorsal vein complex, noting that stitches are not required for control. The apex of the prostate is clearly visible, and dissection is performed laterally and posteriorly before proceeding anteriorly."
663.987,691.402,"The laparoscopic view shows the dorsal vein complex with no visible bleeding, as the pressure from the insufflated gas at twelve millimeters of mercury effectively controls hemostasis."
691.902,727.063,"The surgeon pushes the endopelvic fascia laterally to expose the limit of the prostate, reaching the apex. The catheter is visibly removed from the surgical field."
727.563,750.619,"The surgeon exposes the urethra, focusing on preserving a good length of the structure. Minor bleeding is observed during the procedure."
751.119,788.892,"The surgeon cuts the urethra at the level of the verru montanum, with the assistant placing a name block at the apex of the prostate. The prepared urethra is visible during the procedure."
830.084,898.594,"The surgeon identifies the left ureter and main vessels, including the umbilical artery, during the cystectomy. The left ureter is visible behind the umbilical artery. Efforts are made to preserve the uterine vessels while maintaining visibility of the left ureter."
899.094,937.105,"The surgeon examines the right ureter, noting the placement of a double G stent due to a tumor previously located at the left ureteral orifice. The surgical field shows multiple resections with a negative pathologic result."
937.605,1011.312,"The surgeon identifies the umbilical artery and ureter as key anatomical landmarks, performing lateral dissection of the bladder. The umbilical artery and superior vesicle artery are visible on the right side. Cold dissection is used to preserve vascularization and achieve a good functional result."
1011.812,1051.945,"The surgeon identifies the round ligament and begins dissection between the bladder and uterus on the left side, with the iliac artery visible in the surgical field."
1052.445,1078.263,"The surgeon clips the umbilical artery and the superior vesicle artery to facilitate a clear dissection of the bladder, ensuring the vessels are clearly identified."
1078.763,1109.045,"The surgeon continues the dissection between the bladder and uterus, advancing the dissection towards the trigone area. An instrument is inserted into the vagina to aid in manipulation during the procedure."
1109.545,1158.308,"An assistant holds a metallic valve in the vagina to provide a clear view. The surgeon performs a medial dissection under the bladder, carefully preserving the nerve structures and the lateral wall of the vagina."
1197.749,1242.6,"On the right side, the surgeon encounters difficulty in dissection due to the patient's extensive history of bladder tumor resections. The inferior bladder artery is visible as the dissection proceeds under the bladder neck."
1243.1,1329.167,"The surgeon carefully preserves the first part of the urethra, along with its vascularization and innervation, by proceeding millimeter by millimeter using clips. No thermal regulation is applied laterally. Upon reaching the balloon, the surgeon dissects the lateral face of the bladder, similar to the technique used in male patients."
